PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AZ,m,1960-1964,0,0.03426,0.03327,0.14,100000,3327,97128,6552271,65.52
AZ,m,1960-1964,1-4,0.00173,0.00689,1.5,96673,666,385029,6455142,66.77
AZ,m,1960-1964,5-9,0.00061,0.00304,2.33,96007,292,479255,6070114,63.23
AZ,m,1960-1964,10-14,0.00059,0.00294,2.78,95715,282,477950,5590859,58.41
AZ,m,1960-1964,15-19,0.00164,0.00817,2.86,95433,780,475495,5112909,53.58
AZ,m,1960-1964,20-24,0.00243,0.01207,2.46,94654,1142,470370,4637414,48.99
AZ,m,1960-1964,25-29,0.00239,0.01187,2.66,93512,1110,464964,4167044,44.56
AZ,m,1960-1964,30-34,0.00277,0.01374,2.61,92402,1270,458970,3702080,40.06
AZ,m,1960-1964,35-39,0.00340,0.01688,2.6,91132,1539,451968,3243110,35.59
AZ,m,1960-1964,40-44,0.00530,0.02619,2.69,89594,2347,442546,2791142,31.15
AZ,m,1960-1964,45-49,0.00815,0.04000,2.65,87247,3490,428031,2348596,26.92
AZ,m,1960-1964,50-54,0.01311,0.06355,2.61,83758,5323,406044,1920565,22.93
AZ,m,1960-1964,55-59,0.01970,0.09408,2.62,78435,7379,374590,1514521,19.31
AZ,m,1960-1964,60-64,0.02893,0.13528,2.61,71055,9613,332291,1139931,16.04
AZ,m,1960-1964,65-69,0.04323,0.19540,2.54,61443,12006,277706,807639,13.14
AZ,m,1960-1964,70-74,0.05858,0.25561,2.51,49437,12637,215724,529933,10.72
AZ,m,1960-1964,75-79,0.08262,0.34159,2.47,36800,12571,152151,314209,8.54
AZ,m,1960-1964,80-84,0.11693,0.44866,2.41,24230,10871,92972,162057,6.69
AZ,m,1960-1964,85-89,0.16520,0.57133,2.3,13359,7632,46200,69085,5.17
AZ,m,1960-1964,90-94,0.22783,0.69209,2.16,5727,3963,17396,22885,4.00
AZ,m,1960-1964,95-99,0.30506,0.79645,2,1763,1404,4603,5489,3.11
AZ,m,1960-1964,100-104,0.39478,0.87496,1.82,359,314,795,886,2.47
AZ,m,1960-1964,105-109,0.49221,0.92677,1.64,45,42,84,90,2.01
AZ,m,1960-1964,110+,0.57222,1.00000,1.75,3,3,6,6,1.75
AZ,m,1965-1969,0,0.02745,0.02680,0.12,100000,2680,97638,6656764,66.57
AZ,m,1965-1969,1-4,0.00150,0.00598,1.46,97320,582,387803,6559126,67.40
AZ,m,1965-1969,5-9,0.00060,0.00301,2.4,96738,291,482933,6171323,63.79
AZ,m,1965-1969,10-14,0.00055,0.00275,2.82,96447,265,481658,5688390,58.98
AZ,m,1965-1969,15-19,0.00152,0.00757,2.86,96182,728,479353,5206733,54.13
AZ,m,1965-1969,20-24,0.00242,0.01202,2.48,95454,1148,474376,4727380,49.53
AZ,m,1965-1969,25-29,0.00243,0.01209,2.48,94306,1140,468658,4253004,45.10
AZ,m,1965-1969,30-34,0.00257,0.01276,2.45,93166,1189,462801,3784346,40.62
AZ,m,1965-1969,35-39,0.00327,0.01621,2.65,91977,1491,456384,3321545,36.11
AZ,m,1965-1969,40-44,0.00494,0.02445,2.78,90487,2212,447513,2865162,31.66
AZ,m,1965-1969,45-49,0.00765,0.03759,2.71,88274,3318,433766,2417648,27.39
AZ,m,1965-1969,50-54,0.01239,0.06023,2.67,84956,5117,412859,1983882,23.35
AZ,m,1965-1969,55-59,0.01860,0.08906,2.61,79839,7110,382226,1571023,19.68
AZ,m,1965-1969,60-64,0.02706,0.12699,2.58,72729,9236,341273,1188797,16.35
AZ,m,1965-1969,65-69,0.04005,0.18243,2.56,63493,11583,289250,847524,13.35
AZ,m,1965-1969,70-74,0.05881,0.25648,2.51,51909,13313,226392,558274,10.75
AZ,m,1965-1969,75-79,0.08333,0.34360,2.45,38596,13262,159144,331882,8.60
AZ,m,1965-1969,80-84,0.11243,0.43600,2.43,25334,11046,98242,172738,6.82
AZ,m,1965-1969,85-89,0.16227,0.56516,2.32,14289,8075,49766,74495,5.21
AZ,m,1965-1969,90-94,0.22800,0.69299,2.17,6213,4306,18885,24729,3.98
AZ,m,1965-1969,95-99,0.30995,0.80242,2,1908,1531,4938,5845,3.06
AZ,m,1965-1969,100-104,0.40554,0.88267,1.8,377,333,820,906,2.40
AZ,m,1965-1969,105-109,0.50895,0.93364,1.61,44,41,81,86,1.95
AZ,m,1965-1969,110+,0.59363,1.00000,1.68,3,3,5,5,1.68
AZ,m,1970-1974,0,0.01902,0.01870,0.1,100000,1870,98310,6765054,67.65
AZ,m,1970-1974,1-4,0.00124,0.00493,1.68,98130,484,391394,6666744,67.94
AZ,m,1970-1974,5-9,0.00054,0.00271,2.2,97646,265,487487,6275350,64.27
AZ,m,1970-1974,10-14,0.00058,0.00287,2.68,97381,280,486254,5787863,59.44
AZ,m,1970-1974,15-19,0.00205,0.01020,2.98,97101,990,483502,5301609,54.60
AZ,m,1970-1974,20-24,0.00283,0.01404,2.43,96111,1349,477089,4818107,50.13
AZ,m,1970-1974,25-29,0.00252,0.01251,2.44,94761,1185,470772,4341018,45.81
AZ,m,1970-1974,30-34,0.00274,0.01362,2.59,93576,1274,464811,3870245,41.36
AZ,m,1970-1974,35-39,0.00331,0.01644,2.62,92302,1517,457899,3405435,36.89
AZ,m,1970-1974,40-44,0.00493,0.02437,2.67,90785,2212,448762,2947536,32.47
AZ,m,1970-1974,45-49,0.00756,0.03713,2.63,88572,3288,435078,2498774,28.21
AZ,m,1970-1974,50-54,0.01124,0.05476,2.68,85284,4670,415598,2063696,24.20
AZ,m,1970-1974,55-59,0.01763,0.08458,2.61,80613,6818,386761,1648098,20.44
AZ,m,1970-1974,60-64,0.02567,0.12085,2.57,73795,8918,347349,1261337,17.09
AZ,m,1970-1974,65-69,0.03563,0.16399,2.57,64877,10639,298577,913988,14.09
AZ,m,1970-1974,70-74,0.05143,0.22847,2.56,54238,12392,240952,615411,11.35
AZ,m,1970-1974,75-79,0.07713,0.32362,2.51,41846,13542,175573,374459,8.95
AZ,m,1970-1974,80-84,0.10768,0.42194,2.44,28303,11942,110906,198885,7.03
AZ,m,1970-1974,85-89,0.15580,0.55015,2.33,16361,9001,57772,87980,5.38
AZ,m,1970-1974,90-94,0.21964,0.67900,2.19,7360,4997,22753,30207,4.10
AZ,m,1970-1974,95-99,0.29978,0.79123,2.02,2363,1869,6236,7454,3.15
AZ,m,1970-1974,100-104,0.39401,0.87502,1.82,493,432,1095,1218,2.47
AZ,m,1970-1974,105-109,0.49687,0.92906,1.63,62,57,115,123,1.99
AZ,m,1970-1974,110+,0.58147,1.00000,1.72,4,4,8,8,1.72
AZ,m,1975-1979,0,0.01632,0.01608,0.09,100000,1608,98534,6987711,69.88
AZ,m,1975-1979,1-4,0.00108,0.00432,1.55,98392,425,392524,6889177,70.02
AZ,m,1975-1979,5-9,0.00048,0.00238,2.2,97966,233,489179,6496653,66.32
AZ,m,1975-1979,10-14,0.00056,0.00281,2.8,97734,274,488064,6007474,61.47
AZ,m,1975-1979,15-19,0.00178,0.00889,2.96,97459,866,485530,5519409,56.63
AZ,m,1975-1979,20-24,0.00260,0.01294,2.53,96593,1250,479880,5033879,52.11
AZ,m,1975-1979,25-29,0.00236,0.01171,2.47,95344,1116,473893,4553999,47.76
AZ,m,1975-1979,30-34,0.00235,0.01170,2.49,94227,1102,468367,4080106,43.30
AZ,m,1975-1979,35-39,0.00294,0.01458,2.63,93125,1358,462409,3611740,38.78
AZ,m,1975-1979,40-44,0.00400,0.01983,2.6,91767,1819,454465,3149331,34.32
AZ,m,1975-1979,45-49,0.00595,0.02935,2.67,89948,2640,443584,2694866,29.96
