WI: Wisconsin, Lifetables (period 1x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02399	0.02349	0.11	100000	2349	97920	7117856	71.18
1959	1	0.00126	0.00126	0.5	97651	123	97589	7019936	71.89
1959	2	0.00100	0.00100	0.5	97528	98	97479	6922347	70.98
1959	3	0.00058	0.00058	0.5	97430	56	97402	6824867	70.05
1959	4	0.00052	0.00052	0.5	97374	50	97349	6727465	69.09
1959	5	0.00048	0.00048	0.5	97324	47	97300	6630116	68.12
1959	6	0.00039	0.00039	0.5	97277	38	97257	6532816	67.16
1959	7	0.00046	0.00046	0.5	97238	45	97216	6435559	66.18
1959	8	0.00041	0.00041	0.5	97193	40	97174	6338343	65.21
1959	9	0.00042	0.00042	0.5	97154	41	97133	6241169	64.24
1959	10	0.00033	0.00033	0.5	97113	32	97097	6144036	63.27
1959	11	0.00046	0.00046	0.5	97081	45	97058	6046939	62.29
1959	12	0.00050	0.00050	0.5	97036	49	97011	5949881	61.32
1959	13	0.00041	0.00041	0.5	96987	39	96967	5852869	60.35
1959	14	0.00040	0.00040	0.5	96947	38	96928	5755902	59.37
1959	15	0.00050	0.00050	0.5	96909	49	96884	5658974	58.39
1959	16	0.00093	0.00093	0.5	96860	90	96815	5562090	57.42
1959	17	0.00104	0.00104	0.5	96770	100	96720	5465275	56.48
1959	18	0.00155	0.00155	0.5	96670	150	96595	5368555	55.54
1959	19	0.00144	0.00144	0.5	96520	139	96450	5271960	54.62
1959	20	0.00118	0.00118	0.5	96381	113	96324	5175510	53.70
1959	21	0.00126	0.00126	0.5	96267	122	96206	5079186	52.76
1959	22	0.00101	0.00101	0.5	96146	98	96097	4982980	51.83
1959	23	0.00091	0.00091	0.5	96048	87	96005	4886883	50.88
1959	24	0.00088	0.00088	0.5	95961	84	95919	4790878	49.93
1959	25	0.00107	0.00107	0.5	95877	102	95825	4694960	48.97
1959	26	0.00089	0.00089	0.5	95774	85	95732	4599134	48.02
1959	27	0.00089	0.00089	0.5	95689	85	95647	4503402	47.06
1959	28	0.00094	0.00094	0.5	95604	89	95559	4407756	46.10
1959	29	0.00100	0.00100	0.5	95515	95	95467	4312196	45.15
1959	30	0.00092	0.00092	0.5	95420	88	95376	4216729	44.19
1959	31	0.00103	0.00103	0.5	95332	98	95283	4121353	43.23
1959	32	0.00115	0.00114	0.5	95234	109	95179	4026070	42.28
1959	33	0.00135	0.00135	0.5	95125	129	95061	3930891	41.32
1959	34	0.00170	0.00170	0.5	94996	162	94916	3835830	40.38
1959	35	0.00155	0.00155	0.5	94835	147	94762	3740915	39.45
1959	36	0.00157	0.00157	0.5	94688	149	94614	3646153	38.51
1959	37	0.00153	0.00153	0.5	94539	145	94467	3551539	37.57
1959	38	0.00173	0.00173	0.5	94395	163	94313	3457072	36.62
1959	39	0.00200	0.00200	0.5	94231	188	94137	3362759	35.69
1959	40	0.00212	0.00211	0.5	94043	199	93943	3268622	34.76
1959	41	0.00235	0.00234	0.5	93844	220	93734	3174679	33.83
1959	42	0.00280	0.00279	0.5	93624	262	93493	3080945	32.91
