PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NY,b,1960-1964,0,0.02463,0.02411,0.12,100000,2411,97870,6979584,69.80
NY,b,1960-1964,1,0.00136,0.00136,0.5,97589,133,97523,6881713,70.52
NY,b,1960-1964,2,0.00088,0.00088,0.5,97457,86,97413,6784191,69.61
NY,b,1960-1964,3,0.00071,0.00071,0.5,97370,69,97336,6686777,68.67
NY,b,1960-1964,4,0.00060,0.00060,0.5,97301,59,97272,6589441,67.72
NY,b,1960-1964,5,0.00054,0.00054,0.5,97242,53,97216,6492170,66.76
NY,b,1960-1964,6,0.00048,0.00048,0.5,97190,47,97166,6394953,65.80
NY,b,1960-1964,7,0.00042,0.00042,0.5,97143,41,97123,6297787,64.83
NY,b,1960-1964,8,0.00039,0.00039,0.5,97102,38,97083,6200664,63.86
NY,b,1960-1964,9,0.00034,0.00034,0.5,97064,33,97048,6103581,62.88
NY,b,1960-1964,10,0.00032,0.00032,0.5,97031,31,97016,6006533,61.90
NY,b,1960-1964,11,0.00035,0.00035,0.5,97000,34,96983,5909518,60.92
NY,b,1960-1964,12,0.00034,0.00034,0.5,96966,33,96950,5812535,59.94
NY,b,1960-1964,13,0.00041,0.00041,0.5,96933,40,96914,5715585,58.96
NY,b,1960-1964,14,0.00043,0.00043,0.5,96894,41,96873,5618672,57.99
NY,b,1960-1964,15,0.00049,0.00049,0.5,96852,48,96829,5521799,57.01
NY,b,1960-1964,16,0.00060,0.00060,0.5,96805,58,96776,5424970,56.04
NY,b,1960-1964,17,0.00074,0.00074,0.5,96747,72,96711,5328194,55.07
NY,b,1960-1964,18,0.00098,0.00098,0.5,96675,95,96628,5231483,54.11
NY,b,1960-1964,19,0.00099,0.00099,0.5,96580,95,96533,5134855,53.17
NY,b,1960-1964,20,0.00111,0.00111,0.5,96485,107,96432,5038323,52.22
NY,b,1960-1964,21,0.00111,0.00111,0.5,96378,107,96324,4941891,51.28
NY,b,1960-1964,22,0.00114,0.00114,0.5,96271,110,96216,4845567,50.33
NY,b,1960-1964,23,0.00112,0.00112,0.5,96161,107,96107,4749351,49.39
NY,b,1960-1964,24,0.00119,0.00119,0.5,96054,114,95997,4653243,48.44
NY,b,1960-1964,25,0.00121,0.00121,0.5,95940,116,95882,4557247,47.50
NY,b,1960-1964,26,0.00120,0.00120,0.5,95823,115,95766,4461365,46.56
NY,b,1960-1964,27,0.00123,0.00123,0.5,95708,118,95649,4365599,45.61
NY,b,1960-1964,28,0.00126,0.00126,0.5,95590,120,95530,4269950,44.67
NY,b,1960-1964,29,0.00138,0.00138,0.5,95470,131,95404,4174419,43.72
NY,b,1960-1964,30,0.00146,0.00146,0.5,95339,139,95269,4079015,42.78
NY,b,1960-1964,31,0.00148,0.00147,0.5,95199,140,95129,3983746,41.85
NY,b,1960-1964,32,0.00164,0.00164,0.5,95059,156,94981,3888617,40.91
NY,b,1960-1964,33,0.00169,0.00169,0.5,94903,160,94823,3793635,39.97
NY,b,1960-1964,34,0.00186,0.00185,0.5,94743,176,94655,3698812,39.04
NY,b,1960-1964,35,0.00198,0.00198,0.5,94567,187,94474,3604157,38.11
NY,b,1960-1964,36,0.00213,0.00213,0.5,94380,201,94280,3509683,37.19
NY,b,1960-1964,37,0.00231,0.00231,0.5,94179,217,94071,3415404,36.26
NY,b,1960-1964,38,0.00260,0.00259,0.5,93962,244,93840,3321333,35.35
NY,b,1960-1964,39,0.00273,0.00272,0.5,93718,255,93591,3227493,34.44
NY,b,1960-1964,40,0.00317,0.00317,0.5,93463,296,93315,3133903,33.53
NY,b,1960-1964,41,0.00316,0.00316,0.5,93167,294,93020,3040588,32.64
NY,b,1960-1964,42,0.00375,0.00374,0.5,92873,348,92699,2947567,31.74
NY,b,1960-1964,43,0.00389,0.00388,0.5,92525,359,92346,2854868,30.85
NY,b,1960-1964,44,0.00432,0.00431,0.5,92166,397,91967,2762523,29.97
NY,b,1960-1964,45,0.00493,0.00492,0.5,91769,452,91543,2670555,29.10
NY,b,1960-1964,46,0.00524,0.00522,0.5,91317,477,91078,2579013,28.24
NY,b,1960-1964,47,0.00585,0.00584,0.5,90840,530,90575,2487934,27.39
NY,b,1960-1964,48,0.00649,0.00647,0.5,90310,584,90018,2397360,26.55
NY,b,1960-1964,49,0.00701,0.00699,0.5,89725,627,89412,2307342,25.72
NY,b,1960-1964,50,0.00805,0.00802,0.5,89098,714,88741,2217930,24.89
NY,b,1960-1964,51,0.00840,0.00836,0.5,88384,739,88015,2129189,24.09
NY,b,1960-1964,52,0.00955,0.00951,0.5,87645,833,87228,2041174,23.29
NY,b,1960-1964,53,0.01022,0.01017,0.5,86812,883,86370,1953946,22.51
NY,b,1960-1964,54,0.01092,0.01086,0.5,85929,933,85462,1867576,21.73
NY,b,1960-1964,55,0.01225,0.01218,0.5,84995,1035,84478,1782114,20.97
NY,b,1960-1964,56,0.01321,0.01313,0.5,83960,1102,83409,1697636,20.22
NY,b,1960-1964,57,0.01406,0.01396,0.5,82858,1157,82280,1614226,19.48
NY,b,1960-1964,58,0.01551,0.01539,0.5,81702,1258,81073,1531946,18.75
NY,b,1960-1964,59,0.01678,0.01664,0.5,80444,1338,79775,1450873,18.04
NY,b,1960-1964,60,0.01866,0.01849,0.5,79106,1462,78375,1371098,17.33
NY,b,1960-1964,61,0.01916,0.01898,0.5,77643,1474,76906,1292724,16.65
NY,b,1960-1964,62,0.02248,0.02223,0.5,76169,1694,75323,1215817,15.96
NY,b,1960-1964,63,0.02339,0.02312,0.5,74476,1722,73615,1140495,15.31
NY,b,1960-1964,64,0.02520,0.02489,0.5,72754,1811,71848,1066880,14.66
NY,b,1960-1964,65,0.02956,0.02913,0.5,70943,2066,69910,995031,14.03
NY,b,1960-1964,66,0.02935,0.02893,0.5,68877,1992,67881,925121,13.43
NY,b,1960-1964,67,0.03347,0.03292,0.5,66885,2202,65784,857241,12.82
NY,b,1960-1964,68,0.03616,0.03552,0.5,64683,2297,63534,791457,12.24
NY,b,1960-1964,69,0.03781,0.03711,0.5,62385,2315,61227,727923,11.67
NY,b,1960-1964,70,0.04410,0.04315,0.5,60070,2592,58774,666696,11.10
NY,b,1960-1964,71,0.04394,0.04299,0.5,57478,2471,56242,607922,10.58
NY,b,1960-1964,72,0.05264,0.05129,0.5,55007,2821,53596,551680,10.03
NY,b,1960-1964,73,0.05470,0.05324,0.5,52185,2778,50796,498084,9.54
NY,b,1960-1964,74,0.05955,0.05783,0.5,49407,2857,47978,447288,9.05
NY,b,1960-1964,75,0.06775,0.06553,0.5,46550,3050,45025,399309,8.58
NY,b,1960-1964,76,0.06882,0.06653,0.5,43499,2894,42052,354285,8.14
NY,b,1960-1964,77,0.07310,0.07052,0.5,40605,2864,39174,312232,7.69
NY,b,1960-1964,78,0.08414,0.08074,0.5,37742,3047,36218,273059,7.23
NY,b,1960-1964,79,0.08873,0.08496,0.5,34694,2948,33221,236840,6.83
NY,b,1960-1964,80,0.10736,0.10189,0.5,31747,3235,30130,203620,6.41
NY,b,1960-1964,81,0.10355,0.09846,0.5,28512,2807,27109,173490,6.08
NY,b,1960-1964,82,0.12094,0.11404,0.5,25705,2931,24239,146382,5.69
NY,b,1960-1964,83,0.13146,0.12336,0.5,22774,2809,21369,122142,5.36
NY,b,1960-1964,84,0.14464,0.13488,0.5,19964,2693,18618,100773,5.05
NY,b,1960-1964,85,0.16198,0.14985,0.5,17272,2588,15977,82155,4.76
NY,b,1960-1964,86,0.17019,0.15684,0.5,14683,2303,13532,66178,4.51
NY,b,1960-1964,87,0.18257,0.16730,0.5,12380,2071,11345,52646,4.25
NY,b,1960-1964,88,0.19783,0.18002,0.5,10309,1856,9381,41301,4.01
NY,b,1960-1964,89,0.21059,0.19053,0.5,8453,1611,7648,31920,3.78
NY,b,1960-1964,90,0.24533,0.21852,0.5,6843,1495,6095,24272,3.55
NY,b,1960-1964,91,0.23375,0.20929,0.5,5347,1119,4788,18177,3.40
NY,b,1960-1964,92,0.26596,0.23474,0.5,4228,993,3732,13389,3.17
NY,b,1960-1964,93,0.29228,0.25501,0.5,3236,825,2823,9657,2.98
NY,b,1960-1964,94,0.30779,0.26674,0.5,2411,643,2089,6834,2.83
NY,b,1960-1964,95,0.32904,0.28255,0.5,1768,499,1518,4745,2.68
NY,b,1960-1964,96,0.35107,0.29865,0.5,1268,379,1079,3227,2.54
NY,b,1960-1964,97,0.37378,0.31492,0.5,889,280,749,2148,2.41
NY,b,1960-1964,98,0.39709,0.33131,0.5,609,202,508,1398,2.30
NY,b,1960-1964,99,0.42090,0.34772,0.5,407,142,337,890,2.18
NY,b,1960-1964,100,0.44512,0.36409,0.5,266,97,217,553,2.08
NY,b,1960-1964,101,0.46962,0.38032,0.5,169,64,137,336,1.99
NY,b,1960-1964,102,0.49430,0.39635,0.5,105,42,84,199,1.90
NY,b,1960-1964,103,0.51904,0.41209,0.5,63,26,50,115,1.82
NY,b,1960-1964,104,0.54371,0.42749,0.5,37,16,29,65,1.75
NY,b,1960-1964,105,0.56819,0.44248,0.5,21,9,17,36,1.68
NY,b,1960-1964,106,0.59237,0.45701,0.5,12,5,9,19,1.62
NY,b,1960-1964,107,0.61613,0.47102,0.5,6,3,5,10,1.57
NY,b,1960-1964,108,0.63937,0.48449,0.5,3,2,3,5,1.52
NY,b,1960-1964,109,0.66199,0.49737,0.5,2,1,1,3,1.49
NY,b,1960-1964,110+,0.68392,1.00000,1.46,1,1,1,1,1.46
NY,b,1965-1969,0,0.02230,0.02187,0.11,100000,2187,98054,7010732,70.11
NY,b,1965-1969,1,0.00122,0.00122,0.5,97813,119,97753,6912678,70.67
NY,b,1965-1969,2,0.00081,0.00081,0.5,97694,79,97654,6814924,69.76
NY,b,1965-1969,3,0.00063,0.00063,0.5,97615,61,97584,6717270,68.81
NY,b,1965-1969,4,0.00058,0.00058,0.5,97554,56,97526,6619685,67.86
NY,b,1965-1969,5,0.00051,0.00051,0.5,97498,50,97473,6522160,66.90
NY,b,1965-1969,6,0.00043,0.00043,0.5,97448,42,97427,6424687,65.93
NY,b,1965-1969,7,0.00040,0.00040,0.5,97405,39,97386,6327260,64.96
NY,b,1965-1969,8,0.00033,0.00033,0.5,97366,32,97350,6229875,63.98
NY,b,1965-1969,9,0.00032,0.00032,0.5,97334,31,97319,6132524,63.00
NY,b,1965-1969,10,0.00030,0.00030,0.5,97303,30,97288,6035206,62.02
NY,b,1965-1969,11,0.00031,0.00031,0.5,97274,30,97259,5937917,61.04
NY,b,1965-1969,12,0.00035,0.00035,0.5,97244,34,97227,5840659,60.06
NY,b,1965-1969,13,0.00040,0.00040,0.5,97210,39,97190,5743432,59.08
NY,b,1965-1969,14,0.00044,0.00044,0.5,97171,43,97150,5646242,58.11
NY,b,1965-1969,15,0.00055,0.00055,0.5,97128,53,97101,5549092,57.13
NY,b,1965-1969,16,0.00066,0.00066,0.5,97075,64,97043,5451991,56.16
NY,b,1965-1969,17,0.00088,0.00088,0.5,97011,86,96968,5354948,55.20
NY,b,1965-1969,18,0.00112,0.00112,0.5,96925,108,96871,5257980,54.25
NY,b,1965-1969,19,0.00124,0.00124,0.5,96817,120,96757,5161109,53.31
NY,b,1965-1969,20,0.00121,0.00121,0.5,96697,117,96638,5064353,52.37
NY,b,1965-1969,21,0.00126,0.00125,0.5,96580,121,96519,4967714,51.44
NY,b,1965-1969,22,0.00129,0.00129,0.5,96459,124,96397,4871195,50.50
NY,b,1965-1969,23,0.00124,0.00124,0.5,96335,120,96275,4774798,49.56
NY,b,1965-1969,24,0.00126,0.00126,0.5,96215,121,96155,4678523,48.63
NY,b,1965-1969,25,0.00127,0.00127,0.5,96094,122,96033,4582368,47.69
NY,b,1965-1969,26,0.00130,0.00130,0.5,95972,125,95910,4486335,46.75
NY,b,1965-1969,27,0.00143,0.00143,0.5,95847,137,95779,4390425,45.81
NY,b,1965-1969,28,0.00137,0.00137,0.5,95710,131,95644,4294646,44.87
NY,b,1965-1969,29,0.00144,0.00144,0.5,95579,138,95510,4199002,43.93
NY,b,1965-1969,30,0.00160,0.00160,0.5,95441,153,95364,4103492,43.00
NY,b,1965-1969,31,0.00168,0.00168,0.5,95288,160,95208,4008128,42.06
NY,b,1965-1969,32,0.00174,0.00174,0.5,95128,165,95045,3912920,41.13
NY,b,1965-1969,33,0.00178,0.00177,0.5,94963,168,94878,3817874,40.20
NY,b,1965-1969,34,0.00196,0.00196,0.5,94794,185,94701,3722996,39.27
NY,b,1965-1969,35,0.00229,0.00229,0.5,94609,217,94500,3628295,38.35
NY,b,1965-1969,36,0.00223,0.00223,0.5,94392,210,94287,3533795,37.44
NY,b,1965-1969,37,0.00249,0.00249,0.5,94182,235,94064,3439508,36.52
NY,b,1965-1969,38,0.00264,0.00264,0.5,93947,248,93823,3345443,35.61
NY,b,1965-1969,39,0.00300,0.00299,0.5,93699,280,93559,3251621,34.70
NY,b,1965-1969,40,0.00337,0.00336,0.5,93419,314,93262,3158062,33.81
NY,b,1965-1969,41,0.00341,0.00340,0.5,93105,317,92946,3064800,32.92
NY,b,1965-1969,42,0.00393,0.00392,0.5,92788,364,92606,2971854,32.03
NY,b,1965-1969,43,0.00416,0.00415,0.5,92424,383,92232,2879248,31.15
NY,b,1965-1969,44,0.00443,0.00442,0.5,92040,406,91837,2787016,30.28
NY,b,1965-1969,45,0.00499,0.00498,0.5,91634,456,91406,2695179,29.41
NY,b,1965-1969,46,0.00521,0.00520,0.5,91178,474,90941,2603773,28.56
NY,b,1965-1969,47,0.00574,0.00572,0.5,90704,519,90444,2512833,27.70
NY,b,1965-1969,48,0.00629,0.00627,0.5,90184,565,89902,2422389,26.86
NY,b,1965-1969,49,0.00697,0.00695,0.5,89619,623,89308,2332487,26.03
NY,b,1965-1969,50,0.00788,0.00785,0.5,88997,698,88647,2243179,25.21
NY,b,1965-1969,51,0.00820,0.00816,0.5,88298,721,87938,2154532,24.40
NY,b,1965-1969,52,0.00913,0.00909,0.5,87578,796,87180,2066594,23.60
NY,b,1965-1969,53,0.00985,0.00980,0.5,86781,851,86356,1979414,22.81
NY,b,1965-1969,54,0.01097,0.01091,0.5,85931,937,85462,1893058,22.03
NY,b,1965-1969,55,0.01193,0.01186,0.5,84993,1008,84489,1807596,21.27
NY,b,1965-1969,56,0.01257,0.01250,0.5,83985,1049,83461,1723107,20.52
NY,b,1965-1969,57,0.01393,0.01384,0.5,82936,1148,82362,1639646,19.77
NY,b,1965-1969,58,0.01517,0.01506,0.5,81788,1232,81173,1557284,19.04
NY,b,1965-1969,59,0.01654,0.01640,0.5,80557,1321,79896,1476112,18.32
NY,b,1965-1969,60,0.01850,0.01833,0.5,79236,1453,78509,1396215,17.62
NY,b,1965-1969,61,0.01918,0.01900,0.5,77783,1478,77044,1317706,16.94
