PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NY,f,1960-1969,0,0.02045,0.02009,0.11,100000,2009,98213,7327554,73.28
NY,f,1960-1969,1,0.00120,0.00120,0.5,97991,117,97933,7229341,73.78
NY,f,1960-1969,2,0.00074,0.00074,0.5,97874,72,97838,7131408,72.86
NY,f,1960-1969,3,0.00060,0.00060,0.5,97802,58,97773,7033570,71.92
NY,f,1960-1969,4,0.00051,0.00051,0.5,97744,50,97719,6935798,70.96
NY,f,1960-1969,5,0.00046,0.00046,0.5,97693,45,97671,6838079,70.00
NY,f,1960-1969,6,0.00038,0.00038,0.5,97649,37,97630,6740408,69.03
NY,f,1960-1969,7,0.00033,0.00033,0.5,97612,33,97595,6642778,68.05
NY,f,1960-1969,8,0.00028,0.00028,0.5,97579,28,97565,6545182,67.08
NY,f,1960-1969,9,0.00028,0.00028,0.5,97552,27,97538,6447617,66.09
NY,f,1960-1969,10,0.00025,0.00025,0.5,97524,24,97512,6350079,65.11
NY,f,1960-1969,11,0.00025,0.00025,0.5,97500,25,97488,6252567,64.13
NY,f,1960-1969,12,0.00028,0.00028,0.5,97475,27,97462,6155079,63.14
NY,f,1960-1969,13,0.00029,0.00029,0.5,97448,28,97434,6057617,62.16
NY,f,1960-1969,14,0.00032,0.00032,0.5,97421,31,97405,5960183,61.18
NY,f,1960-1969,15,0.00037,0.00037,0.5,97390,36,97372,5862778,60.20
NY,f,1960-1969,16,0.00041,0.00041,0.5,97354,40,97334,5765406,59.22
NY,f,1960-1969,17,0.00045,0.00045,0.5,97315,44,97293,5668071,58.24
NY,f,1960-1969,18,0.00058,0.00058,0.5,97270,56,97242,5570779,57.27
NY,f,1960-1969,19,0.00059,0.00059,0.5,97214,57,97186,5473536,56.30
NY,f,1960-1969,20,0.00061,0.00061,0.5,97157,59,97128,5376351,55.34
NY,f,1960-1969,21,0.00068,0.00068,0.5,97098,66,97066,5279223,54.37
NY,f,1960-1969,22,0.00067,0.00067,0.5,97033,65,97000,5182157,53.41
NY,f,1960-1969,23,0.00068,0.00068,0.5,96968,66,96935,5085157,52.44
NY,f,1960-1969,24,0.00077,0.00077,0.5,96901,75,96864,4988222,51.48
NY,f,1960-1969,25,0.00076,0.00076,0.5,96826,74,96790,4891358,50.52
NY,f,1960-1969,26,0.00083,0.00083,0.5,96753,80,96712,4794569,49.55
NY,f,1960-1969,27,0.00088,0.00088,0.5,96672,85,96629,4697856,48.60
NY,f,1960-1969,28,0.00093,0.00092,0.5,96587,89,96542,4601227,47.64
NY,f,1960-1969,29,0.00097,0.00097,0.5,96497,94,96451,4504685,46.68
NY,f,1960-1969,30,0.00113,0.00113,0.5,96404,109,96350,4408234,45.73
NY,f,1960-1969,31,0.00118,0.00118,0.5,96295,113,96239,4311885,44.78
NY,f,1960-1969,32,0.00129,0.00128,0.5,96182,124,96120,4215646,43.83
NY,f,1960-1969,33,0.00134,0.00134,0.5,96059,129,95994,4119526,42.89
NY,f,1960-1969,34,0.00149,0.00149,0.5,95930,143,95858,4023532,41.94
NY,f,1960-1969,35,0.00162,0.00162,0.5,95787,155,95709,3927673,41.00
NY,f,1960-1969,36,0.00170,0.00170,0.5,95632,162,95551,3831964,40.07
NY,f,1960-1969,37,0.00186,0.00186,0.5,95470,178,95381,3736413,39.14
NY,f,1960-1969,38,0.00202,0.00202,0.5,95292,193,95196,3641033,38.21
NY,f,1960-1969,39,0.00224,0.00224,0.5,95099,213,94993,3545837,37.29
NY,f,1960-1969,40,0.00248,0.00248,0.5,94886,235,94769,3450844,36.37
NY,f,1960-1969,41,0.00253,0.00253,0.5,94651,239,94532,3356075,35.46
NY,f,1960-1969,42,0.00298,0.00297,0.5,94412,281,94272,3261543,34.55
NY,f,1960-1969,43,0.00310,0.00309,0.5,94131,291,93986,3167272,33.65
NY,f,1960-1969,44,0.00333,0.00332,0.5,93840,312,93684,3073286,32.75
NY,f,1960-1969,45,0.00376,0.00376,0.5,93529,351,93353,2979601,31.86
NY,f,1960-1969,46,0.00396,0.00395,0.5,93177,368,92993,2886248,30.98
NY,f,1960-1969,47,0.00436,0.00435,0.5,92809,404,92607,2793255,30.10
NY,f,1960-1969,48,0.00477,0.00476,0.5,92406,440,92186,2700648,29.23
NY,f,1960-1969,49,0.00520,0.00518,0.5,91966,477,91727,2608462,28.36
NY,f,1960-1969,50,0.00578,0.00576,0.5,91489,527,91225,2516735,27.51
NY,f,1960-1969,51,0.00606,0.00604,0.5,90962,550,90687,2425510,26.67
NY,f,1960-1969,52,0.00672,0.00669,0.5,90412,605,90110,2334823,25.82
NY,f,1960-1969,53,0.00710,0.00707,0.5,89807,635,89489,2244713,24.99
NY,f,1960-1969,54,0.00768,0.00765,0.5,89172,682,88831,2155224,24.17
NY,f,1960-1969,55,0.00832,0.00829,0.5,88489,733,88123,2066393,23.35
NY,f,1960-1969,56,0.00880,0.00876,0.5,87756,769,87372,1978270,22.54
NY,f,1960-1969,57,0.00951,0.00946,0.5,86987,823,86576,1890899,21.74
NY,f,1960-1969,58,0.01046,0.01041,0.5,86164,897,85716,1804323,20.94
NY,f,1960-1969,59,0.01124,0.01118,0.5,85267,953,84790,1718607,20.16
NY,f,1960-1969,60,0.01247,0.01240,0.5,84314,1045,83791,1633817,19.38
NY,f,1960-1969,61,0.01287,0.01279,0.5,83269,1065,82736,1550026,18.61
NY,f,1960-1969,62,0.01541,0.01530,0.5,82204,1257,81575,1467290,17.85
NY,f,1960-1969,63,0.01587,0.01575,0.5,80946,1275,80309,1385715,17.12
NY,f,1960-1969,64,0.01701,0.01687,0.5,79672,1344,79000,1305406,16.38
NY,f,1960-1969,65,0.02037,0.02017,0.5,78327,1580,77538,1226406,15.66
NY,f,1960-1969,66,0.02053,0.02032,0.5,76748,1559,75968,1148869,14.97
NY,f,1960-1969,67,0.02333,0.02306,0.5,75189,1734,74322,1072900,14.27
NY,f,1960-1969,68,0.02629,0.02595,0.5,73455,1906,72502,998579,13.59
NY,f,1960-1969,69,0.02749,0.02712,0.5,71548,1940,70578,926077,12.94
NY,f,1960-1969,70,0.03298,0.03245,0.5,69608,2259,68479,855499,12.29
NY,f,1960-1969,71,0.03241,0.03189,0.5,67350,2148,66276,787020,11.69
NY,f,1960-1969,72,0.04065,0.03984,0.5,65202,2598,63903,720744,11.05
NY,f,1960-1969,73,0.04269,0.04180,0.5,62604,2617,61296,656841,10.49
NY,f,1960-1969,74,0.04674,0.04567,0.5,59987,2740,58617,595546,9.93
NY,f,1960-1969,75,0.05484,0.05338,0.5,57248,3056,55720,536928,9.38
NY,f,1960-1969,76,0.05608,0.05455,0.5,54192,2956,52714,481209,8.88
NY,f,1960-1969,77,0.06028,0.05852,0.5,51236,2998,49736,428495,8.36
NY,f,1960-1969,78,0.07044,0.06805,0.5,48237,3282,46596,378758,7.85
NY,f,1960-1969,79,0.07596,0.07318,0.5,44955,3290,43310,332162,7.39
NY,f,1960-1969,80,0.09379,0.08959,0.5,41665,3733,39799,288852,6.93
NY,f,1960-1969,81,0.08908,0.08529,0.5,37933,3235,36315,249053,6.57
NY,f,1960-1969,82,0.10514,0.09989,0.5,34698,3466,32964,212738,6.13
NY,f,1960-1969,83,0.11615,0.10978,0.5,31231,3429,29517,179774,5.76
NY,f,1960-1969,84,0.12787,0.12019,0.5,27803,3342,26132,150257,5.40
NY,f,1960-1969,85,0.14539,0.13553,0.5,24461,3315,22804,124124,5.07
NY,f,1960-1969,86,0.15410,0.14307,0.5,21146,3025,19633,101321,4.79
NY,f,1960-1969,87,0.16608,0.15335,0.5,18121,2779,16731,81687,4.51
NY,f,1960-1969,88,0.18126,0.16620,0.5,15342,2550,14067,64956,4.23
NY,f,1960-1969,89,0.19534,0.17796,0.5,12792,2276,11654,50889,3.98
NY,f,1960-1969,90,0.22748,0.20425,0.5,10516,2148,9442,39235,3.73
NY,f,1960-1969,91,0.21891,0.19731,0.5,8368,1651,7542,29794,3.56
NY,f,1960-1969,92,0.25246,0.22416,0.5,6717,1506,5964,22251,3.31
NY,f,1960-1969,93,0.26935,0.23738,0.5,5211,1237,4593,16288,3.13
NY,f,1960-1969,94,0.29681,0.25846,0.5,3974,1027,3460,11695,2.94
NY,f,1960-1969,95,0.31158,0.26959,0.5,2947,794,2550,8235,2.79
NY,f,1960-1969,96,0.33399,0.28620,0.5,2152,616,1844,5685,2.64
NY,f,1960-1969,97,0.35717,0.30305,0.5,1536,466,1304,3840,2.50
NY,f,1960-1969,98,0.38104,0.32006,0.5,1071,343,899,2537,2.37
NY,f,1960-1969,99,0.40550,0.33714,0.5,728,245,605,1637,2.25
NY,f,1960-1969,100,0.43043,0.35420,0.5,483,171,397,1032,2.14
NY,f,1960-1969,101,0.45573,0.37115,0.5,312,116,254,635,2.04
NY,f,1960-1969,102,0.48125,0.38791,0.5,196,76,158,381,1.94
NY,f,1960-1969,103,0.50687,0.40439,0.5,120,49,96,223,1.86
NY,f,1960-1969,104,0.53246,0.42051,0.5,71,30,56,127,1.78
NY,f,1960-1969,105,0.55787,0.43620,0.5,41,18,32,71,1.71
NY,f,1960-1969,106,0.58299,0.45141,0.5,23,11,18,38,1.65
NY,f,1960-1969,107,0.60769,0.46607,0.5,13,6,10,20,1.59
NY,f,1960-1969,108,0.63184,0.48015,0.5,7,3,5,11,1.54
NY,f,1960-1969,109,0.65535,0.49361,0.5,4,2,3,5,1.50
NY,f,1960-1969,110+,0.67813,1.00000,1.47,2,2,3,3,1.47
NY,f,1970-1979,0,0.01464,0.01444,0.09,100000,1444,98691,7564583,75.65
NY,f,1970-1979,1,0.00085,0.00085,0.5,98556,84,98514,7465892,75.75
NY,f,1970-1979,2,0.00061,0.00061,0.5,98472,60,98441,7367378,74.82
NY,f,1970-1979,3,0.00045,0.00045,0.5,98411,44,98389,7268937,73.86
NY,f,1970-1979,4,0.00038,0.00038,0.5,98367,37,98349,7170548,72.90
NY,f,1970-1979,5,0.00037,0.00037,0.5,98330,36,98312,7072199,71.92
NY,f,1970-1979,6,0.00031,0.00031,0.5,98294,30,98279,6973887,70.95
NY,f,1970-1979,7,0.00028,0.00028,0.5,98264,28,98250,6875609,69.97
NY,f,1970-1979,8,0.00025,0.00025,0.5,98236,24,98223,6777359,68.99
NY,f,1970-1979,9,0.00022,0.00022,0.5,98211,22,98200,6679136,68.01
NY,f,1970-1979,10,0.00020,0.00020,0.5,98189,20,98179,6580936,67.02
NY,f,1970-1979,11,0.00021,0.00021,0.5,98169,20,98159,6482756,66.04
NY,f,1970-1979,12,0.00022,0.00022,0.5,98149,22,98138,6384597,65.05
NY,f,1970-1979,13,0.00027,0.00027,0.5,98127,27,98114,6286459,64.06
NY,f,1970-1979,14,0.00029,0.00029,0.5,98101,29,98086,6188345,63.08
NY,f,1970-1979,15,0.00035,0.00035,0.5,98072,34,98054,6090259,62.10
NY,f,1970-1979,16,0.00043,0.00043,0.5,98037,42,98016,5992204,61.12
NY,f,1970-1979,17,0.00054,0.00054,0.5,97995,53,97969,5894188,60.15
NY,f,1970-1979,18,0.00057,0.00057,0.5,97942,56,97914,5796219,59.18
NY,f,1970-1979,19,0.00060,0.00060,0.5,97886,59,97857,5698305,58.21
NY,f,1970-1979,20,0.00065,0.00065,0.5,97827,63,97795,5600449,57.25
NY,f,1970-1979,21,0.00063,0.00063,0.5,97764,62,97733,5502653,56.29
NY,f,1970-1979,22,0.00068,0.00068,0.5,97702,67,97669,5404920,55.32
NY,f,1970-1979,23,0.00067,0.00067,0.5,97635,66,97602,5307252,54.36
NY,f,1970-1979,24,0.00069,0.00069,0.5,97569,67,97536,5209649,53.39
NY,f,1970-1979,25,0.00075,0.00075,0.5,97503,73,97466,5112113,52.43
NY,f,1970-1979,26,0.00080,0.00080,0.5,97430,78,97391,5014647,51.47
NY,f,1970-1979,27,0.00078,0.00078,0.5,97352,76,97314,4917257,50.51
NY,f,1970-1979,28,0.00085,0.00085,0.5,97276,83,97235,4819943,49.55
NY,f,1970-1979,29,0.00085,0.00085,0.5,97193,82,97152,4722708,48.59
NY,f,1970-1979,30,0.00089,0.00089,0.5,97111,87,97068,4625556,47.63
NY,f,1970-1979,31,0.00101,0.00101,0.5,97024,98,96975,4528488,46.67
NY,f,1970-1979,32,0.00101,0.00101,0.5,96926,98,96877,4431513,45.72
NY,f,1970-1979,33,0.00112,0.00112,0.5,96828,108,96774,4334636,44.77
NY,f,1970-1979,34,0.00117,0.00117,0.5,96720,113,96663,4237862,43.82
NY,f,1970-1979,35,0.00136,0.00136,0.5,96607,132,96541,4141198,42.87
NY,f,1970-1979,36,0.00140,0.00140,0.5,96475,135,96407,4044657,41.92
NY,f,1970-1979,37,0.00154,0.00154,0.5,96340,148,96266,3948250,40.98
NY,f,1970-1979,38,0.00169,0.00169,0.5,96192,163,96110,3851984,40.04
NY,f,1970-1979,39,0.00185,0.00185,0.5,96029,178,95940,3755874,39.11
NY,f,1970-1979,40,0.00201,0.00201,0.5,95852,193,95755,3659933,38.18
NY,f,1970-1979,41,0.00220,0.00219,0.5,95659,210,95554,3564178,37.26
NY,f,1970-1979,42,0.00255,0.00255,0.5,95449,243,95327,3468624,36.34
NY,f,1970-1979,43,0.00290,0.00289,0.5,95206,275,95068,3373297,35.43
NY,f,1970-1979,44,0.00283,0.00282,0.5,94931,268,94797,3278229,34.53
NY,f,1970-1979,45,0.00325,0.00325,0.5,94663,307,94509,3183432,33.63
NY,f,1970-1979,46,0.00364,0.00363,0.5,94355,343,94184,3088923,32.74
NY,f,1970-1979,47,0.00382,0.00381,0.5,94013,358,93834,2994739,31.85
NY,f,1970-1979,48,0.00421,0.00420,0.5,93654,393,93458,2900906,30.97
NY,f,1970-1979,49,0.00454,0.00453,0.5,93261,423,93050,2807448,30.10
NY,f,1970-1979,50,0.00484,0.00483,0.5,92838,448,92614,2714398,29.24
NY,f,1970-1979,51,0.00510,0.00509,0.5,92390,470,92155,2621784,28.38
NY,f,1970-1979,52,0.00575,0.00573,0.5,91920,527,91657,2529628,27.52
NY,f,1970-1979,53,0.00614,0.00612,0.5,91394,560,91114,2437971,26.68
NY,f,1970-1979,54,0.00663,0.00661,0.5,90834,600,90534,2346858,25.84
NY,f,1970-1979,55,0.00723,0.00720,0.5,90234,650,89909,2256324,25.01
NY,f,1970-1979,56,0.00789,0.00786,0.5,89584,704,89232,2166415,24.18
NY,f,1970-1979,57,0.00840,0.00836,0.5,88880,743,88508,2077184,23.37
NY,f,1970-1979,58,0.00918,0.00914,0.5,88136,805,87733,1988676,22.56
NY,f,1970-1979,59,0.00996,0.00991,0.5,87331,865,86898,1900942,21.77
NY,f,1970-1979,60,0.01127,0.01121,0.5,86466,969,85981,1814044,20.98
NY,f,1970-1979,61,0.01158,0.01152,0.5,85497,985,85004,1728063,20.21
NY,f,1970-1979,62,0.01305,0.01297,0.5,84512,1096,83964,1643059,19.44
NY,f,1970-1979,63,0.01372,0.01362,0.5,83416,1136,82848,1559095,18.69
NY,f,1970-1979,64,0.01481,0.01471,0.5,82279,1210,81674,1476247,17.94
NY,f,1970-1979,65,0.01690,0.01676,0.5,81070,1359,80390,1394573,17.20
NY,f,1970-1979,66,0.01718,0.01703,0.5,79711,1358,79032,1314183,16.49
NY,f,1970-1979,67,0.01929,0.01911,0.5,78353,1497,77605,1235151,15.76
NY,f,1970-1979,68,0.02078,0.02057,0.5,76856,1581,76066,1157546,15.06
NY,f,1970-1979,69,0.02242,0.02217,0.5,75276,1669,74441,1081480,14.37
NY,f,1970-1979,70,0.02596,0.02563,0.5,73607,1887,72663,1007039,13.68
NY,f,1970-1979,71,0.02706,0.02670,0.5,71720,1915,70762,934376,13.03
NY,f,1970-1979,72,0.03131,0.03083,0.5,69805,2152,68729,863613,12.37
NY,f,1970-1979,73,0.03385,0.03328,0.5,67653,2252,66527,794885,11.75
NY,f,1970-1979,74,0.03770,0.03701,0.5,65401,2420,64191,728358,11.14
NY,f,1970-1979,75,0.04323,0.04232,0.5,62981,2665,61648,664167,10.55
NY,f,1970-1979,76,0.04549,0.04448,0.5,60316,2683,58974,602519,9.99
NY,f,1970-1979,77,0.04965,0.04845,0.5,57633,2792,56237,543545,9.43
NY,f,1970-1979,78,0.05653,0.05498,0.5,54841,3015,53333,487308,8.89
NY,f,1970-1979,79,0.06166,0.05982,0.5,51826,3100,50276,433975,8.37
NY,f,1970-1979,80,0.07343,0.07083,0.5,48726,3451,47000,383699,7.87
NY,f,1970-1979,81,0.07571,0.07295,0.5,45274,3303,43623,336699,7.44
NY,f,1970-1979,82,0.08574,0.08222,0.5,41972,3451,40246,293076,6.98
NY,f,1970-1979,83,0.09604,0.09164,0.5,38521,3530,36756,252829,6.56
NY,f,1970-1979,84,0.10550,0.10021,0.5,34991,3506,33238,216073,6.18
NY,f,1970-1979,85,0.11834,0.11173,0.5,31485,3518,29726,182836,5.81
NY,f,1970-1979,86,0.12798,0.12029,0.5,27967,3364,26285,153110,5.47
NY,f,1970-1979,87,0.13635,0.12765,0.5,24603,3140,23033,126825,5.15
NY,f,1970-1979,88,0.14924,0.13888,0.5,21462,2981,19972,103793,4.84
NY,f,1970-1979,89,0.16277,0.15052,0.5,18482,2782,17091,83821,4.54
NY,f,1970-1979,90,0.18741,0.17135,0.5,15700,2690,14355,66730,4.25
NY,f,1970-1979,91,0.18830,0.17209,0.5,13010,2239,11890,52375,4.03
NY,f,1970-1979,92,0.21349,0.19290,0.5,10771,2078,9732,40485,3.76
NY,f,1970-1979,93,0.23190,0.20780,0.5,8693,1806,7790,30753,3.54
NY,f,1970-1979,94,0.25269,0.22434,0.5,6887,1545,6114,22963,3.33
NY,f,1970-1979,95,0.26737,0.23584,0.5,5342,1260,4712,16849,3.15
NY,f,1970-1979,96,0.28807,0.25180,0.5,4082,1028,3568,12138,2.97
NY,f,1970-1979,97,0.30970,0.26817,0.5,3054,819,2645,8570,2.81
NY,f,1970-1979,98,0.33219,0.28488,0.5,2235,637,1917,5925,2.65
NY,f,1970-1979,99,0.35548,0.30183,0.5,1598,482,1357,4009,2.51
NY,f,1970-1979,100,0.37947,0.31895,0.5,1116,356,938,2651,2.38
NY,f,1970-1979,101,0.40407,0.33615,0.5,760,255,632,1713,2.25
NY,f,1970-1979,102,0.42915,0.35333,0.5,505,178,415,1081,2.14
NY,f,1970-1979,103,0.45461,0.37041,0.5,326,121,266,666,2.04
NY,f,1970-1979,104,0.48030,0.38729,0.5,205,80,166,400,1.95
NY,f,1970-1979,105,0.50610,0.40390,0.5,126,51,100,234,1.86
NY,f,1970-1979,106,0.53187,0.42014,0.5,75,32,59,134,1.79
NY,f,1970-1979,107,0.55747,0.43595,0.5,44,19,34,75,1.72
NY,f,1970-1979,108,0.58277,0.45127,0.5,25,11,19,41,1.66
NY,f,1970-1979,109,0.60764,0.46604,0.5,13,6,10,22,1.61
NY,f,1970-1979,110+,0.63196,1.00000,1.58,7,7,11,11,1.58
NY,f,1980-1989,0,0.01051,0.01041,0.08,100000,1041,99045,7744423,77.44
NY,f,1980-1989,1,0.00071,0.00071,0.5,98959,70,98924,7645378,77.26
NY,f,1980-1989,2,0.00046,0.00046,0.5,98889,45,98866,7546454,76.31
NY,f,1980-1989,3,0.00035,0.00035,0.5,98844,34,98827,7447587,75.35
NY,f,1980-1989,4,0.00028,0.00028,0.5,98809,28,98795,7348761,74.37
NY,f,1980-1989,5,0.00024,0.00024,0.5,98781,24,98769,7249965,73.39
NY,f,1980-1989,6,0.00022,0.00022,0.5,98758,22,98747,7151196,72.41
NY,f,1980-1989,7,0.00020,0.00020,0.5,98736,20,98726,7052449,71.43
NY,f,1980-1989,8,0.00019,0.00019,0.5,98716,19,98706,6953724,70.44
NY,f,1980-1989,9,0.00016,0.00016,0.5,98697,16,98689,6855017,69.46
NY,f,1980-1989,10,0.00018,0.00018,0.5,98681,18,98672,6756328,68.47
NY,f,1980-1989,11,0.00017,0.00017,0.5,98663,17,98655,6657656,67.48
NY,f,1980-1989,12,0.00021,0.00021,0.5,98646,20,98636,6559002,66.49
NY,f,1980-1989,13,0.00020,0.00020,0.5,98626,19,98616,6460366,65.50
NY,f,1980-1989,14,0.00027,0.00027,0.5,98606,27,98593,6361750,64.52
NY,f,1980-1989,15,0.00029,0.00029,0.5,98580,29,98565,6263157,63.53
NY,f,1980-1989,16,0.00035,0.00035,0.5,98551,35,98533,6164592,62.55
NY,f,1980-1989,17,0.00038,0.00038,0.5,98516,37,98497,6066059,61.57
NY,f,1980-1989,18,0.00043,0.00043,0.5,98478,43,98457,5967562,60.60
NY,f,1980-1989,19,0.00048,0.00048,0.5,98436,48,98412,5869105,59.62
NY,f,1980-1989,20,0.00049,0.00049,0.5,98388,48,98364,5770693,58.65
NY,f,1980-1989,21,0.00052,0.00052,0.5,98340,51,98315,5672329,57.68
NY,f,1980-1989,22,0.00052,0.00052,0.5,98289,51,98263,5574015,56.71
NY,f,1980-1989,23,0.00056,0.00056,0.5,98238,55,98210,5475751,55.74
NY,f,1980-1989,24,0.00059,0.00059,0.5,98183,58,98154,5377541,54.77
NY,f,1980-1989,25,0.00065,0.00065,0.5,98125,64,98093,5279387,53.80
NY,f,1980-1989,26,0.00071,0.00071,0.5,98061,69,98026,5181295,52.84
NY,f,1980-1989,27,0.00073,0.00073,0.5,97991,72,97955,5083269,51.87
NY,f,1980-1989,28,0.00080,0.00080,0.5,97920,78,97881,4985313,50.91
NY,f,1980-1989,29,0.00081,0.00081,0.5,97841,79,97802,4887433,49.95
NY,f,1980-1989,30,0.00091,0.00091,0.5,97762,89,97717,4789631,48.99
NY,f,1980-1989,31,0.00098,0.00098,0.5,97673,96,97625,4691914,48.04
NY,f,1980-1989,32,0.00103,0.00103,0.5,97577,101,97527,4594289,47.08
NY,f,1980-1989,33,0.00113,0.00113,0.5,97476,110,97422,4496762,46.13
NY,f,1980-1989,34,0.00114,0.00114,0.5,97367,111,97311,4399340,45.18
NY,f,1980-1989,35,0.00121,0.00121,0.5,97255,118,97196,4302029,44.23
NY,f,1980-1989,36,0.00132,0.00132,0.5,97137,128,97074,4204833,43.29
NY,f,1980-1989,37,0.00135,0.00135,0.5,97010,131,96944,4107759,42.34
NY,f,1980-1989,38,0.00154,0.00154,0.5,96878,149,96804,4010815,41.40
NY,f,1980-1989,39,0.00152,0.00152,0.5,96729,147,96656,3914012,40.46
NY,f,1980-1989,40,0.00167,0.00167,0.5,96582,161,96502,3817356,39.52
NY,f,1980-1989,41,0.00180,0.00180,0.5,96421,173,96335,3720854,38.59
NY,f,1980-1989,42,0.00204,0.00204,0.5,96248,196,96150,3624519,37.66
NY,f,1980-1989,43,0.00210,0.00210,0.5,96052,202,95951,3528369,36.73
NY,f,1980-1989,44,0.00225,0.00225,0.5,95851,216,95743,3432418,35.81
NY,f,1980-1989,45,0.00265,0.00264,0.5,95635,253,95509,3336675,34.89
NY,f,1980-1989,46,0.00278,0.00278,0.5,95382,265,95250,3241166,33.98
NY,f,1980-1989,47,0.00319,0.00318,0.5,95117,303,94966,3145917,33.07
NY,f,1980-1989,48,0.00345,0.00345,0.5,94815,327,94651,3050951,32.18
NY,f,1980-1989,49,0.00351,0.00351,0.5,94488,332,94322,2956299,31.29
NY,f,1980-1989,50,0.00421,0.00420,0.5,94156,395,93959,2861977,30.40
NY,f,1980-1989,51,0.00465,0.00464,0.5,93761,435,93544,2768018,29.52
NY,f,1980-1989,52,0.00505,0.00504,0.5,93326,470,93091,2674474,28.66
NY,f,1980-1989,53,0.00549,0.00547,0.5,92856,508,92602,2581383,27.80
NY,f,1980-1989,54,0.00576,0.00575,0.5,92348,531,92083,2488781,26.95
NY,f,1980-1989,55,0.00628,0.00626,0.5,91817,575,91530,2396699,26.10
NY,f,1980-1989,56,0.00702,0.00699,0.5,91242,638,90923,2305169,25.26
NY,f,1980-1989,57,0.00738,0.00735,0.5,90604,666,90271,2214246,24.44
NY,f,1980-1989,58,0.00834,0.00831,0.5,89938,747,89564,2123975,23.62
NY,f,1980-1989,59,0.00883,0.00879,0.5,89191,784,88799,2034411,22.81
NY,f,1980-1989,60,0.00965,0.00960,0.5,88406,849,87982,1945612,22.01
NY,f,1980-1989,61,0.01050,0.01045,0.5,87558,915,87100,1857630,21.22
NY,f,1980-1989,62,0.01223,0.01216,0.5,86643,1054,86116,1770530,20.43
NY,f,1980-1989,63,0.01286,0.01278,0.5,85590,1094,85043,1684413,19.68
