NY: New York, Lifetables (period 5x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02353	0.02305	0.11	100000	2305	97957	6994750	69.95
1960-1969	1-4	0.00085	0.00339	1.66	97695	331	390004	6896793	70.60
1960-1969	5-9	0.00042	0.00208	2.26	97363	203	486261	6506790	66.83
1960-1969	10-14	0.00036	0.00182	2.68	97160	177	485391	6020529	61.96
1960-1969	15-19	0.00083	0.00415	2.89	96984	402	484071	5535137	57.07
1960-1969	20-24	0.00120	0.00597	2.52	96582	577	481476	5051066	52.30
1960-1969	25-29	0.00131	0.00654	2.56	96005	628	478488	4569591	47.60
1960-1969	30-34	0.00169	0.00839	2.6	95376	800	474963	4091103	42.89
1960-1969	35-39	0.00244	0.01211	2.65	94576	1145	470189	3616140	38.24
1960-1969	40-44	0.00376	0.01861	2.65	93431	1739	463065	3145951	33.67
1960-1969	45-49	0.00587	0.02894	2.67	91691	2653	452265	2682885	29.26
1960-1969	50-54	0.00930	0.04552	2.65	89038	4053	435654	2230621	25.05
1960-1969	55-59	0.01416	0.06850	2.63	84986	5822	411159	1794966	21.12
1960-1969	60-64	0.02151	0.10227	2.61	79164	8096	376449	1383807	17.48
1960-1969	65-69	0.03239	0.15018	2.58	71068	10673	329474	1007359	14.17
1960-1969	70-74	0.04941	0.22056	2.57	60395	13320	269596	677885	11.22
1960-1969	75-79	0.07440	0.31362	2.5	47074	14764	198431	408289	8.67
1960-1969	80-84	0.11709	0.45002	2.43	32311	14540	124184	209858	6.50
1960-1969	85-89	0.17701	0.59737	2.28	17770	10615	59968	85674	4.82
1960-1969	90-94	0.25605	0.73635	2.12	7155	5269	20576	25706	3.59
1960-1969	95-99	0.35316	0.84529	1.92	1886	1595	4515	5130	2.72
1960-1969	100-104	0.46660	0.91735	1.69	292	268	574	615	2.11
1960-1969	105-109	0.58471	0.95719	1.49	24	23	39	41	1.70
1960-1969	110+	0.67872	1.00000	1.47	1	1	2	2	1.47
1970-1979	0	0.01654	0.01629	0.09	100000	1629	98524	7208287	72.08
1970-1979	1-4	0.00065	0.00261	1.69	98371	257	392892	7109763	72.28
1970-1979	5-9	0.00034	0.00170	2.28	98114	167	490117	6716871	68.46
1970-1979	10-14	0.00031	0.00157	2.74	97947	153	489390	6226753	63.57
1970-1979	15-19	0.00089	0.00446	2.89	97794	436	488051	5737364	58.67
1970-1979	20-24	0.00136	0.00679	2.51	97358	661	485143	5249313	53.92
1970-1979	25-29	0.00141	0.00701	2.51	96697	678	481795	4764170	49.27
1970-1979	30-34	0.00160	0.00799	2.58	96019	767	478238	4282375	44.60
1970-1979	35-39	0.00224	0.01114	2.64	95252	1061	473751	3804137	39.94
1970-1979	40-44	0.00337	0.01670	2.65	94191	1573	467264	3330386	35.36
1970-1979	45-49	0.00530	0.02619	2.64	92618	2426	457361	2863122	30.91
1970-1979	50-54	0.00791	0.03880	2.64	90192	3500	442686	2405761	26.67
1970-1979	55-59	0.01205	0.05856	2.64	86692	5077	421478	1963074	22.64
1970-1979	60-64	0.01844	0.08831	2.61	81615	7207	390881	1541596	18.89
1970-1979	65-69	0.02734	0.12827	2.59	74408	9544	349039	1150715	15.46
1970-1979	70-74	0.04129	0.18769	2.58	64864	12175	294888	801676	12.36
1970-1979	75-79	0.06312	0.27312	2.54	52689	14391	227987	506788	9.62
1970-1979	80-84	0.09957	0.39764	2.47	38298	15229	152948	278802	7.28
1970-1979	85-89	0.14996	0.53603	2.34	23070	12366	82462	125853	5.46
1970-1979	90-94	0.22133	0.68293	2.2	10704	7310	33027	43391	4.05
1970-1979	95-99	0.30965	0.80362	2.01	3394	2727	8808	10364	3.05
1970-1979	100-104	0.41784	0.89173	1.79	666	594	1422	1556	2.33
1970-1979	105-109	0.53582	0.94381	1.57	72	68	127	134	1.85
1970-1979	110+	0.63250	1.00000	1.58	4	4	6	6	1.58
1980-1989	0	0.01170	0.01157	0.08	100000	1157	98936	7394452	73.94
1980-1989	1-4	0.00050	0.00199	1.66	98843	197	394911	7295516	73.81
1980-1989	5-9	0.00024	0.00121	2.36	98646	119	492915	6900606	69.95
1980-1989	10-14	0.00025	0.00127	2.75	98527	125	492353	6407691	65.04
1980-1989	15-19	0.00072	0.00357	2.88	98402	352	491264	5915338	60.11
1980-1989	20-24	0.00111	0.00551	2.56	98050	541	488932	5424074	55.32
1980-1989	25-29	0.00140	0.00697	2.59	97509	679	485911	4935142	50.61
1980-1989	30-34	0.00188	0.00933	2.58	96830	904	481967	4449231	45.95
1980-1989	35-39	0.00238	0.01186	2.57	95926	1137	476863	3967265	41.36
1980-1989	40-44	0.00312	0.01548	2.61	94789	1467	470435	3490402	36.82
1980-1989	45-49	0.00452	0.02235	2.63	93322	2085	461668	3019967	32.36
1980-1989	50-54	0.00691	0.03397	2.63	91236	3099	448834	2558299	28.04
1980-1989	55-59	0.01035	0.05051	2.64	88137	4451	430165	2109466	23.93
1980-1989	60-64	0.01587	0.07649	2.62	83686	6401	403208	1679300	20.07
1980-1989	65-69	0.02373	0.11225	2.6	77285	8675	365626	1276092	16.51
1980-1989	70-74	0.03588	0.16509	2.59	68609	11327	315699	910466	13.27
1980-1989	75-79	0.05310	0.23491	2.55	57283	13456	253401	594768	10.38
1980-1989	80-84	0.08874	0.36314	2.5	43827	15915	179343	341367	7.79
1980-1989	85-89	0.13644	0.50329	2.39	27911	14048	102957	162024	5.80
1980-1989	90-94	0.20629	0.65798	2.25	13864	9122	44219	59067	4.26
1980-1989	95-99	0.29999	0.79387	2.04	4742	3764	12548	14849	3.13
1980-1989	100-104	0.41367	0.88995	1.8	977	870	2103	2301	2.35
1980-1989	105-109	0.53888	0.94524	1.57	108	102	189	198	1.84
1980-1989	110+	0.64162	1.00000	1.56	6	6	9	9	1.56
1990-1999	0	0.00834	0.00828	0.07	100000	828	99231	7580676	75.81
1990-1999	1-4	0.00037	0.00148	1.64	99172	147	396342	7481445	75.44
1990-1999	5-9	0.00018	0.00091	2.39	99025	90	494891	7085103	71.55
1990-1999	10-14	0.00020	0.00101	2.79	98935	100	494455	6590212	66.61
1990-1999	15-19	0.00063	0.00314	2.89	98835	311	493519	6095757	61.68
1990-1999	20-24	0.00094	0.00469	2.53	98524	462	491481	5602238	56.86
