PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WV,b,1960-1969,0,0.02567,0.02511,0.12,100000,2511,97790,6950445,69.50
WV,b,1960-1969,1-4,0.00102,0.00405,1.66,97489,395,389032,6852655,70.29
WV,b,1960-1969,5-9,0.00047,0.00235,2.31,97094,228,484856,6463623,66.57
WV,b,1960-1969,10-14,0.00048,0.00241,2.72,96866,233,483798,5978767,61.72
WV,b,1960-1969,15-19,0.00105,0.00525,2.78,96633,507,482037,5494968,56.86
WV,b,1960-1969,20-24,0.00140,0.00698,2.48,96126,671,478937,5012931,52.15
WV,b,1960-1969,25-29,0.00141,0.00701,2.52,95454,670,475610,4533994,47.50
WV,b,1960-1969,30-34,0.00180,0.00895,2.6,94785,848,471890,4058384,42.82
WV,b,1960-1969,35-39,0.00263,0.01308,2.68,93937,1229,466836,3586494,38.18
WV,b,1960-1969,40-44,0.00403,0.01999,2.73,92708,1853,459334,3119659,33.65
WV,b,1960-1969,45-49,0.00645,0.03177,2.66,90855,2886,447520,2660325,29.28
WV,b,1960-1969,50-54,0.00968,0.04732,2.67,87968,4163,430127,2212804,25.15
WV,b,1960-1969,55-59,0.01451,0.07015,2.63,83806,5879,405093,1782677,21.27
WV,b,1960-1969,60-64,0.02135,0.10162,2.65,77927,7919,370991,1377585,17.68
WV,b,1960-1969,65-69,0.03169,0.14714,2.58,70008,10301,325074,1006594,14.38
WV,b,1960-1969,70-74,0.04760,0.21358,2.6,59707,12752,267924,681520,11.41
WV,b,1960-1969,75-79,0.07204,0.30589,2.54,46954,14363,199374,413596,8.81
WV,b,1960-1969,80-84,0.11296,0.43914,2.47,32592,14312,126699,214222,6.57
WV,b,1960-1969,85-89,0.17876,0.60286,2.3,18279,11020,61647,87523,4.79
WV,b,1960-1969,90-94,0.25757,0.74008,2.13,7259,5373,20859,25876,3.56
WV,b,1960-1969,95-99,0.36172,0.85298,1.9,1887,1609,4449,5017,2.66
WV,b,1960-1969,100-104,0.48078,0.92399,1.67,277,256,533,568,2.05
WV,b,1960-1969,105-109,0.60284,0.96150,1.46,21,20,34,35,1.65
WV,b,1960-1969,110+,0.69848,1.00000,1.43,1,1,1,1,1.43
WV,b,1970-1979,0,0.01861,0.01830,0.1,100000,1830,98353,7081212,70.81
WV,b,1970-1979,1-4,0.00074,0.00294,1.69,98170,288,392015,6982860,71.13
WV,b,1970-1979,5-9,0.00039,0.00194,2.43,97882,190,488920,6590844,67.33
WV,b,1970-1979,10-14,0.00040,0.00201,2.68,97691,197,488002,6101924,62.46
WV,b,1970-1979,15-19,0.00110,0.00548,2.85,97495,534,486327,5613922,57.58
WV,b,1970-1979,20-24,0.00140,0.00696,2.51,96960,675,483119,5127595,52.88
WV,b,1970-1979,25-29,0.00144,0.00719,2.55,96286,692,479734,4644476,48.24
WV,b,1970-1979,30-34,0.00164,0.00815,2.55,95594,779,476057,4164742,43.57
WV,b,1970-1979,35-39,0.00236,0.01176,2.68,94814,1115,471484,3688685,38.90
WV,b,1970-1979,40-44,0.00381,0.01890,2.72,93699,1771,464467,3217201,34.34
WV,b,1970-1979,45-49,0.00600,0.02957,2.67,91929,2718,453317,2752733,29.94
WV,b,1970-1979,50-54,0.00933,0.04565,2.67,89210,4073,436570,2299416,25.78
WV,b,1970-1979,55-59,0.01401,0.06783,2.64,85138,5775,412075,1862846,21.88
WV,b,1970-1979,60-64,0.02102,0.10010,2.61,79363,7944,377865,1450771,18.28
WV,b,1970-1979,65-69,0.02985,0.13922,2.59,71419,9943,333104,1072906,15.02
WV,b,1970-1979,70-74,0.04464,0.20129,2.56,61476,12374,277189,739802,12.03
WV,b,1970-1979,75-79,0.06565,0.28276,2.55,49102,13884,211492,462614,9.42
WV,b,1970-1979,80-84,0.10184,0.40533,2.48,35218,14275,140169,251122,7.13
WV,b,1970-1979,85-89,0.15607,0.55264,2.36,20943,11574,74160,110952,5.30
WV,b,1970-1979,90-94,0.22921,0.69670,2.19,9369,6527,28477,36792,3.93
WV,b,1970-1979,95-99,0.32483,0.81966,1.98,2842,2329,7170,8315,2.93
WV,b,1970-1979,100-104,0.43815,0.90353,1.75,512,463,1057,1144,2.23
WV,b,1970-1979,105-109,0.55949,0.95092,1.53,49,47,84,88,1.77
WV,b,1970-1979,110+,0.65758,1.00000,1.52,2,2,4,4,1.52
WV,b,1980-1989,0,0.01077,0.01066,0.08,100000,1066,99017,7355354,73.55
WV,b,1980-1989,1-4,0.00053,0.00213,1.64,98934,211,395238,7256337,73.35
WV,b,1980-1989,5-9,0.00024,0.00122,2.49,98723,120,493313,6861098,69.50
WV,b,1980-1989,10-14,0.00029,0.00145,2.85,98603,143,492705,6367785,64.58
WV,b,1980-1989,15-19,0.00096,0.00478,2.88,98459,470,491301,5875080,59.67
WV,b,1980-1989,20-24,0.00118,0.00590,2.51,97989,578,488506,5383779,54.94
WV,b,1980-1989,25-29,0.00121,0.00605,2.51,97411,590,485588,4895273,50.25
WV,b,1980-1989,30-34,0.00135,0.00674,2.56,96821,652,482513,4409685,45.54
WV,b,1980-1989,35-39,0.00179,0.00890,2.6,96169,856,478790,3927172,40.84
WV,b,1980-1989,40-44,0.00278,0.01380,2.69,95313,1316,473524,3448382,36.18
WV,b,1980-1989,45-49,0.00447,0.02213,2.69,93997,2081,465183,2974858,31.65
WV,b,1980-1989,50-54,0.00728,0.03577,2.63,91917,3288,451803,2509675,27.30
WV,b,1980-1989,55-59,0.01135,0.05529,2.65,88629,4900,431633,2057872,23.22
WV,b,1980-1989,60-64,0.01791,0.08590,2.63,83729,7192,401608,1626239,19.42
WV,b,1980-1989,65-69,0.02684,0.12601,2.58,76537,9645,359385,1224632,16.00
WV,b,1980-1989,70-74,0.03900,0.17822,2.59,66892,11921,305678,865246,12.93
WV,b,1980-1989,75-79,0.05726,0.25092,2.54,54971,13793,240869,559568,10.18
WV,b,1980-1989,80-84,0.09054,0.36871,2.48,41178,15182,167684,318700,7.74
WV,b,1980-1989,85-89,0.13744,0.50552,2.38,25995,13141,95611,151015,5.81
WV,b,1980-1989,90-94,0.20437,0.65320,2.24,12854,8396,41084,55404,4.31
WV,b,1980-1989,95-99,0.29185,0.78379,2.05,4458,3494,11972,14321,3.21
WV,b,1980-1989,100-104,0.39867,0.87978,1.83,964,848,2127,2349,2.44
WV,b,1980-1989,105-109,0.51735,0.93783,1.6,116,109,210,222,1.91
WV,b,1980-1989,110+,0.61561,1.00000,1.62,7,7,12,12,1.62
WV,b,1990-1999,0,0.00853,0.00847,0.07,100000,847,99214,7463340,74.63
WV,b,1990-1999,1-4,0.00040,0.00159,1.71,99153,158,396251,7364126,74.27
WV,b,1990-1999,5-9,0.00022,0.00108,2.41,98995,107,494699,6967875,70.39
WV,b,1990-1999,10-14,0.00025,0.00127,2.89,98888,126,494177,6473175,65.46
WV,b,1990-1999,15-19,0.00083,0.00415,2.82,98763,409,492922,5978999,60.54
WV,b,1990-1999,20-24,0.00100,0.00501,2.45,98353,493,490509,5486077,55.78
WV,b,1990-1999,25-29,0.00129,0.00645,2.63,97860,631,487805,4995568,51.05
WV,b,1990-1999,30-34,0.00153,0.00763,2.57,97229,741,484343,4507763,46.36
WV,b,1990-1999,35-39,0.00179,0.00890,2.58,96487,858,480363,4023420,41.70
WV,b,1990-1999,40-44,0.00252,0.01252,2.67,95629,1198,475357,3543058,37.05
WV,b,1990-1999,45-49,0.00380,0.01883,2.69,94431,1778,468049,3067700,32.49
WV,b,1990-1999,50-54,0.00628,0.03093,2.67,92653,2866,456600,2599652,28.06
