PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IL,m,1960-1969,0,0.02770,0.02704,0.12,100000,2704,97619,6633025,66.33
IL,m,1960-1969,1,0.00155,0.00155,0.5,97296,150,97221,6535407,67.17
IL,m,1960-1969,2,0.00106,0.00106,0.5,97146,103,97094,6438186,66.27
IL,m,1960-1969,3,0.00082,0.00082,0.5,97043,80,97003,6341091,65.34
IL,m,1960-1969,4,0.00071,0.00071,0.5,96963,69,96929,6244089,64.40
IL,m,1960-1969,5,0.00060,0.00060,0.5,96894,58,96865,6147160,63.44
IL,m,1960-1969,6,0.00052,0.00052,0.5,96836,50,96811,6050295,62.48
IL,m,1960-1969,7,0.00048,0.00048,0.5,96786,46,96763,5953484,61.51
IL,m,1960-1969,8,0.00046,0.00046,0.5,96740,44,96718,5856721,60.54
IL,m,1960-1969,9,0.00048,0.00048,0.5,96696,46,96673,5760003,59.57
IL,m,1960-1969,10,0.00038,0.00038,0.5,96650,36,96631,5663331,58.60
IL,m,1960-1969,11,0.00043,0.00043,0.5,96613,41,96592,5566699,57.62
IL,m,1960-1969,12,0.00049,0.00049,0.5,96572,47,96548,5470107,56.64
IL,m,1960-1969,13,0.00053,0.00053,0.5,96525,51,96499,5373558,55.67
IL,m,1960-1969,14,0.00067,0.00067,0.5,96474,65,96441,5277059,54.70
IL,m,1960-1969,15,0.00083,0.00083,0.5,96409,80,96369,5180618,53.74
IL,m,1960-1969,16,0.00114,0.00114,0.5,96328,110,96273,5084249,52.78
IL,m,1960-1969,17,0.00139,0.00139,0.5,96218,134,96152,4987976,51.84
IL,m,1960-1969,18,0.00158,0.00158,0.5,96085,152,96009,4891824,50.91
IL,m,1960-1969,19,0.00185,0.00185,0.5,95933,178,95844,4795815,49.99
IL,m,1960-1969,20,0.00182,0.00182,0.5,95755,174,95668,4699972,49.08
IL,m,1960-1969,21,0.00188,0.00188,0.5,95581,180,95491,4604304,48.17
IL,m,1960-1969,22,0.00187,0.00187,0.5,95401,178,95312,4508812,47.26
IL,m,1960-1969,23,0.00185,0.00185,0.5,95223,176,95135,4413500,46.35
IL,m,1960-1969,24,0.00180,0.00180,0.5,95047,171,94962,4318365,45.43
IL,m,1960-1969,25,0.00180,0.00180,0.5,94876,170,94791,4223403,44.51
IL,m,1960-1969,26,0.00182,0.00182,0.5,94706,172,94620,4128612,43.59
IL,m,1960-1969,27,0.00189,0.00189,0.5,94534,178,94445,4033992,42.67
IL,m,1960-1969,28,0.00186,0.00186,0.5,94355,175,94268,3939547,41.75
IL,m,1960-1969,29,0.00197,0.00197,0.5,94180,185,94088,3845280,40.83
IL,m,1960-1969,30,0.00195,0.00194,0.5,93995,183,93904,3751192,39.91
IL,m,1960-1969,31,0.00202,0.00202,0.5,93812,190,93717,3657288,38.99
IL,m,1960-1969,32,0.00220,0.00219,0.5,93623,205,93520,3563571,38.06
IL,m,1960-1969,33,0.00226,0.00225,0.5,93417,211,93312,3470051,37.15
IL,m,1960-1969,34,0.00248,0.00248,0.5,93207,231,93091,3376739,36.23
IL,m,1960-1969,35,0.00271,0.00271,0.5,92976,252,92850,3283648,35.32
IL,m,1960-1969,36,0.00298,0.00298,0.5,92724,276,92586,3190798,34.41
IL,m,1960-1969,37,0.00304,0.00304,0.5,92448,281,92308,3098212,33.51
IL,m,1960-1969,38,0.00346,0.00345,0.5,92167,318,92008,3005905,32.61
IL,m,1960-1969,39,0.00366,0.00365,0.5,91849,335,91682,2913896,31.72
IL,m,1960-1969,40,0.00426,0.00425,0.5,91514,389,91319,2822214,30.84
IL,m,1960-1969,41,0.00435,0.00434,0.5,91125,395,90927,2730895,29.97
IL,m,1960-1969,42,0.00487,0.00485,0.5,90729,440,90509,2639968,29.10
IL,m,1960-1969,43,0.00546,0.00544,0.5,90289,492,90043,2549459,28.24
IL,m,1960-1969,44,0.00569,0.00568,0.5,89797,510,89543,2459415,27.39
IL,m,1960-1969,45,0.00672,0.00670,0.5,89288,598,88989,2369873,26.54
IL,m,1960-1969,46,0.00683,0.00681,0.5,88690,604,88388,2280884,25.72
IL,m,1960-1969,47,0.00773,0.00770,0.5,88086,678,87747,2192496,24.89
IL,m,1960-1969,48,0.00855,0.00851,0.5,87407,744,87036,2104750,24.08
IL,m,1960-1969,49,0.00928,0.00924,0.5,86664,801,86263,2017714,23.28
IL,m,1960-1969,50,0.01104,0.01098,0.5,85863,943,85392,1931451,22.49
IL,m,1960-1969,51,0.01135,0.01129,0.5,84921,958,84441,1846059,21.74
IL,m,1960-1969,52,0.01279,0.01271,0.5,83962,1067,83429,1761618,20.98
IL,m,1960-1969,53,0.01374,0.01365,0.5,82895,1131,82330,1678189,20.24
IL,m,1960-1969,54,0.01512,0.01501,0.5,81764,1227,81150,1595859,19.52
IL,m,1960-1969,55,0.01665,0.01652,0.5,80537,1330,79872,1514709,18.81
IL,m,1960-1969,56,0.01774,0.01759,0.5,79207,1393,78510,1434838,18.12
IL,m,1960-1969,57,0.01942,0.01924,0.5,77813,1497,77065,1356328,17.43
IL,m,1960-1969,58,0.02098,0.02076,0.5,76316,1584,75524,1279263,16.76
IL,m,1960-1969,59,0.02293,0.02267,0.5,74732,1694,73885,1203739,16.11
IL,m,1960-1969,60,0.02575,0.02542,0.5,73038,1857,72109,1129854,15.47
IL,m,1960-1969,61,0.02668,0.02633,0.5,71181,1874,70244,1057744,14.86
IL,m,1960-1969,62,0.02936,0.02894,0.5,69307,2006,68304,987500,14.25
IL,m,1960-1969,63,0.03202,0.03152,0.5,67301,2121,66241,919196,13.66
IL,m,1960-1969,64,0.03388,0.03332,0.5,65180,2172,64094,852955,13.09
IL,m,1960-1969,65,0.03854,0.03781,0.5,63009,2382,61817,788861,12.52
IL,m,1960-1969,66,0.03905,0.03831,0.5,60626,2322,59465,727043,11.99
IL,m,1960-1969,67,0.04351,0.04258,0.5,58304,2483,57063,667578,11.45
IL,m,1960-1969,68,0.04655,0.04549,0.5,55821,2539,54551,610516,10.94
IL,m,1960-1969,69,0.04878,0.04761,0.5,53282,2537,52013,555964,10.43
IL,m,1960-1969,70,0.05676,0.05519,0.5,50745,2801,49344,503951,9.93
IL,m,1960-1969,71,0.05716,0.05557,0.5,47944,2664,46612,454607,9.48
IL,m,1960-1969,72,0.06450,0.06248,0.5,45280,2829,43865,407995,9.01
IL,m,1960-1969,73,0.06834,0.06609,0.5,42450,2805,41048,364130,8.58
IL,m,1960-1969,74,0.07406,0.07141,0.5,39645,2831,38230,323082,8.15
IL,m,1960-1969,75,0.08209,0.07886,0.5,36814,2903,35362,284853,7.74
IL,m,1960-1969,76,0.08428,0.08087,0.5,33911,2742,32540,249490,7.36
IL,m,1960-1969,77,0.09208,0.08803,0.5,31169,2744,29797,216950,6.96
IL,m,1960-1969,78,0.09744,0.09291,0.5,28425,2641,27104,187154,6.58
IL,m,1960-1969,79,0.10458,0.09938,0.5,25784,2562,24503,160049,6.21
IL,m,1960-1969,80,0.12025,0.11343,0.5,23221,2634,21904,135547,5.84
IL,m,1960-1969,81,0.12433,0.11705,0.5,20587,2410,19382,113642,5.52
IL,m,1960-1969,82,0.13942,0.13034,0.5,18178,2369,16993,94260,5.19
IL,m,1960-1969,83,0.15283,0.14198,0.5,15808,2245,14686,77267,4.89
IL,m,1960-1969,84,0.16808,0.15505,0.5,13564,2103,12512,62581,4.61
IL,m,1960-1969,85,0.17703,0.16264,0.5,11461,1864,10529,50069,4.37
IL,m,1960-1969,86,0.18902,0.17270,0.5,9597,1657,8768,39540,4.12
IL,m,1960-1969,87,0.20755,0.18804,0.5,7939,1493,7193,30772,3.88
IL,m,1960-1969,88,0.22433,0.20171,0.5,6447,1300,5796,23579,3.66
IL,m,1960-1969,89,0.23715,0.21201,0.5,5146,1091,4601,17782,3.46
IL,m,1960-1969,90,0.25572,0.22673,0.5,4055,919,3595,13182,3.25
IL,m,1960-1969,91,0.27972,0.24540,0.5,3136,769,2751,9586,3.06
IL,m,1960-1969,92,0.30396,0.26386,0.5,2366,624,2054,6835,2.89
IL,m,1960-1969,93,0.32260,0.27779,0.5,1742,484,1500,4781,2.74
IL,m,1960-1969,94,0.34915,0.29725,0.5,1258,374,1071,3281,2.61
IL,m,1960-1969,95,0.35970,0.30487,0.5,884,270,749,2210,2.50
IL,m,1960-1969,96,0.38198,0.32073,0.5,615,197,516,1461,2.38
IL,m,1960-1969,97,0.40477,0.33664,0.5,417,141,347,945,2.26
IL,m,1960-1969,98,0.42798,0.35254,0.5,277,98,228,598,2.16
IL,m,1960-1969,99,0.45151,0.36835,0.5,179,66,146,370,2.06
IL,m,1960-1969,100,0.47526,0.38401,0.5,113,43,92,223,1.97
IL,m,1960-1969,101,0.49912,0.39943,0.5,70,28,56,132,1.89
IL,m,1960-1969,102,0.52298,0.41457,0.5,42,17,33,76,1.81
IL,m,1960-1969,103,0.54674,0.42936,0.5,25,11,19,43,1.74
IL,m,1960-1969,104,0.57029,0.44375,0.5,14,6,11,24,1.68
IL,m,1960-1969,105,0.59352,0.45770,0.5,8,4,6,13,1.62
IL,m,1960-1969,106,0.61635,0.47115,0.5,4,2,3,7,1.57
IL,m,1960-1969,107,0.63867,0.48408,0.5,2,1,2,3,1.52
IL,m,1960-1969,108,0.66041,0.49647,0.5,1,1,1,2,1.48
IL,m,1960-1969,109,0.68149,0.50829,0.5,1,0,0,1,1.45
IL,m,1960-1969,110+,0.70186,1.00000,1.42,0,0,0,0,1.42
IL,m,1970-1979,0,0.02130,0.02090,0.1,100000,2090,98124,6771459,67.71
IL,m,1970-1979,1,0.00124,0.00124,0.5,97910,121,97850,6673335,68.16
IL,m,1970-1979,2,0.00084,0.00084,0.5,97789,82,97748,6575486,67.24
IL,m,1970-1979,3,0.00068,0.00068,0.5,97707,66,97674,6477738,66.30
IL,m,1970-1979,4,0.00057,0.00057,0.5,97641,55,97613,6380064,65.34
IL,m,1970-1979,5,0.00051,0.00051,0.5,97585,49,97560,6282452,64.38
IL,m,1970-1979,6,0.00045,0.00045,0.5,97536,44,97514,6184891,63.41
IL,m,1970-1979,7,0.00042,0.00042,0.5,97492,41,97472,6087377,62.44
IL,m,1970-1979,8,0.00039,0.00039,0.5,97451,38,97432,5989905,61.47
IL,m,1970-1979,9,0.00036,0.00036,0.5,97414,35,97396,5892473,60.49
IL,m,1970-1979,10,0.00039,0.00039,0.5,97379,38,97360,5795077,59.51
IL,m,1970-1979,11,0.00037,0.00037,0.5,97341,36,97323,5697716,58.53
IL,m,1970-1979,12,0.00040,0.00040,0.5,97305,38,97286,5600393,57.55
IL,m,1970-1979,13,0.00048,0.00048,0.5,97267,46,97244,5503107,56.58
IL,m,1970-1979,14,0.00063,0.00063,0.5,97220,62,97190,5405863,55.60
IL,m,1970-1979,15,0.00080,0.00080,0.5,97159,78,97120,5308674,54.64
IL,m,1970-1979,16,0.00118,0.00118,0.5,97081,115,97024,5211554,53.68
IL,m,1970-1979,17,0.00145,0.00145,0.5,96966,141,96896,5114530,52.75
IL,m,1970-1979,18,0.00187,0.00186,0.5,96826,181,96735,5017634,51.82
IL,m,1970-1979,19,0.00210,0.00210,0.5,96645,203,96544,4920899,50.92
IL,m,1970-1979,20,0.00213,0.00213,0.5,96442,205,96339,4824355,50.02
IL,m,1970-1979,21,0.00222,0.00221,0.5,96237,213,96130,4728016,49.13
IL,m,1970-1979,22,0.00237,0.00237,0.5,96024,227,95910,4631886,48.24
IL,m,1970-1979,23,0.00227,0.00227,0.5,95797,217,95688,4535975,47.35
IL,m,1970-1979,24,0.00227,0.00227,0.5,95579,217,95471,4440288,46.46
IL,m,1970-1979,25,0.00214,0.00214,0.5,95363,204,95261,4344817,45.56
IL,m,1970-1979,26,0.00203,0.00202,0.5,95159,193,95063,4249556,44.66
IL,m,1970-1979,27,0.00207,0.00206,0.5,94967,196,94868,4154493,43.75
IL,m,1970-1979,28,0.00198,0.00198,0.5,94770,187,94677,4059624,42.84
IL,m,1970-1979,29,0.00187,0.00187,0.5,94583,177,94495,3964948,41.92
IL,m,1970-1979,30,0.00206,0.00205,0.5,94406,194,94309,3870453,41.00
IL,m,1970-1979,31,0.00201,0.00201,0.5,94212,189,94118,3776144,40.08
IL,m,1970-1979,32,0.00207,0.00206,0.5,94023,194,93926,3682026,39.16
IL,m,1970-1979,33,0.00220,0.00219,0.5,93829,206,93726,3588101,38.24
IL,m,1970-1979,34,0.00227,0.00227,0.5,93623,212,93517,3494375,37.32
IL,m,1970-1979,35,0.00256,0.00256,0.5,93411,239,93291,3400858,36.41
IL,m,1970-1979,36,0.00271,0.00271,0.5,93172,253,93046,3307567,35.50
IL,m,1970-1979,37,0.00299,0.00299,0.5,92919,278,92781,3214521,34.59
IL,m,1970-1979,38,0.00307,0.00307,0.5,92642,284,92500,3121741,33.70
IL,m,1970-1979,39,0.00341,0.00340,0.5,92358,314,92201,3029241,32.80
IL,m,1970-1979,40,0.00380,0.00379,0.5,92043,349,91869,2937041,31.91
IL,m,1970-1979,41,0.00400,0.00399,0.5,91695,366,91512,2845171,31.03
IL,m,1970-1979,42,0.00450,0.00449,0.5,91329,410,91124,2753659,30.15
IL,m,1970-1979,43,0.00485,0.00484,0.5,90919,440,90699,2662535,29.28
IL,m,1970-1979,44,0.00509,0.00508,0.5,90479,459,90249,2571836,28.42
IL,m,1970-1979,45,0.00624,0.00622,0.5,90020,560,89740,2481587,27.57
IL,m,1970-1979,46,0.00668,0.00666,0.5,89460,595,89162,2391847,26.74
IL,m,1970-1979,47,0.00712,0.00710,0.5,88864,631,88549,2302685,25.91
IL,m,1970-1979,48,0.00774,0.00771,0.5,88233,681,87893,2214137,25.09
IL,m,1970-1979,49,0.00879,0.00875,0.5,87553,766,87170,2126244,24.29
IL,m,1970-1979,50,0.00938,0.00934,0.5,86786,810,86381,2039074,23.50
IL,m,1970-1979,51,0.01010,0.01005,0.5,85976,864,85544,1952693,22.71
IL,m,1970-1979,52,0.01114,0.01107,0.5,85112,942,84641,1867149,21.94
IL,m,1970-1979,53,0.01173,0.01167,0.5,84169,982,83679,1782508,21.18
IL,m,1970-1979,54,0.01304,0.01296,0.5,83188,1078,82649,1698829,20.42
IL,m,1970-1979,55,0.01441,0.01430,0.5,82110,1174,81523,1616181,19.68
IL,m,1970-1979,56,0.01552,0.01540,0.5,80936,1246,80312,1534658,18.96
IL,m,1970-1979,57,0.01692,0.01678,0.5,79689,1337,79020,1454346,18.25
IL,m,1970-1979,58,0.01869,0.01851,0.5,78352,1450,77626,1375325,17.55
IL,m,1970-1979,59,0.02011,0.01991,0.5,76901,1531,76136,1297699,16.87
IL,m,1970-1979,60,0.02282,0.02256,0.5,75370,1701,74520,1221563,16.21
IL,m,1970-1979,61,0.02318,0.02291,0.5,73669,1688,72825,1147044,15.57
IL,m,1970-1979,62,0.02631,0.02597,0.5,71981,1869,71046,1074219,14.92
IL,m,1970-1979,63,0.02881,0.02840,0.5,70112,1991,69116,1003172,14.31
IL,m,1970-1979,64,0.03125,0.03077,0.5,68121,2096,67073,934056,13.71
IL,m,1970-1979,65,0.03443,0.03384,0.5,66025,2235,64907,866983,13.13
IL,m,1970-1979,66,0.03631,0.03566,0.5,63790,2275,62653,802076,12.57
IL,m,1970-1979,67,0.03914,0.03839,0.5,61515,2361,60334,739423,12.02
IL,m,1970-1979,68,0.04183,0.04097,0.5,59154,2424,57942,679089,11.48
IL,m,1970-1979,69,0.04573,0.04471,0.5,56730,2536,55462,621147,10.95
IL,m,1970-1979,70,0.05037,0.04914,0.5,54194,2663,52862,565685,10.44
IL,m,1970-1979,71,0.05305,0.05168,0.5,51531,2663,50199,512823,9.95
IL,m,1970-1979,72,0.05864,0.05697,0.5,48868,2784,47476,462624,9.47
IL,m,1970-1979,73,0.06221,0.06033,0.5,46084,2780,44694,415148,9.01
IL,m,1970-1979,74,0.06853,0.06626,0.5,43303,2869,41869,370454,8.55
IL,m,1970-1979,75,0.07499,0.07228,0.5,40434,2923,38973,328586,8.13
IL,m,1970-1979,76,0.07952,0.07648,0.5,37512,2869,36077,289613,7.72
IL,m,1970-1979,77,0.08666,0.08306,0.5,34643,2877,33204,253535,7.32
IL,m,1970-1979,78,0.09358,0.08940,0.5,31766,2840,30346,220331,6.94
IL,m,1970-1979,79,0.10179,0.09686,0.5,28926,2802,27525,189986,6.57
IL,m,1970-1979,80,0.11109,0.10524,0.5,26124,2749,24749,162461,6.22
IL,m,1970-1979,81,0.11754,0.11102,0.5,23375,2595,22077,137711,5.89
IL,m,1970-1979,82,0.12733,0.11971,0.5,20780,2488,19536,115634,5.56
IL,m,1970-1979,83,0.13852,0.12955,0.5,18292,2370,17107,96098,5.25
IL,m,1970-1979,84,0.14960,0.13919,0.5,15922,2216,14814,78991,4.96
IL,m,1970-1979,85,0.16389,0.15148,0.5,13706,2076,12668,64176,4.68
IL,m,1970-1979,86,0.17392,0.16001,0.5,11630,1861,10700,51508,4.43
IL,m,1970-1979,87,0.19131,0.17461,0.5,9769,1706,8916,40809,4.18
IL,m,1970-1979,88,0.20152,0.18307,0.5,8063,1476,7325,31892,3.96
IL,m,1970-1979,89,0.22040,0.19852,0.5,6587,1308,5933,24567,3.73
IL,m,1970-1979,90,0.23889,0.21340,0.5,5279,1127,4716,18634,3.53
IL,m,1970-1979,91,0.25111,0.22310,0.5,4153,927,3690,13918,3.35
IL,m,1970-1979,92,0.26653,0.23519,0.5,3226,759,2847,10228,3.17
IL,m,1970-1979,93,0.29441,0.25664,0.5,2468,633,2151,7381,2.99
IL,m,1970-1979,94,0.30957,0.26807,0.5,1834,492,1588,5230,2.85
IL,m,1970-1979,95,0.32741,0.28135,0.5,1343,378,1154,3642,2.71
IL,m,1970-1979,96,0.34796,0.29639,0.5,965,286,822,2488,2.58
IL,m,1970-1979,97,0.36908,0.31158,0.5,679,212,573,1666,2.45
IL,m,1970-1979,98,0.39072,0.32687,0.5,467,153,391,1093,2.34
IL,m,1970-1979,99,0.41280,0.34218,0.5,315,108,261,702,2.23
IL,m,1970-1979,100,0.43524,0.35745,0.5,207,74,170,441,2.13
IL,m,1970-1979,101,0.45794,0.37262,0.5,133,50,108,271,2.04
IL,m,1970-1979,102,0.48082,0.38763,0.5,83,32,67,163,1.96
IL,m,1970-1979,103,0.50378,0.40242,0.5,51,21,41,96,1.88
IL,m,1970-1979,104,0.52673,0.41692,0.5,31,13,24,55,1.81
IL,m,1970-1979,105,0.54956,0.43110,0.5,18,8,14,31,1.74
IL,m,1970-1979,106,0.57218,0.44490,0.5,10,5,8,17,1.68
IL,m,1970-1979,107,0.59451,0.45828,0.5,6,3,4,9,1.63
IL,m,1970-1979,108,0.61646,0.47121,0.5,3,1,2,5,1.58
IL,m,1970-1979,109,0.63793,0.48366,0.5,2,1,1,2,1.54
IL,m,1970-1979,110+,0.65888,1.00000,1.52,1,1,1,1,1.52
IL,m,1980-1989,0,0.01424,0.01406,0.08,100000,1406,98711,7057769,70.58
IL,m,1980-1989,1,0.00093,0.00093,0.5,98594,92,98548,6959058,70.58
IL,m,1980-1989,2,0.00056,0.00056,0.5,98502,55,98475,6860510,69.65
IL,m,1980-1989,3,0.00050,0.00050,0.5,98447,49,98423,6762035,68.69
IL,m,1980-1989,4,0.00039,0.00039,0.5,98398,38,98379,6663612,67.72
IL,m,1980-1989,5,0.00032,0.00032,0.5,98360,31,98344,6565233,66.75
IL,m,1980-1989,6,0.00030,0.00030,0.5,98329,30,98314,6466889,65.77
IL,m,1980-1989,7,0.00029,0.00029,0.5,98299,28,98285,6368575,64.79
IL,m,1980-1989,8,0.00028,0.00028,0.5,98271,27,98257,6270290,63.81
IL,m,1980-1989,9,0.00031,0.00031,0.5,98244,30,98229,6172032,62.82
IL,m,1980-1989,10,0.00026,0.00026,0.5,98213,25,98201,6073804,61.84
IL,m,1980-1989,11,0.00027,0.00027,0.5,98188,26,98175,5975603,60.86
IL,m,1980-1989,12,0.00030,0.00030,0.5,98162,30,98147,5877428,59.87
IL,m,1980-1989,13,0.00038,0.00038,0.5,98132,37,98113,5779281,58.89
IL,m,1980-1989,14,0.00047,0.00047,0.5,98095,46,98072,5681168,57.92
IL,m,1980-1989,15,0.00056,0.00056,0.5,98049,55,98021,5583096,56.94
IL,m,1980-1989,16,0.00101,0.00101,0.5,97994,99,97945,5485075,55.97
IL,m,1980-1989,17,0.00115,0.00115,0.5,97895,112,97839,5387130,55.03
IL,m,1980-1989,18,0.00146,0.00145,0.5,97783,142,97712,5289291,54.09
IL,m,1980-1989,19,0.00152,0.00152,0.5,97641,149,97567,5191579,53.17
IL,m,1980-1989,20,0.00159,0.00159,0.5,97492,155,97415,5094013,52.25
IL,m,1980-1989,21,0.00169,0.00168,0.5,97337,164,97255,4996598,51.33
IL,m,1980-1989,22,0.00171,0.00171,0.5,97173,166,97091,4899343,50.42
IL,m,1980-1989,23,0.00175,0.00175,0.5,97008,169,96923,4802252,49.50
IL,m,1980-1989,24,0.00166,0.00166,0.5,96838,161,96758,4705329,48.59
IL,m,1980-1989,25,0.00165,0.00165,0.5,96677,159,96598,4608571,47.67
IL,m,1980-1989,26,0.00172,0.00171,0.5,96518,165,96435,4511974,46.75
IL,m,1980-1989,27,0.00175,0.00174,0.5,96353,168,96269,4415538,45.83
IL,m,1980-1989,28,0.00186,0.00186,0.5,96184,179,96095,4319270,44.91
IL,m,1980-1989,29,0.00162,0.00162,0.5,96005,155,95928,4223175,43.99
IL,m,1980-1989,30,0.00182,0.00182,0.5,95850,175,95763,4127247,43.06
IL,m,1980-1989,31,0.00188,0.00187,0.5,95676,179,95586,4031484,42.14
IL,m,1980-1989,32,0.00189,0.00189,0.5,95496,180,95406,3935898,41.22
IL,m,1980-1989,33,0.00210,0.00210,0.5,95316,200,95216,3840492,40.29
IL,m,1980-1989,34,0.00208,0.00208,0.5,95116,198,95017,3745276,39.38
IL,m,1980-1989,35,0.00218,0.00218,0.5,94918,206,94815,3650258,38.46
IL,m,1980-1989,36,0.00230,0.00230,0.5,94712,218,94603,3555443,37.54
IL,m,1980-1989,37,0.00243,0.00242,0.5,94494,229,94380,3460840,36.62
IL,m,1980-1989,38,0.00268,0.00267,0.5,94265,252,94139,3366460,35.71
IL,m,1980-1989,39,0.00263,0.00262,0.5,94013,247,93890,3272321,34.81
IL,m,1980-1989,40,0.00285,0.00285,0.5,93767,267,93633,3178431,33.90
IL,m,1980-1989,41,0.00305,0.00305,0.5,93500,285,93357,3084797,32.99
IL,m,1980-1989,42,0.00340,0.00339,0.5,93215,316,93057,2991440,32.09
IL,m,1980-1989,43,0.00349,0.00348,0.5,92899,324,92737,2898383,31.20
IL,m,1980-1989,44,0.00389,0.00388,0.5,92575,359,92395,2805647,30.31
IL,m,1980-1989,45,0.00443,0.00442,0.5,92216,407,92012,2713251,29.42
IL,m,1980-1989,46,0.00478,0.00477,0.5,91808,438,91589,2621239,28.55
IL,m,1980-1989,47,0.00550,0.00548,0.5,91370,501,91120,2529650,27.69
IL,m,1980-1989,48,0.00594,0.00593,0.5,90869,539,90600,2438530,26.84
IL,m,1980-1989,49,0.00624,0.00622,0.5,90331,562,90050,2347930,25.99
IL,m,1980-1989,50,0.00742,0.00740,0.5,89769,664,89437,2257880,25.15
IL,m,1980-1989,51,0.00807,0.00803,0.5,89105,716,88747,2168443,24.34
IL,m,1980-1989,52,0.00877,0.00873,0.5,88390,772,88003,2079695,23.53
IL,m,1980-1989,53,0.00964,0.00959,0.5,87617,841,87197,1991692,22.73
IL,m,1980-1989,54,0.01045,0.01040,0.5,86777,902,86326,1904494,21.95
IL,m,1980-1989,55,0.01164,0.01157,0.5,85874,994,85377,1818169,21.17
IL,m,1980-1989,56,0.01264,0.01256,0.5,84880,1066,84347,1732792,20.41
IL,m,1980-1989,57,0.01360,0.01351,0.5,83814,1132,83248,1648444,19.67
IL,m,1980-1989,58,0.01543,0.01531,0.5,82682,1266,82049,1565196,18.93
IL,m,1980-1989,59,0.01649,0.01635,0.5,81416,1331,80750,1483147,18.22
IL,m,1980-1989,60,0.01815,0.01798,0.5,80085,1440,79365,1402396,17.51
IL,m,1980-1989,61,0.01948,0.01930,0.5,78645,1518,77886,1323032,16.82
IL,m,1980-1989,62,0.02233,0.02209,0.5,77127,1703,76275,1245146,16.14
IL,m,1980-1989,63,0.02395,0.02367,0.5,75424,1785,74531,1168871,15.50
IL,m,1980-1989,64,0.02469,0.02439,0.5,73638,1796,72741,1094340,14.86
IL,m,1980-1989,65,0.02700,0.02664,0.5,71843,1914,70886,1021599,14.22
IL,m,1980-1989,66,0.02971,0.02927,0.5,69929,2047,68905,950713,13.60
IL,m,1980-1989,67,0.03224,0.03172,0.5,67882,2154,66805,881808,12.99
