PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
DE,m,1960-1964,0,0.02703,0.02640,0.12,100000,2640,97670,6639977,66.40
DE,m,1960-1964,1-4,0.00094,0.00373,1.6,97360,364,388569,6542307,67.20
DE,m,1960-1964,5-9,0.00060,0.00300,2.35,96996,291,484212,6153738,63.44
DE,m,1960-1964,10-14,0.00054,0.00269,3.01,96705,260,483009,5669526,58.63
DE,m,1960-1964,15-19,0.00118,0.00589,2.87,96446,568,481021,5186517,53.78
DE,m,1960-1964,20-24,0.00158,0.00787,2.54,95878,755,477535,4705497,49.08
DE,m,1960-1964,25-29,0.00155,0.00772,2.49,95123,734,473769,4227962,44.45
DE,m,1960-1964,30-34,0.00194,0.00963,2.48,94389,909,469655,3754193,39.77
DE,m,1960-1964,35-39,0.00303,0.01506,2.66,93480,1408,464098,3284538,35.14
DE,m,1960-1964,40-44,0.00469,0.02320,2.82,92072,2136,455696,2820441,30.63
DE,m,1960-1964,45-49,0.00783,0.03842,2.6,89936,3455,441375,2364745,26.29
DE,m,1960-1964,50-54,0.01347,0.06520,2.56,86481,5638,418638,1923370,22.24
DE,m,1960-1964,55-59,0.01977,0.09442,2.63,80842,7633,386116,1504732,18.61
DE,m,1960-1964,60-64,0.02968,0.13872,2.65,73210,10155,342171,1118616,15.28
DE,m,1960-1964,65-69,0.04642,0.20801,2.51,63054,13116,282558,776446,12.31
DE,m,1960-1964,70-74,0.06549,0.28142,2.5,49938,14054,214591,493887,9.89
DE,m,1960-1964,75-79,0.09075,0.36824,2.44,35884,13214,145616,279296,7.78
DE,m,1960-1964,80-84,0.13524,0.49983,2.39,22670,11331,83787,133681,5.90
DE,m,1960-1964,85-89,0.19957,0.64399,2.25,11339,7302,36589,49894,4.40
DE,m,1960-1964,90-94,0.28369,0.77357,2.06,4037,3123,11007,13305,3.30
DE,m,1960-1964,95-99,0.38558,0.87027,1.85,914,795,2063,2298,2.51
DE,m,1960-1964,100-104,0.49859,0.93055,1.63,119,110,221,235,1.98
DE,m,1960-1964,105-109,0.61232,0.96312,1.44,8,8,13,13,1.63
DE,m,1960-1964,110+,0.70107,1.00000,1.43,0,0,0,0,1.43
DE,m,1965-1969,0,0.02450,0.02398,0.11,100000,2398,97868,6576860,65.77
DE,m,1965-1969,1-4,0.00096,0.00381,1.58,97602,372,389509,6478993,66.38
DE,m,1965-1969,5-9,0.00050,0.00249,2.38,97230,242,485514,6089484,62.63
DE,m,1965-1969,10-14,0.00045,0.00226,2.71,96987,219,484433,5603970,57.78
DE,m,1965-1969,15-19,0.00155,0.00770,2.65,96768,746,482090,5119537,52.91
DE,m,1965-1969,20-24,0.00196,0.00975,2.4,96022,936,477677,4637447,48.30
DE,m,1965-1969,25-29,0.00182,0.00904,2.34,95086,860,473144,4159770,43.75
DE,m,1965-1969,30-34,0.00222,0.01106,2.62,94226,1042,468649,3686626,39.13
DE,m,1965-1969,35-39,0.00299,0.01485,2.64,93184,1384,462649,3217977,34.53
DE,m,1965-1969,40-44,0.00516,0.02549,2.71,91800,2340,453632,2755328,30.01
DE,m,1965-1969,45-49,0.00834,0.04092,2.7,89460,3660,438878,2301696,25.73
DE,m,1965-1969,50-54,0.01435,0.06944,2.68,85800,5958,415150,1862818,21.71
DE,m,1965-1969,55-59,0.02067,0.09842,2.59,79842,7858,380246,1447668,18.13
DE,m,1965-1969,60-64,0.03317,0.15365,2.61,71983,11060,333441,1067422,14.83
DE,m,1965-1969,65-69,0.04747,0.21265,2.56,60923,12955,272944,733980,12.05
DE,m,1965-1969,70-74,0.07033,0.30046,2.58,47968,14412,204921,461037,9.61
DE,m,1965-1969,75-79,0.10004,0.39658,2.39,33556,13308,133025,256115,7.63
DE,m,1965-1969,80-84,0.12748,0.47975,2.42,20248,9714,76199,123090,6.08
DE,m,1965-1969,85-89,0.19498,0.63615,2.27,10534,6701,34369,46891,4.45
DE,m,1965-1969,90-94,0.28550,0.77694,2.07,3833,2978,10430,12522,3.27
DE,m,1965-1969,95-99,0.39659,0.87891,1.83,855,751,1895,2092,2.45
DE,m,1965-1969,100-104,0.51957,0.93885,1.6,104,97,187,197,1.90
DE,m,1965-1969,105-109,0.64105,0.96895,1.4,6,6,10,10,1.55
DE,m,1965-1969,110+,0.73372,1.00000,1.36,0,0,0,0,1.36
DE,m,1970-1974,0,0.02058,0.02020,0.1,100000,2020,98182,6696714,66.97
DE,m,1970-1974,1-4,0.00102,0.00407,1.64,97980,399,390976,6598532,67.35
DE,m,1970-1974,5-9,0.00045,0.00224,2.02,97581,219,487253,6207556,63.61
DE,m,1970-1974,10-14,0.00054,0.00271,2.81,97362,264,486234,5720304,58.75
DE,m,1970-1974,15-19,0.00131,0.00654,2.76,97099,635,484074,5234069,53.90
DE,m,1970-1974,20-24,0.00186,0.00926,2.37,96464,894,479971,4749996,49.24
DE,m,1970-1974,25-29,0.00178,0.00886,2.51,95570,846,475746,4270024,44.68
DE,m,1970-1974,30-34,0.00204,0.01016,2.58,94724,962,471287,3794279,40.06
DE,m,1970-1974,35-39,0.00292,0.01449,2.56,93762,1359,465488,3322991,35.44
DE,m,1970-1974,40-44,0.00454,0.02247,2.62,92403,2076,457084,2857503,30.92
DE,m,1970-1974,45-49,0.00717,0.03524,2.53,90327,3183,443762,2400419,26.57
DE,m,1970-1974,50-54,0.01239,0.06021,2.65,87144,5247,423370,1956657,22.45
DE,m,1970-1974,55-59,0.01902,0.09100,2.62,81897,7453,391782,1533286,18.72
DE,m,1970-1974,60-64,0.02940,0.13725,2.58,74445,10218,347510,1141504,15.33
DE,m,1970-1974,65-69,0.04585,0.20657,2.61,64227,13268,289384,793994,12.36
DE,m,1970-1974,70-74,0.06707,0.28740,2.51,50959,14646,218359,504611,9.90
DE,m,1970-1974,75-79,0.09655,0.38884,2.5,36313,14120,146243,286252,7.88
DE,m,1970-1974,80-84,0.12450,0.47051,2.41,22193,10442,83872,140009,6.31
DE,m,1970-1974,85-89,0.18089,0.60616,2.28,11751,7123,39378,56137,4.78
DE,m,1970-1974,90-94,0.25476,0.73441,2.12,4628,3399,13342,16758,3.62
DE,m,1970-1974,95-99,0.34549,0.83756,1.92,1229,1030,2980,3417,2.78
DE,m,1970-1974,100-104,0.44885,0.90789,1.72,200,181,404,437,2.19
DE,m,1970-1974,105-109,0.55711,0.94943,1.53,18,17,31,33,1.78
DE,m,1970-1974,110+,0.64413,1.00000,1.55,1,1,1,1,1.55
DE,m,1975-1979,0,0.01590,0.01567,0.09,100000,1567,98570,6906024,69.06
DE,m,1975-1979,1-4,0.00063,0.00251,1.64,98433,247,393148,6807453,69.16
DE,m,1975-1979,5-9,0.00046,0.00228,2.37,98186,224,490339,6414305,65.33
DE,m,1975-1979,10-14,0.00044,0.00218,2.69,97962,213,489318,5923966,60.47
DE,m,1975-1979,15-19,0.00139,0.00695,2.92,97749,679,487328,5434648,55.60
DE,m,1975-1979,20-24,0.00160,0.00795,2.46,97069,772,483386,4947321,50.97
DE,m,1975-1979,25-29,0.00179,0.00892,2.55,96297,859,479384,4463935,46.36
DE,m,1975-1979,30-34,0.00157,0.00783,2.59,95438,748,475386,3984551,41.75
DE,m,1975-1979,35-39,0.00264,0.01314,2.7,94690,1245,470590,3509166,37.06
DE,m,1975-1979,40-44,0.00355,0.01763,2.73,93446,1647,463498,3038576,32.52
DE,m,1975-1979,45-49,0.00608,0.02998,2.8,91799,2753,452950,2575078,28.05
DE,m,1975-1979,50-54,0.01034,0.05049,2.71,89046,4496,434938,2122128,23.83
DE,m,1975-1979,55-59,0.01642,0.07908,2.69,84550,6686,407274,1687190,19.95
DE,m,1975-1979,60-64,0.02542,0.11984,2.61,77864,9331,367044,1279916,16.44
DE,m,1975-1979,65-69,0.03873,0.17700,2.57,68533,12131,313187,912872,13.32
DE,m,1975-1979,70-74,0.06034,0.26213,2.5,56402,14785,245010,599685,10.63
DE,m,1975-1979,75-79,0.07898,0.32993,2.51,41617,13731,173858,354675,8.52
DE,m,1975-1979,80-84,0.11960,0.45687,2.42,27886,12741,106526,180817,6.48
