PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VA,m,1960-1969,0,0.03050,0.02971,0.13,100000,2971,97406,6572867,65.73
VA,m,1960-1969,1,0.00152,0.00152,0.5,97029,147,96955,6475461,66.74
VA,m,1960-1969,2,0.00104,0.00104,0.5,96882,101,96831,6378506,65.84
VA,m,1960-1969,3,0.00087,0.00087,0.5,96781,84,96739,6281675,64.91
VA,m,1960-1969,4,0.00068,0.00068,0.5,96697,66,96664,6184936,63.96
VA,m,1960-1969,5,0.00059,0.00059,0.5,96631,57,96602,6088272,63.01
VA,m,1960-1969,6,0.00056,0.00056,0.5,96574,54,96547,5991670,62.04
VA,m,1960-1969,7,0.00055,0.00055,0.5,96519,53,96493,5895123,61.08
VA,m,1960-1969,8,0.00045,0.00045,0.5,96466,43,96445,5798630,60.11
VA,m,1960-1969,9,0.00040,0.00040,0.5,96423,39,96404,5702186,59.14
VA,m,1960-1969,10,0.00050,0.00050,0.5,96384,48,96360,5605782,58.16
VA,m,1960-1969,11,0.00045,0.00045,0.5,96336,43,96315,5509422,57.19
VA,m,1960-1969,12,0.00055,0.00055,0.5,96293,53,96267,5413107,56.21
VA,m,1960-1969,13,0.00056,0.00056,0.5,96240,54,96213,5316841,55.25
VA,m,1960-1969,14,0.00070,0.00070,0.5,96186,67,96153,5220627,54.28
VA,m,1960-1969,15,0.00085,0.00085,0.5,96119,81,96078,5124475,53.31
VA,m,1960-1969,16,0.00108,0.00108,0.5,96038,104,95986,5028396,52.36
VA,m,1960-1969,17,0.00141,0.00141,0.5,95934,135,95866,4932410,51.41
VA,m,1960-1969,18,0.00173,0.00173,0.5,95798,166,95716,4836544,50.49
VA,m,1960-1969,19,0.00179,0.00179,0.5,95633,171,95547,4740828,49.57
VA,m,1960-1969,20,0.00163,0.00162,0.5,95462,155,95384,4645281,48.66
VA,m,1960-1969,21,0.00183,0.00183,0.5,95307,175,95219,4549897,47.74
VA,m,1960-1969,22,0.00191,0.00191,0.5,95132,181,95041,4454678,46.83
VA,m,1960-1969,23,0.00166,0.00165,0.5,94951,157,94872,4359637,45.91
VA,m,1960-1969,24,0.00169,0.00168,0.5,94793,160,94714,4264765,44.99
VA,m,1960-1969,25,0.00166,0.00166,0.5,94634,157,94555,4170051,44.07
VA,m,1960-1969,26,0.00194,0.00194,0.5,94477,183,94385,4075496,43.14
VA,m,1960-1969,27,0.00188,0.00188,0.5,94294,177,94205,3981110,42.22
VA,m,1960-1969,28,0.00185,0.00185,0.5,94117,174,94030,3886905,41.30
VA,m,1960-1969,29,0.00188,0.00187,0.5,93943,176,93855,3792875,40.37
VA,m,1960-1969,30,0.00193,0.00193,0.5,93767,181,93676,3699020,39.45
VA,m,1960-1969,31,0.00204,0.00204,0.5,93585,191,93490,3605344,38.52
VA,m,1960-1969,32,0.00230,0.00230,0.5,93395,214,93287,3511854,37.60
VA,m,1960-1969,33,0.00239,0.00238,0.5,93180,222,93069,3418567,36.69
VA,m,1960-1969,34,0.00251,0.00250,0.5,92958,233,92842,3325498,35.77
VA,m,1960-1969,35,0.00282,0.00282,0.5,92725,261,92595,3232656,34.86
VA,m,1960-1969,36,0.00301,0.00300,0.5,92464,278,92325,3140061,33.96
VA,m,1960-1969,37,0.00321,0.00320,0.5,92186,295,92039,3047736,33.06
VA,m,1960-1969,38,0.00369,0.00369,0.5,91891,339,91722,2955697,32.17
VA,m,1960-1969,39,0.00400,0.00399,0.5,91552,366,91370,2863975,31.28
VA,m,1960-1969,40,0.00434,0.00433,0.5,91187,395,90989,2772606,30.41
VA,m,1960-1969,41,0.00469,0.00468,0.5,90792,425,90579,2681617,29.54
VA,m,1960-1969,42,0.00530,0.00528,0.5,90367,477,90128,2591038,28.67
VA,m,1960-1969,43,0.00567,0.00566,0.5,89889,509,89635,2500909,27.82
VA,m,1960-1969,44,0.00628,0.00626,0.5,89381,559,89101,2411274,26.98
VA,m,1960-1969,45,0.00718,0.00715,0.5,88821,635,88504,2322173,26.14
VA,m,1960-1969,46,0.00760,0.00757,0.5,88186,668,87852,2233669,25.33
VA,m,1960-1969,47,0.00868,0.00864,0.5,87519,756,87140,2145817,24.52
VA,m,1960-1969,48,0.00923,0.00918,0.5,86762,797,86364,2058677,23.73
VA,m,1960-1969,49,0.01028,0.01022,0.5,85965,879,85526,1972313,22.94
VA,m,1960-1969,50,0.01170,0.01163,0.5,85086,990,84591,1886787,22.17
VA,m,1960-1969,51,0.01236,0.01228,0.5,84096,1033,83580,1802196,21.43
VA,m,1960-1969,52,0.01426,0.01416,0.5,83063,1176,82475,1718616,20.69
VA,m,1960-1969,53,0.01482,0.01471,0.5,81888,1204,81285,1636140,19.98
VA,m,1960-1969,54,0.01624,0.01611,0.5,80683,1300,80033,1554855,19.27
VA,m,1960-1969,55,0.01680,0.01666,0.5,79384,1322,78722,1474822,18.58
VA,m,1960-1969,56,0.01866,0.01849,0.5,78061,1443,77339,1396099,17.88
VA,m,1960-1969,57,0.02093,0.02072,0.5,76618,1587,75824,1318760,17.21
VA,m,1960-1969,58,0.02257,0.02232,0.5,75031,1675,74193,1242936,16.57
VA,m,1960-1969,59,0.02453,0.02423,0.5,73356,1778,72467,1168743,15.93
VA,m,1960-1969,60,0.02645,0.02611,0.5,71578,1869,70644,1096275,15.32
VA,m,1960-1969,61,0.02723,0.02687,0.5,69710,1873,68773,1025632,14.71
VA,m,1960-1969,62,0.03212,0.03162,0.5,67837,2145,66764,956858,14.11
VA,m,1960-1969,63,0.03406,0.03349,0.5,65692,2200,64592,890094,13.55
VA,m,1960-1969,64,0.03574,0.03512,0.5,63492,2230,62377,825502,13.00
VA,m,1960-1969,65,0.04098,0.04016,0.5,61263,2460,60032,763124,12.46
VA,m,1960-1969,66,0.04054,0.03973,0.5,58802,2336,57634,703092,11.96
VA,m,1960-1969,67,0.04626,0.04521,0.5,56466,2553,55189,645458,11.43
VA,m,1960-1969,68,0.04883,0.04767,0.5,53913,2570,52628,590268,10.95
VA,m,1960-1969,69,0.05134,0.05005,0.5,51343,2570,50058,537640,10.47
VA,m,1960-1969,70,0.05620,0.05467,0.5,48773,2666,47440,487582,10.00
VA,m,1960-1969,71,0.05796,0.05632,0.5,46107,2597,44809,440142,9.55
VA,m,1960-1969,72,0.06572,0.06363,0.5,43510,2769,42126,395333,9.09
VA,m,1960-1969,73,0.07031,0.06792,0.5,40742,2767,39358,353208,8.67
VA,m,1960-1969,74,0.07402,0.07138,0.5,37974,2711,36619,313850,8.26
VA,m,1960-1969,75,0.08277,0.07948,0.5,35264,2803,33862,277231,7.86
VA,m,1960-1969,76,0.08517,0.08169,0.5,32461,2652,31135,243368,7.50
VA,m,1960-1969,77,0.08836,0.08463,0.5,29809,2523,28548,212233,7.12
VA,m,1960-1969,78,0.09908,0.09441,0.5,27287,2576,25999,183685,6.73
VA,m,1960-1969,79,0.10595,0.10062,0.5,24711,2486,23467,157687,6.38
VA,m,1960-1969,80,0.11907,0.11238,0.5,22224,2497,20975,134220,6.04
VA,m,1960-1969,81,0.11474,0.10852,0.5,19727,2141,18656,113244,5.74
VA,m,1960-1969,82,0.13254,0.12430,0.5,17586,2186,16493,94588,5.38
VA,m,1960-1969,83,0.14576,0.13586,0.5,15400,2092,14354,78095,5.07
VA,m,1960-1969,84,0.15623,0.14491,0.5,13308,1928,12344,63741,4.79
VA,m,1960-1969,85,0.17517,0.16106,0.5,11379,1833,10463,51397,4.52
VA,m,1960-1969,86,0.18076,0.16578,0.5,9547,1583,8755,40934,4.29
VA,m,1960-1969,87,0.20534,0.18622,0.5,7964,1483,7222,32179,4.04
VA,m,1960-1969,88,0.21276,0.19230,0.5,6481,1246,5858,24956,3.85
VA,m,1960-1969,89,0.22919,0.20562,0.5,5235,1076,4696,19099,3.65
VA,m,1960-1969,90,0.24251,0.21628,0.5,4158,899,3709,14402,3.46
VA,m,1960-1969,91,0.25955,0.22974,0.5,3259,749,2885,10694,3.28
VA,m,1960-1969,92,0.27735,0.24358,0.5,2510,611,2205,7809,3.11
VA,m,1960-1969,93,0.29589,0.25776,0.5,1899,489,1654,5605,2.95
VA,m,1960-1969,94,0.31513,0.27223,0.5,1409,384,1218,3950,2.80
VA,m,1960-1969,95,0.33502,0.28695,0.5,1026,294,879,2733,2.66
VA,m,1960-1969,96,0.35551,0.30185,0.5,731,221,621,1854,2.54
VA,m,1960-1969,97,0.37655,0.31689,0.5,511,162,430,1233,2.42
VA,m,1960-1969,98,0.39806,0.33199,0.5,349,116,291,804,2.30
VA,m,1960-1969,99,0.41998,0.34709,0.5,233,81,193,513,2.20
VA,m,1960-1969,100,0.44221,0.36214,0.5,152,55,125,320,2.11
VA,m,1960-1969,101,0.46468,0.37707,0.5,97,37,79,196,2.02
VA,m,1960-1969,102,0.48729,0.39183,0.5,60,24,49,117,1.93
VA,m,1960-1969,103,0.50996,0.40635,0.5,37,15,29,68,1.86
VA,m,1960-1969,104,0.53258,0.42059,0.5,22,9,17,39,1.79
VA,m,1960-1969,105,0.55508,0.43449,0.5,13,5,10,22,1.73
VA,m,1960-1969,106,0.57734,0.44801,0.5,7,3,6,12,1.67
VA,m,1960-1969,107,0.59930,0.46113,0.5,4,2,3,6,1.62
VA,m,1960-1969,108,0.62087,0.47379,0.5,2,1,2,3,1.57
VA,m,1960-1969,109,0.64197,0.48598,0.5,1,1,1,2,1.53
VA,m,1960-1969,110+,0.66253,1.00000,1.51,1,1,1,1,1.51
VA,m,1970-1979,0,0.02019,0.01983,0.1,100000,1983,98213,6774713,67.75
