KS: Kansas, Lifetables (period 5x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01787	0.01758	0.1	100000	1758	98423	7587282	75.87
1960-1969	1-4	0.00079	0.00314	1.59	98242	309	392223	7488859	76.23
1960-1969	5-9	0.00033	0.00166	2.15	97933	162	489201	7096635	72.46
1960-1969	10-14	0.00032	0.00158	2.6	97770	155	488482	6607434	67.58
1960-1969	15-19	0.00062	0.00309	2.76	97616	302	487402	6118952	62.68
1960-1969	20-24	0.00073	0.00365	2.41	97314	355	485650	5631550	57.87
1960-1969	25-29	0.00078	0.00390	2.54	96959	379	483861	5145900	53.07
1960-1969	30-34	0.00098	0.00490	2.62	96580	473	481773	4662039	48.27
1960-1969	35-39	0.00147	0.00731	2.62	96107	702	478863	4180266	43.50
1960-1969	40-44	0.00220	0.01097	2.64	95404	1046	474553	3701403	38.80
1960-1969	45-49	0.00326	0.01617	2.64	94358	1526	468191	3226849	34.20
1960-1969	50-54	0.00498	0.02460	2.59	92833	2284	458666	2758659	29.72
1960-1969	55-59	0.00706	0.03471	2.66	90549	3143	445374	2299992	25.40
1960-1969	60-64	0.01091	0.05321	2.67	87406	4651	426197	1854618	21.22
1960-1969	65-69	0.01694	0.08143	2.63	82755	6739	397824	1428421	17.26
1960-1969	70-74	0.02946	0.13781	2.67	76016	10476	355637	1030597	13.56
1960-1969	75-79	0.05026	0.22441	2.62	65540	14708	292657	674960	10.30
1960-1969	80-84	0.08874	0.36460	2.56	50832	18533	208853	382303	7.52
1960-1969	85-89	0.14836	0.53535	2.4	32299	17291	116549	173450	5.37
1960-1969	90-94	0.23663	0.70994	2.18	15008	10655	45026	56901	3.79
1960-1969	95-99	0.35010	0.84538	1.94	4353	3680	10511	11874	2.73
1960-1969	100-104	0.48579	0.92751	1.67	673	624	1285	1363	2.02
1960-1969	105-109	0.62460	0.96664	1.43	49	47	76	78	1.59
1960-1969	110+	0.73105	1.00000	1.37	2	2	2	2	1.37
1970-1979	0	0.01372	0.01355	0.09	100000	1355	98769	7758631	77.59
1970-1979	1-4	0.00067	0.00269	1.67	98645	266	393959	7659862	77.65
1970-1979	5-9	0.00030	0.00151	2.54	98379	149	491529	7265903	73.86
1970-1979	10-14	0.00026	0.00131	2.8	98230	129	490868	6774374	68.96
1970-1979	15-19	0.00056	0.00280	2.75	98101	275	489889	6283507	64.05
1970-1979	20-24	0.00060	0.00300	2.52	97827	294	488403	5793618	59.22
1970-1979	25-29	0.00068	0.00338	2.52	97533	330	486847	5305214	54.39
1970-1979	30-34	0.00080	0.00398	2.72	97203	387	485130	4818368	49.57
1970-1979	35-39	0.00126	0.00626	2.65	96815	606	482653	4333237	44.76
1970-1979	40-44	0.00209	0.01039	2.65	96209	1000	478698	3850585	40.02
1970-1979	45-49	0.00305	0.01514	2.72	95209	1441	472757	3371886	35.42
1970-1979	50-54	0.00454	0.02248	2.62	93768	2107	463818	2899130	30.92
1970-1979	55-59	0.00667	0.03282	2.65	91660	3009	451217	2435312	26.57
1970-1979	60-64	0.01041	0.05078	2.64	88652	4502	432626	1984095	22.38
1970-1979	65-69	0.01577	0.07601	2.65	84150	6397	405688	1551469	18.44
1970-1979	70-74	0.02474	0.11694	2.67	77753	9092	367541	1145781	14.74
1970-1979	75-79	0.04296	0.19483	2.62	68661	13377	311411	778240	11.33
1970-1979	80-84	0.07289	0.30944	2.56	55284	17107	234702	466828	8.44
1970-1979	85-89	0.12410	0.47174	2.46	38177	18009	145123	232127	6.08
1970-1979	90-94	0.20039	0.64795	2.27	20167	13067	65209	87003	4.31
1970-1979	95-99	0.30541	0.80195	2.04	7100	5694	18643	21795	3.07
1970-1979	100-104	0.43548	0.90397	1.77	1406	1271	2919	3152	2.24
1970-1979	105-109	0.57565	0.95616	1.51	135	129	224	233	1.72
1970-1979	110+	0.68730	1.00000	1.45	6	6	9	9	1.45
1980-1989	0	0.00847	0.00840	0.08	100000	840	99224	7944509	79.45
1980-1989	1-4	0.00055	0.00222	1.6	99160	220	396112	7845285	79.12
1980-1989	5-9	0.00023	0.00113	2.22	98940	112	494390	7449173	75.29
1980-1989	10-14	0.00019	0.00094	2.85	98829	93	493942	6954783	70.37
1980-1989	15-19	0.00052	0.00259	2.75	98735	256	493100	6460841	65.44
