OK: Oklahoma, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02913	0.02840	0.12	100000	2840	97510	6764701	67.65
1959	1-4	0.00129	0.00516	1.42	97160	501	387347	6667191	68.62
1959	5-9	0.00064	0.00322	2.46	96658	311	482502	6279844	64.97
1959	10-14	0.00077	0.00383	2.41	96348	369	480782	5797342	60.17
1959	15-19	0.00151	0.00751	2.79	95979	721	478297	5316560	55.39
1959	20-24	0.00196	0.00976	2.33	95258	929	473808	4838263	50.79
1959	25-29	0.00187	0.00931	2.4	94328	878	469356	4364455	46.27
1959	30-34	0.00202	0.01007	2.41	93450	941	464815	3895099	41.68
1959	35-39	0.00300	0.01491	2.6	92509	1380	459232	3430284	37.08
1959	40-44	0.00426	0.02109	2.66	91130	1922	451152	2971052	32.60
1959	45-49	0.00699	0.03437	2.66	89208	3066	438880	2519900	28.25
1959	50-54	0.01141	0.05557	2.65	86142	4787	419473	2081021	24.16
1959	55-59	0.01588	0.07662	2.72	81356	6233	392563	1661548	20.42
1959	60-64	0.02415	0.11446	2.72	75122	8599	356005	1268985	16.89
1959	65-69	0.03622	0.16645	2.57	66524	11073	305735	912980	13.72
1959	70-74	0.05164	0.22962	2.59	55451	12733	246542	607245	10.95
1959	75-79	0.07898	0.33189	2.6	42718	14178	179512	360703	8.44
1959	80-84	0.12191	0.46777	2.51	28541	13351	109510	181191	6.35
1959	85-89	0.18129	0.60733	2.28	15190	9225	50887	71681	4.72
1959	90-94	0.26539	0.74929	2.1	5965	4469	16841	20793	3.49
1959	95-99	0.36454	0.85471	1.89	1495	1278	3506	3953	2.64
1959	100-104	0.47905	0.92284	1.67	217	201	419	447	2.06
1959	105-109	0.59634	0.95983	1.47	17	16	27	28	1.67
1959	110+	0.68865	1.00000	1.45	1	1	1	1	1.45
1960	0	0.02924	0.02851	0.12	100000	2851	97501	6717358	67.17
1960	1-4	0.00161	0.00640	1.52	97149	622	387057	6619857	68.14
1960	5-9	0.00054	0.00270	2.39	96527	261	481956	6232800	64.57
1960	10-14	0.00060	0.00302	2.95	96267	290	480739	5750845	59.74
1960	15-19	0.00157	0.00783	2.77	95976	751	478207	5270106	54.91
1960	20-24	0.00188	0.00937	2.41	95225	892	473816	4791899	50.32
1960	25-29	0.00201	0.00998	2.55	94333	941	469353	4318083	45.78
1960	30-34	0.00221	0.01097	2.49	93391	1024	464391	3848730	41.21
1960	35-39	0.00260	0.01293	2.56	92367	1194	458926	3384339	36.64
1960	40-44	0.00432	0.02140	2.69	91173	1951	451368	2925413	32.09
1960	45-49	0.00751	0.03692	2.68	89223	3294	438484	2474045	27.73
1960	50-54	0.01231	0.05989	2.72	85929	5146	417899	2035561	23.69
1960	55-59	0.01709	0.08207	2.6	80782	6630	388019	1617662	20.02
1960	60-64	0.02689	0.12659	2.69	74153	9387	349122	1229643	16.58
1960	65-69	0.03821	0.17494	2.59	64766	11330	296506	880521	13.60
1960	70-74	0.05319	0.23515	2.54	53436	12565	236250	584015	10.93
1960	75-79	0.07619	0.32057	2.53	40870	13102	171962	347765	8.51
1960	80-84	0.11956	0.45797	2.45	27769	12717	106371	175803	6.33
1960	85-89	0.18617	0.61498	2.24	15051	9256	49719	69432	4.61
1960	90-94	0.27349	0.75893	2.07	5795	4398	16081	19713	3.40
1960	95-99	0.37118	0.86018	1.88	1397	1202	3238	3632	2.60
1960	100-104	0.48848	0.92696	1.65	195	181	371	394	2.02
1960	105-109	0.60769	0.96240	1.45	14	14	23	23	1.64
1960	110+	0.70082	1.00000	1.43	1	1	1	1	1.43
1961	0	0.02756	0.02691	0.12	100000	2691	97629	6762468	67.62
1961	1-4	0.00121	0.00484	1.37	97309	471	388000	6664839	68.49
1961	5-9	0.00059	0.00297	2.12	96838	287	483363	6276839	64.82
1961	10-14	0.00053	0.00267	2.28	96551	258	482054	5793476	60.00
1961	15-19	0.00129	0.00642	3.13	96293	618	480310	5311422	55.16
1961	20-24	0.00169	0.00840	2.3	95675	804	476206	4831111	50.49
1961	25-29	0.00170	0.00845	2.6	94871	801	472433	4354905	45.90
1961	30-34	0.00259	0.01289	2.78	94070	1212	467659	3882472	41.27
1961	35-39	0.00268	0.01334	2.8	92858	1238	461566	3414813	36.77
1961	40-44	0.00494	0.02442	2.68	91620	2237	452904	2953248	32.23
1961	45-49	0.00800	0.03926	2.7	89382	3510	438836	2500344	27.97
1961	50-54	0.01173	0.05707	2.62	85873	4900	417705	2061508	24.01
1961	55-59	0.01601	0.07702	2.53	80972	6236	389445	1643803	20.30
1961	60-64	0.02466	0.11641	2.59	74736	8700	352746	1254358	16.78
1961	65-69	0.03562	0.16427	2.64	66036	10848	304540	901612	13.65
1961	70-74	0.05301	0.23442	2.54	55188	12937	244073	597072	10.82
1961	75-79	0.08008	0.33367	2.5	42251	14098	176045	353000	8.35
1961	80-84	0.12673	0.47555	2.38	28153	13388	105641	176955	6.29
1961	85-89	0.17601	0.59670	2.3	14765	8810	50056	71314	4.83
1961	90-94	0.26393	0.73574	1.99	5955	4381	16600	21258	3.57
1961	95-99	0.32304	0.81518	1.96	1574	1283	3971	4658	2.96
1961	100-104	0.41396	0.88731	1.78	291	258	623	687	2.36
1961	105-109	0.51124	0.93400	1.6	33	31	60	64	1.94
1961	110+	0.59061	1.00000	1.69	2	2	4	4	1.69
1962	0	0.02661	0.02599	0.12	100000	2599	97703	6738754	67.39
1962	1-4	0.00138	0.00552	1.65	97401	537	388341	6641051	68.18
1962	5-9	0.00044	0.00221	2.42	96863	214	483761	6252710	64.55
1962	10-14	0.00066	0.00331	2.62	96649	320	482482	5768948	59.69
1962	15-19	0.00145	0.00724	2.82	96329	697	480125	5286466	54.88
1962	20-24	0.00169	0.00843	2.64	95632	806	476258	4806341	50.26
1962	25-29	0.00192	0.00955	2.4	94826	905	471778	4330083	45.66
1962	30-34	0.00211	0.01050	2.48	93921	986	467115	3858305	41.08
1962	35-39	0.00295	0.01462	2.63	92935	1359	461458	3391190	36.49
1962	40-44	0.00450	0.02226	2.81	91576	2038	453413	2929733	31.99
1962	45-49	0.00705	0.03468	2.63	89537	3105	440340	2476319	27.66
1962	50-54	0.01138	0.05542	2.68	86432	4790	421041	2035979	23.56
1962	55-59	0.01788	0.08572	2.61	81642	6999	391487	1614939	19.78
1962	60-64	0.02563	0.12070	2.59	74643	9010	351502	1223451	16.39
1962	65-69	0.03927	0.17912	2.55	65634	11756	299375	871949	13.29
1962	70-74	0.05500	0.24273	2.58	53877	13078	237759	572574	10.63
1962	75-79	0.07930	0.33211	2.56	40800	13550	170870	334815	8.21
1962	80-84	0.13156	0.48992	2.4	27250	13350	101479	163946	6.02
1962	85-89	0.19816	0.63720	2.2	13900	8857	44697	62467	4.49
1962	90-94	0.26207	0.74891	2.14	5043	3777	14411	17770	3.52
1962	95-99	0.36376	0.85306	1.89	1266	1080	2969	3360	2.65
1962	100-104	0.46925	0.91776	1.68	186	171	364	390	2.10
1962	105-109	0.57795	0.95500	1.49	15	15	25	26	1.72
1962	110+	0.66444	1.00000	1.51	1	1	1	1	1.51
1963	0	0.02738	0.02673	0.12	100000	2673	97643	6723805	67.24
1963	1-4	0.00112	0.00445	1.44	97327	433	388199	6626162	68.08
1963	5-9	0.00055	0.00276	2.29	96894	268	483743	6237962	64.38
1963	10-14	0.00049	0.00246	2.77	96626	237	482602	5754219	59.55
1963	15-19	0.00136	0.00677	2.89	96389	653	480563	5271617	54.69
1963	20-24	0.00186	0.00926	2.62	95736	887	476566	4791054	50.04
1963	25-29	0.00177	0.00882	2.52	94849	837	472170	4314487	45.49
1963	30-34	0.00197	0.00980	2.76	94012	921	468000	3842317	40.87
1963	35-39	0.00319	0.01584	2.63	93091	1474	461968	3374317	36.25
1963	40-44	0.00419	0.02073	2.64	91617	1899	453596	2912349	31.79
1963	45-49	0.00772	0.03792	2.75	89718	3402	440946	2458752	27.41
1963	50-54	0.01204	0.05858	2.67	86316	5056	419818	2017806	23.38
1963	55-59	0.01784	0.08564	2.66	81259	6959	389990	1597988	19.67
1963	60-64	0.02592	0.12197	2.58	74301	9062	349596	1207998	16.26
1963	65-69	0.04046	0.18373	2.5	65238	11986	296276	858402	13.16
1963	70-74	0.05775	0.25269	2.53	53252	13456	233013	562126	10.56
1963	75-79	0.07745	0.32443	2.5	39796	12911	166700	329113	8.27
1963	80-84	0.12802	0.48009	2.4	26885	12907	100819	162413	6.04
1963	85-89	0.20327	0.65292	2.26	13978	9126	44898	61593	4.41
1963	90-94	0.27090	0.75658	2.08	4851	3670	13549	16696	3.44
1963	95-99	0.36203	0.85173	1.89	1181	1006	2778	3146	2.66
1963	100-104	0.46798	0.91723	1.69	175	161	343	368	2.10
1963	105-109	0.57728	0.95486	1.5	14	14	24	25	1.72
1963	110+	0.66428	1.00000	1.51	1	1	1	1	1.51
1964	0	0.02495	0.02441	0.11	100000	2441	97832	6736858	67.37
1964	1-4	0.00118	0.00469	1.5	97559	458	389090	6639026	68.05
1964	5-9	0.00049	0.00247	2.24	97101	240	484845	6249936	64.37
1964	10-14	0.00068	0.00338	2.84	96862	327	483602	5765091	59.52
1964	15-19	0.00154	0.00765	2.66	96534	739	480946	5281489	54.71
1964	20-24	0.00190	0.00945	2.55	95796	905	476760	4800542	50.11
1964	25-29	0.00163	0.00811	2.47	94891	769	472506	4323782	45.57
1964	30-34	0.00232	0.01155	2.7	94122	1087	468104	3851277	40.92
1964	35-39	0.00304	0.01509	2.68	93035	1404	461925	3383173	36.36
1964	40-44	0.00535	0.02642	2.72	91631	2421	452633	2921248	31.88
1964	45-49	0.00730	0.03591	2.72	89211	3203	438741	2468616	27.67
1964	50-54	0.01233	0.05994	2.71	86007	5156	418209	2029875	23.60
1964	55-59	0.01736	0.08347	2.7	80852	6748	388713	1611666	19.93
1964	60-64	0.02582	0.12151	2.58	74103	9005	348735	1222953	16.50
1964	65-69	0.03824	0.17498	2.57	65099	11391	297849	874218	13.43
1964	70-74	0.05665	0.24918	2.59	53708	13383	236237	576369	10.73
1964	75-79	0.07621	0.32022	2.51	40325	12913	169434	340132	8.43
1964	80-84	0.12476	0.47304	2.45	27412	12967	103939	170698	6.23
1964	85-89	0.18978	0.63146	2.35	14445	9121	48063	66759	4.62
1964	90-94	0.26322	0.74817	2.12	5324	3983	15132	18696	3.51
1964	95-99	0.36249	0.85260	1.89	1341	1143	3153	3565	2.66
1964	100-104	0.47281	0.91978	1.68	198	182	384	411	2.08
1964	105-109	0.58630	0.95730	1.48	16	15	26	27	1.70
1964	110+	0.67620	1.00000	1.48	1	1	1	1	1.48
1965	0	0.02607	0.02548	0.11	100000	2548	97745	6757927	67.58
1965	1-4	0.00131	0.00522	1.62	97452	509	388597	6660183	68.34
1965	5-9	0.00041	0.00206	2.54	96944	200	484226	6271586	64.69
1965	10-14	0.00051	0.00255	2.83	96744	247	483183	5787360	59.82
1965	15-19	0.00149	0.00742	2.63	96497	716	480789	5304176	54.97
1965	20-24	0.00180	0.00898	2.79	95780	860	477002	4823388	50.36
1965	25-29	0.00194	0.00967	2.65	94920	918	472446	4346386	45.79
1965	30-34	0.00231	0.01147	2.62	94002	1078	467447	3873940	41.21
1965	35-39	0.00290	0.01439	2.64	92924	1337	461470	3406494	36.66
1965	40-44	0.00414	0.02050	2.63	91587	1877	453483	2945024	32.16
1965	45-49	0.00736	0.03617	2.69	89709	3245	441064	2491541	27.77
1965	50-54	0.01119	0.05458	2.72	86465	4719	421563	2050477	23.71
1965	55-59	0.01719	0.08264	2.66	81745	6756	392919	1628914	19.93
1965	60-64	0.02645	0.12444	2.62	74990	9332	352766	1235995	16.48
1965	65-69	0.03800	0.17430	2.63	65658	11444	301162	883229	13.45
1965	70-74	0.05486	0.24205	2.57	54213	13122	239178	582068	10.74
1965	75-79	0.08011	0.33268	2.45	41091	13670	170652	342890	8.34
1965	80-84	0.12161	0.46284	2.42	27421	12692	104361	172237	6.28
1965	85-89	0.18923	0.62223	2.25	14729	9165	48434	67876	4.61
1965	90-94	0.26591	0.74872	2.08	5564	4166	15667	19443	3.49
1965	95-99	0.35643	0.84750	1.91	1398	1185	3325	3775	2.70
1965	100-104	0.46524	0.91626	1.69	213	195	420	451	2.11
1965	105-109	0.57787	0.95520	1.5	18	17	30	31	1.72
1965	110+	0.66749	1.00000	1.5	1	1	1	1	1.50
1966	0	0.02565	0.02508	0.11	100000	2508	97778	6743074	67.43
1966	1-4	0.00106	0.00422	1.67	97492	412	389008	6645296	68.16
1966	5-9	0.00039	0.00197	2.4	97080	191	484905	6256289	64.44
1966	10-14	0.00057	0.00286	2.84	96889	277	483847	5771384	59.57
1966	15-19	0.00185	0.00921	2.66	96612	890	480975	5287537	54.73
1966	20-24	0.00197	0.00979	2.44	95722	937	476212	4806562	50.21
1966	25-29	0.00170	0.00845	2.68	94785	801	472066	4330350	45.69
1966	30-34	0.00230	0.01141	2.49	93984	1072	467222	3858283	41.05
1966	35-39	0.00287	0.01424	2.68	92911	1323	461484	3391062	36.50
1966	40-44	0.00447	0.02214	2.7	91588	2028	453282	2929577	31.99
1966	45-49	0.00731	0.03595	2.67	89560	3219	440289	2476295	27.65
1966	50-54	0.01155	0.05631	2.77	86341	4862	420868	2036006	23.58
1966	55-59	0.01772	0.08495	2.59	81479	6922	390728	1615138	19.82
1966	60-64	0.02528	0.11933	2.65	74557	8897	351917	1224410	16.42
1966	65-69	0.03800	0.17397	2.58	65660	11423	300634	872494	13.29
1966	70-74	0.05758	0.25311	2.61	54237	13728	238426	571859	10.54
1966	75-79	0.08223	0.34092	2.5	40509	13811	167955	333433	8.23
1966	80-84	0.12774	0.48076	2.43	26699	12836	100481	165478	6.20
1966	85-89	0.18497	0.61624	2.29	13863	8543	46185	64997	4.69
1966	90-94	0.26325	0.74257	2.07	5320	3950	15006	18811	3.54
1966	95-99	0.34589	0.83764	1.92	1370	1147	3317	3805	2.78
1966	100-104	0.44698	0.90672	1.72	222	202	451	488	2.20
1966	105-109	0.55292	0.94810	1.53	21	20	36	37	1.80
1966	110+	0.63820	1.00000	1.57	1	1	2	2	1.57
1967	0	0.02503	0.02449	0.11	100000	2449	97826	6747121	67.47
1967	1-4	0.00105	0.00420	1.75	97551	410	389284	6649295	68.16
1967	5-9	0.00042	0.00209	2.19	97141	203	485137	6260011	64.44
1967	10-14	0.00052	0.00262	3.09	96938	254	484208	5774874	59.57
1967	15-19	0.00163	0.00811	2.79	96685	784	481688	5290666	54.72
1967	20-24	0.00210	0.01047	2.55	95901	1004	477042	4808978	50.15
1967	25-29	0.00192	0.00957	2.67	94897	908	472370	4331936	45.65
1967	30-34	0.00207	0.01030	2.64	93989	968	467661	3859566	41.06
1967	35-39	0.00289	0.01436	2.76	93020	1336	462111	3391905	36.46
1967	40-44	0.00467	0.02307	2.61	91685	2115	453368	2929794	31.96
1967	45-49	0.00708	0.03483	2.67	89569	3120	440574	2476426	27.65
1967	50-54	0.01147	0.05590	2.73	86449	4833	421278	2035852	23.55
1967	55-59	0.01726	0.08290	2.61	81617	6766	391906	1614574	19.78
1967	60-64	0.02564	0.12085	2.62	74851	9045	352722	1222667	16.33
1967	65-69	0.04104	0.18646	2.55	65805	12270	298968	869945	13.22
1967	70-74	0.05644	0.24724	2.5	53535	13236	234524	570977	10.67
1967	75-79	0.08226	0.34082	2.49	40299	13735	166972	336453	8.35
1967	80-84	0.12084	0.46204	2.45	26565	12274	101568	169481	6.38
1967	85-89	0.18099	0.60691	2.29	14291	8673	47919	67913	4.75
1967	90-94	0.25989	0.74000	2.09	5618	4157	15995	19994	3.56
1967	95-99	0.35092	0.84283	1.92	1461	1231	3508	3999	2.74
1967	100-104	0.45926	0.91344	1.7	230	210	457	491	2.14
1967	105-109	0.57197	0.95370	1.51	20	19	33	35	1.74
1967	110+	0.66193	1.00000	1.51	1	1	1	1	1.51
1968	0	0.02294	0.02248	0.11	100000	2248	97992	6745257	67.45
1968	1-4	0.00072	0.00289	1.6	97752	283	390330	6647265	68.00
1968	5-9	0.00052	0.00261	2.36	97469	255	486674	6256935	64.19
1968	10-14	0.00065	0.00325	3	97215	316	485441	5770261	59.36
1968	15-19	0.00149	0.00742	2.7	96899	719	482837	5284821	54.54
1968	20-24	0.00214	0.01065	2.62	96180	1024	478467	4801983	49.93
1968	25-29	0.00188	0.00936	2.42	95156	890	473480	4323516	45.44
1968	30-34	0.00207	0.01029	2.5	94265	970	468898	3850036	40.84
1968	35-39	0.00358	0.01777	2.81	93296	1658	462846	3381138	36.24
1968	40-44	0.00443	0.02195	2.76	91638	2011	453693	2918292	31.85
1968	45-49	0.00770	0.03781	2.64	89627	3389	440124	2464599	27.50
1968	50-54	0.01151	0.05606	2.67	86237	4835	419899	2024475	23.48
1968	55-59	0.01740	0.08353	2.61	81403	6799	390768	1604576	19.71
1968	60-64	0.02689	0.12636	2.62	74603	9427	350553	1213808	16.27
1968	65-69	0.03782	0.17328	2.58	65176	11294	298596	863256	13.24
1968	70-74	0.05730	0.25108	2.54	53882	13529	236101	564659	10.48
1968	75-79	0.08543	0.35100	2.46	40353	14164	165792	328558	8.14
1968	80-84	0.12425	0.47159	2.45	26189	12351	99398	162766	6.21
1968	85-89	0.19108	0.63040	2.3	13839	8724	45656	63368	4.58
1968	90-94	0.26866	0.75084	2.06	5115	3840	14294	17712	3.46
1968	95-99	0.35913	0.84969	1.9	1274	1083	3015	3418	2.68
1968	100-104	0.46772	0.91736	1.69	192	176	376	403	2.10
1968	105-109	0.57988	0.95567	1.49	16	15	26	27	1.71
1968	110+	0.66902	1.00000	1.49	1	1	1	1	1.49
1969	0	0.02461	0.02408	0.11	100000	2408	97859	6728580	67.29
1969	1-4	0.00098	0.00391	1.84	97592	381	389543	6630721	67.94
1969	5-9	0.00058	0.00291	2.15	97211	283	485247	6241178	64.20
1969	10-14	0.00068	0.00338	2.71	96927	327	483889	5755931	59.38
1969	15-19	0.00170	0.00845	2.66	96600	816	481092	5272042	54.58
1969	20-24	0.00198	0.00987	2.38	95784	945	476442	4790951	50.02
1969	25-29	0.00210	0.01042	2.32	94839	988	471550	4314509	45.49
1969	30-34	0.00223	0.01107	2.58	93851	1039	466740	3842959	40.95
1969	35-39	0.00369	0.01830	2.72	92812	1699	460189	3376219	36.38
1969	40-44	0.00458	0.02268	2.71	91113	2067	450831	2916030	32.00
1969	45-49	0.00687	0.03379	2.58	89047	3009	437959	2465199	27.68
1969	50-54	0.01115	0.05432	2.62	86038	4674	419070	2027240	23.56
1969	55-59	0.01770	0.08492	2.61	81364	6909	390294	1608170	19.77
1969	60-64	0.02595	0.12217	2.61	74455	9096	350579	1217877	16.36
1969	65-69	0.03821	0.17462	2.54	65359	11413	298668	867298	13.27
1969	70-74	0.05747	0.25232	2.58	53946	13612	236832	568630	10.54
1969	75-79	0.08230	0.34149	2.51	40335	13774	167363	331798	8.23
1969	80-84	0.12447	0.47278	2.46	26561	12558	100890	164435	6.19
1969	85-89	0.19095	0.62892	2.29	14003	8807	46121	63545	4.54
1969	90-94	0.28014	0.76846	2.06	5196	3993	14255	17425	3.35
1969	95-99	0.36605	0.85557	1.89	1203	1029	2812	3170	2.63
1969	100-104	0.47770	0.92201	1.67	174	160	335	358	2.06
1969	105-109	0.59212	0.95872	1.47	14	13	22	23	1.68
1969	110+	0.68244	1.00000	1.47	1	1	1	1	1.47
1970	0	0.02628	0.02569	0.12	100000	2569	97728	6694969	66.95
1970	1-4	0.00109	0.00436	1.82	97431	425	388801	6597240	67.71
1970	5-9	0.00044	0.00219	2.39	97007	213	484477	6208440	64.00
1970	10-14	0.00055	0.00277	3.01	96794	268	483437	5723962	59.14
1970	15-19	0.00158	0.00789	2.69	96526	761	480868	5240525	54.29
1970	20-24	0.00223	0.01108	2.56	95764	1061	476236	4759658	49.70
1970	25-29	0.00199	0.00989	2.49	94703	937	471161	4283422	45.23
1970	30-34	0.00232	0.01155	2.59	93766	1083	466217	3812261	40.66
1970	35-39	0.00335	0.01663	2.58	92683	1541	459690	3346044	36.10
1970	40-44	0.00476	0.02353	2.72	91142	2144	450826	2886354	31.67
1970	45-49	0.00772	0.03788	2.55	88997	3371	436743	2435528	27.37
1970	50-54	0.01118	0.05443	2.61	85626	4661	417004	1998785	23.34
1970	55-59	0.01846	0.08845	2.65	80965	7162	387994	1581781	19.54
1970	60-64	0.02646	0.12443	2.61	73804	9184	347095	1193787	16.18
1970	65-69	0.03890	0.17781	2.58	64620	11490	295348	846692	13.10
1970	70-74	0.06020	0.26224	2.54	53130	13933	231433	551344	10.38
1970	75-79	0.08610	0.35319	2.46	39197	13844	160796	319911	8.16
1970	80-84	0.12152	0.46076	2.38	25353	11682	96132	159116	6.28
1970	85-89	0.18880	0.62460	2.29	13672	8539	45230	62984	4.61
1970	90-94	0.26873	0.75150	2.07	5132	3857	14352	17754	3.46
1970	95-99	0.36119	0.85161	1.9	1275	1086	3007	3402	2.67
1970	100-104	0.47201	0.91948	1.68	189	174	369	395	2.08
1970	105-109	0.58613	0.95729	1.48	15	15	25	26	1.70
1970	110+	0.67652	1.00000	1.48	1	1	1	1	1.48
1971	0	0.02134	0.02094	0.1	100000	2094	98120	6799606	68.00
1971	1-4	0.00093	0.00370	1.53	97906	362	390729	6701486	68.45
1971	5-9	0.00052	0.00260	2.3	97544	253	487036	6310757	64.70
1971	10-14	0.00055	0.00275	2.99	97291	267	485916	5823721	59.86
1971	15-19	0.00168	0.00838	2.76	97024	813	483298	5337805	55.02
1971	20-24	0.00197	0.00982	2.57	96211	945	478756	4854506	50.46
1971	25-29	0.00193	0.00960	2.38	95266	914	473932	4375751	45.93
1971	30-34	0.00209	0.01041	2.51	94351	982	469312	3901819	41.35
1971	35-39	0.00313	0.01553	2.48	93369	1450	463197	3432507	36.76
1971	40-44	0.00438	0.02166	2.69	91919	1991	454985	2969310	32.30
1971	45-49	0.00757	0.03716	2.58	89928	3341	441556	2514325	27.96
1971	50-54	0.01072	0.05221	2.56	86587	4521	421919	2072769	23.94
1971	55-59	0.01667	0.08021	2.66	82066	6582	394923	1650850	20.12
1971	60-64	0.02521	0.11880	2.58	75483	8967	355729	1255926	16.64
1971	65-69	0.03693	0.16941	2.57	66516	11268	305151	900197	13.53
1971	70-74	0.05442	0.24008	2.55	55248	13264	243739	595046	10.77
1971	75-79	0.08364	0.34449	2.44	41984	14463	172923	351307	8.37
1971	80-84	0.11719	0.44926	2.4	27521	12364	105507	178385	6.48
1971	85-89	0.18148	0.61241	2.35	15157	9282	51148	72878	4.81
1971	90-94	0.24702	0.72547	2.16	5875	4262	17253	21730	3.70
1971	95-99	0.34555	0.83812	1.93	1613	1352	3912	4477	2.78
1971	100-104	0.45320	0.91048	1.71	261	238	524	566	2.17
1971	105-109	0.56577	0.95206	1.52	23	22	39	41	1.76
1971	110+	0.65590	1.00000	1.52	1	1	2	2	1.52
1972	0	0.02323	0.02276	0.11	100000	2276	97968	6774013	67.74
1972	1-4	0.00089	0.00354	1.6	97724	346	390065	6676045	68.32
1972	5-9	0.00061	0.00304	1.85	97378	296	485956	6285980	64.55
1972	10-14	0.00076	0.00379	2.98	97082	368	484663	5800024	59.74
1972	15-19	0.00133	0.00662	2.83	96714	641	482180	5315361	54.96
1972	20-24	0.00191	0.00952	2.27	96073	915	477869	4833181	50.31
1972	25-29	0.00236	0.01175	2.38	95158	1118	472857	4355312	45.77
1972	30-34	0.00282	0.01403	2.69	94040	1319	467151	3882455	41.29
1972	35-39	0.00266	0.01322	2.65	92721	1226	460727	3415304	36.83
1972	40-44	0.00445	0.02203	2.82	91495	2016	453072	2954577	32.29
1972	45-49	0.00661	0.03255	2.73	89480	2913	440784	2501504	27.96
1972	50-54	0.01130	0.05506	2.67	86567	4766	421725	2060720	23.80
1972	55-59	0.01574	0.07584	2.62	81801	6204	394238	1638995	20.04
1972	60-64	0.02691	0.12622	2.55	75597	9542	354587	1244758	16.47
1972	65-69	0.03692	0.16919	2.53	66055	11175	302714	890171	13.48
1972	70-74	0.05759	0.25265	2.57	54879	13865	240738	587457	10.70
1972	75-79	0.08122	0.33751	2.5	41014	13843	170433	346719	8.45
1972	80-84	0.12001	0.46254	2.52	27172	12568	104729	176286	6.49
1972	85-89	0.17449	0.59082	2.27	14604	8628	49447	71557	4.90
1972	90-94	0.24774	0.72578	2.15	5976	4337	17506	22110	3.70
1972	95-99	0.34108	0.83392	1.94	1639	1366	4006	4604	2.81
1972	100-104	0.44669	0.90704	1.73	272	247	553	598	2.20
1972	105-109	0.55765	0.94975	1.53	25	24	43	45	1.78
1972	110+	0.64684	1.00000	1.55	1	1	2	2	1.55
1973	0	0.01900	0.01868	0.1	100000	1868	98311	6784748	67.85
1973	1-4	0.00124	0.00495	1.74	98132	486	391432	6686436	68.14
1973	5-9	0.00043	0.00217	2.47	97646	212	487694	6295005	64.47
1973	10-14	0.00052	0.00257	2.86	97434	251	486635	5807310	59.60
1973	15-19	0.00173	0.00860	2.99	97184	836	484238	5320675	54.75
1973	20-24	0.00182	0.00907	2.28	96348	874	479365	4836437	50.20
1973	25-29	0.00204	0.01013	2.49	95474	967	474943	4357072	45.64
1973	30-34	0.00224	0.01113	2.59	94507	1052	470004	3882129	41.08
1973	35-39	0.00298	0.01478	2.68	93455	1382	464068	3412125	36.51
1973	40-44	0.00428	0.02120	2.74	92074	1952	455963	2948056	32.02
1973	45-49	0.00714	0.03513	2.75	90122	3166	443493	2492093	27.65
1973	50-54	0.01170	0.05694	2.65	86955	4951	423127	2048600	23.56
1973	55-59	0.01601	0.07715	2.64	82004	6327	395085	1625473	19.82
1973	60-64	0.02672	0.12546	2.58	75677	9494	355365	1230387	16.26
1973	65-69	0.03864	0.17666	2.58	66183	11692	302584	875023	13.22
1973	70-74	0.05700	0.24898	2.46	54491	13567	238010	572439	10.51
1973	75-79	0.08567	0.35172	2.46	40924	14394	168021	334429	8.17
1973	80-84	0.12504	0.47255	2.42	26530	12537	100263	166408	6.27
1973	85-89	0.18512	0.61466	2.27	13993	8601	46462	66145	4.73
1973	90-94	0.25216	0.73154	2.13	5392	3945	15643	19683	3.65
1973	95-99	0.34409	0.83612	1.93	1448	1210	3518	4040	2.79
1973	100-104	0.44567	0.90611	1.73	237	215	482	522	2.20
1973	105-109	0.55228	0.94795	1.54	22	21	38	40	1.80
1973	110+	0.63812	1.00000	1.57	1	1	2	2	1.57
1974	0	0.02101	0.02062	0.1	100000	2062	98147	6818944	68.19
1974	1-4	0.00102	0.00409	1.53	97938	400	390765	6720797	68.62
1974	5-9	0.00048	0.00241	2.52	97538	235	487107	6330032	64.90
1974	10-14	0.00052	0.00262	2.63	97303	255	485911	5842925	60.05
1974	15-19	0.00163	0.00811	2.93	97048	787	483614	5357014	55.20
1974	20-24	0.00193	0.00961	2.4	96261	925	478903	4873400	50.63
1974	25-29	0.00186	0.00926	2.38	95336	883	474360	4394497	46.10
1974	30-34	0.00191	0.00949	2.54	94453	897	470060	3920137	41.50
1974	35-39	0.00307	0.01523	2.57	93556	1425	464311	3450077	36.88
1974	40-44	0.00438	0.02169	2.66	92131	1998	455973	2985766	32.41
1974	45-49	0.00709	0.03490	2.68	90133	3145	443376	2529793	28.07
1974	50-54	0.01063	0.05186	2.66	86988	4512	424403	2086416	23.99
1974	55-59	0.01676	0.08055	2.6	82476	6643	396419	1662013	20.15
1974	60-64	0.02524	0.11898	2.6	75833	9023	357540	1265594	16.69
1974	65-69	0.03693	0.16934	2.55	66810	11314	306388	908055	13.59
1974	70-74	0.05405	0.23891	2.57	55496	13259	245301	601667	10.84
1974	75-79	0.07790	0.32548	2.47	42238	13747	176473	356366	8.44
1974	80-84	0.12127	0.46385	2.47	28490	13215	108976	179894	6.31
