"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
29219820202,29,219,820202,80.8,1.4065,1
29221460100,29,221,460100,73.9,1.338,3
29221460200,29,221,460200,74.3,1.0553,3
29221460300,29,221,460300,75.1,1.3142,3
29221460400,29,221,460400,73.2,1.3955,3
29221460500,29,221,460500,74.7,1.1858,3
29223690100,29,223,690100,74.8,1.2939,2
29223690200,29,223,690200,80.7,1.9698,3
29223690300,29,223,690300,70.1,1.1707,3
29223690400,29,223,690400,74.8,1.1544,2
29225470101,29,225,470101,79.9,1.8427,3
29225470102,29,225,470102,80,2.8447,3
29225470201,29,225,470201,78.1,1.3482,3
29225470202,29,225,470202,75.1,1.1253,3
29225470301,29,225,470301,77.3,1.3332,3
29225470302,29,225,470302,76.2,1.7826,1
29225470401,29,225,470401,75.3,1.3033,3
29225470402,29,225,470402,73.3,0.9628,2
29227960100,29,227,960100,77,1.7776,3
29229490100,29,229,490100,78.9,1.7961,3
29229490200,29,229,490200,74.8,1.6541,3
29229490300,29,229,490300,75.5,1.1169,3
29229490400,29,229,490400,71.5,1.4847,1
29510101100,29,510,101100,77.8,1.759,3
29510101200,29,510,101200,80.6,1.4835,3
29510101300,29,510,101300,78.9,2.4559,3
29510101400,29,510,101400,73,1.519,3
29510101500,29,510,101500,69.5,1.7168,3
29510101800,29,510,101800,71.3,1.6809,1
29510102100,29,510,102100,79.5,2.6001,3
29510102200,29,510,102200,81,1.49,3
29510102300,29,510,102300,79.2,1.9951,3
29510102400,29,510,102400,75,1.9251,3
29510102500,29,510,102500,77.5,2.3324,3
29510103100,29,510,103100,77.1,1.3568,3
29510103400,29,510,103400,74.3,2.4666,3
29510103600,29,510,103600,72.6,1.9417,3
29510103700,29,510,103700,76.5,2.0764,3
29510103800,29,510,103800,77.9,1.1247,3
29510104200,29,510,104200,73.7,1.5832,3
29510104500,29,510,104500,75.2,1.9636,3
29510105198,29,510,105198,82,2.0531,3
29510105200,29,510,105200,74,2.9181,3
29510105300,29,510,105300,75.1,2.2713,3
29510105400,29,510,105400,79.6,3.8821,1
29510106100,29,510,106100,71,2.0856,3
29510106200,29,510,106200,71.3,3.2486,3
29510106300,29,510,106300,65.2,2.8725,3
29510106500,29,510,106500,68.2,1.7313,3
29510106600,29,510,106600,68.1,2.1459,3
29510106700,29,510,106700,70.8,1.875,3
29510107200,29,510,107200,72,3.4484,2
29510107300,29,510,107300,69,1.4194,1
29510107400,29,510,107400,68.3,1.6074,3
29510107500,29,510,107500,65.8,2.3884,3
29510107600,29,510,107600,73.1,2.4062,3
29510108100,29,510,108100,69.1,1.6827,3
29510108200,29,510,108200,67.1,2.1108,3
29510108300,29,510,108300,67.2,1.9744,3
29510109600,29,510,109600,73.9,2.7458,3
29510109700,29,510,109700,65.5,2.5865,3
29510110100,29,510,110100,68.6,1.6756,3
29510110200,29,510,110200,68,2.0557,3
29510110300,29,510,110300,67.2,2.1642,3
29510110400,29,510,110400,67.5,3.3228,3
29510110500,29,510,110500,60.7,3.0432,3
29510111100,29,510,111100,71.6,1.1763,2
29510111200,29,510,111200,66.3,3.1672,3
29510111400,29,510,111400,65.4,3.2551,3
29510112100,29,510,112100,78.8,1.8866,3
29510112200,29,510,112200,72.7,2.1086,3
29510112300,29,510,112300,72,2.4309,3
29510112400,29,510,112400,77,2.3063,3
29510113500,29,510,113500,79.5,0.8439,2
29510114101,29,510,114101,76.3,1.5175,3
29510114102,29,510,114102,79.4,1.5831,3
29510114200,29,510,114200,75.5,1.6222,3
29510114300,29,510,114300,79.1,1.4813,3
29510115100,29,510,115100,72.4,1.3247,3
29510115200,29,510,115200,76,3.0457,3
29510115300,29,510,115300,75.3,1.5522,1
29510115400,29,510,115400,72.8,1.5712,3
29510115600,29,510,115600,67,1.6146,3
29510115700,29,510,115700,70.3,1.5206,3
29510116100,29,510,116100,76.3,1.7934,3
29510116200,29,510,116200,75,1.4297,3
29510116301,29,510,116301,80.5,2.3935,3
29510116302,29,510,116302,70,2.6959,3
29510116400,29,510,116400,74.5,2.3335,3
29510116500,29,510,116500,73.7,1.8411,3
29510117100,29,510,117100,74.8,3.1495,3
29510117200,29,510,117200,78.3,1.6886,2
29510117400,29,510,117400,75.1,1.2143,3
29510118100,29,510,118100,69.4,2.2858,3
29510118600,29,510,118600,78.7,2.6824,3
29510119101,29,510,119101,74.5,2.3097,3
29510119102,29,510,119102,75.1,1.9509,3
29510119200,29,510,119200,77.3,2.5938,3
29510119300,29,510,119300,73.9,2.0136,3
29510120200,29,510,120200,69.7,2.194,3
29510121100,29,510,121100,73,3.7242,2
29510121200,29,510,121200,72,1.1954,2
29510123100,29,510,123100,76.3,3.7223,3
29510123200,29,510,123200,75.7,3.2576,3
29510123300,29,510,123300,76.2,2.3476,3
29510124100,29,510,124100,67.8,1.5702,3
29510124200,29,510,124200,73.1,1.3766,2
29510124300,29,510,124300,75.7,1.6483,3
29510124600,29,510,124600,72.1,2.31,2
29510125600,29,510,125600,73.2,3.0221,3
29510125700,29,510,125700,72,1.4712,2
29510126600,29,510,126600,73,1.8334,2
29510126800,29,510,126800,77.8,1.1657,2
29510126900,29,510,126900,71,1.504,3
29510127000,29,510,127000,74.5,2.6155,3
29510127100,29,510,127100,71.6,1.0109,2
29510127200,29,510,127200,78.6,1.8308,3
29510127300,29,510,127300,73.1,2.1734,3
29510127400,29,510,127400,75.6,2.2375,3
29510127500,29,510,127500,73.9,3.7328,3

