PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,m,1960-1964,0,0.02955,0.02881,0.12,100000,2881,97477,6641390,66.41
MT,m,1960-1964,1,0.00209,0.00208,0.5,97119,202,97018,6543912,67.38
MT,m,1960-1964,2,0.00128,0.00128,0.5,96917,124,96855,6446895,66.52
MT,m,1960-1964,3,0.00103,0.00103,0.5,96792,100,96743,6350040,65.60
MT,m,1960-1964,4,0.00055,0.00055,0.5,96693,54,96666,6253297,64.67
MT,m,1960-1964,5,0.00070,0.00070,0.5,96639,68,96605,6156631,63.71
MT,m,1960-1964,6,0.00059,0.00059,0.5,96571,57,96543,6060026,62.75
MT,m,1960-1964,7,0.00045,0.00045,0.5,96514,43,96493,5963483,61.79
MT,m,1960-1964,8,0.00058,0.00058,0.5,96471,56,96443,5866990,60.82
MT,m,1960-1964,9,0.00041,0.00041,0.5,96415,40,96395,5770547,59.85
MT,m,1960-1964,10,0.00075,0.00075,0.5,96375,72,96339,5674152,58.88
MT,m,1960-1964,11,0.00053,0.00053,0.5,96303,51,96278,5577812,57.92
MT,m,1960-1964,12,0.00065,0.00065,0.5,96253,63,96221,5481534,56.95
MT,m,1960-1964,13,0.00074,0.00074,0.5,96190,71,96154,5385313,55.99
MT,m,1960-1964,14,0.00086,0.00086,0.5,96119,83,96078,5289159,55.03
MT,m,1960-1964,15,0.00089,0.00089,0.5,96036,86,95993,5193081,54.07
MT,m,1960-1964,16,0.00149,0.00149,0.5,95950,143,95879,5097088,53.12
MT,m,1960-1964,17,0.00201,0.00201,0.5,95807,192,95711,5001209,52.20
MT,m,1960-1964,18,0.00209,0.00209,0.5,95615,200,95515,4905498,51.30
MT,m,1960-1964,19,0.00291,0.00291,0.5,95415,278,95276,4809983,50.41
MT,m,1960-1964,20,0.00271,0.00271,0.5,95138,257,95009,4714706,49.56
MT,m,1960-1964,21,0.00306,0.00305,0.5,94880,290,94735,4619697,48.69
MT,m,1960-1964,22,0.00284,0.00283,0.5,94591,268,94457,4524962,47.84
MT,m,1960-1964,23,0.00294,0.00293,0.5,94322,277,94184,4430505,46.97
MT,m,1960-1964,24,0.00231,0.00231,0.5,94046,217,93937,4336321,46.11
MT,m,1960-1964,25,0.00303,0.00303,0.5,93829,284,93687,4242384,45.21
MT,m,1960-1964,26,0.00271,0.00270,0.5,93545,253,93418,4148697,44.35
MT,m,1960-1964,27,0.00203,0.00203,0.5,93292,189,93197,4055279,43.47
MT,m,1960-1964,28,0.00196,0.00196,0.5,93103,183,93011,3962082,42.56
MT,m,1960-1964,29,0.00194,0.00194,0.5,92920,180,92830,3869070,41.64
MT,m,1960-1964,30,0.00264,0.00264,0.5,92740,245,92617,3776240,40.72
MT,m,1960-1964,31,0.00253,0.00253,0.5,92495,234,92378,3683623,39.83
MT,m,1960-1964,32,0.00208,0.00207,0.5,92261,191,92165,3591245,38.92
MT,m,1960-1964,33,0.00268,0.00267,0.5,92070,246,91947,3499080,38.00
