PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,b,1959,0,0.02530,0.02475,0.12,100000,2475,97821,6924647,69.25
MT,b,1959,1,0.00191,0.00191,0.5,97525,187,97432,6826827,70.00
MT,b,1959,2,0.00128,0.00128,0.5,97338,125,97276,6729395,69.13
MT,b,1959,3,0.00093,0.00093,0.5,97214,91,97168,6632119,68.22
MT,b,1959,4,0.00093,0.00093,0.5,97123,91,97078,6534951,67.29
MT,b,1959,5,0.00120,0.00120,0.5,97032,117,96974,6437873,66.35
MT,b,1959,6,0.00090,0.00090,0.5,96916,87,96872,6340899,65.43
MT,b,1959,7,0.00046,0.00046,0.5,96829,44,96807,6244027,64.49
MT,b,1959,8,0.00041,0.00041,0.5,96785,40,96765,6147220,63.51
MT,b,1959,9,0.00057,0.00057,0.5,96745,55,96717,6050455,62.54
MT,b,1959,10,0.00049,0.00049,0.5,96690,48,96666,5953738,61.58
MT,b,1959,11,0.00042,0.00042,0.5,96642,41,96622,5857072,60.61
MT,b,1959,12,0.00052,0.00052,0.5,96601,51,96576,5760450,59.63
MT,b,1959,13,0.00042,0.00042,0.5,96551,40,96530,5663875,58.66
MT,b,1959,14,0.00071,0.00071,0.5,96510,68,96476,5567344,57.69
MT,b,1959,15,0.00080,0.00080,0.5,96442,77,96403,5470868,56.73
MT,b,1959,16,0.00120,0.00120,0.5,96365,115,96307,5374465,55.77
MT,b,1959,17,0.00218,0.00218,0.5,96249,210,96144,5278158,54.84
MT,b,1959,18,0.00143,0.00143,0.5,96040,137,95971,5182014,53.96
MT,b,1959,19,0.00221,0.00220,0.5,95903,211,95797,5086042,53.03
MT,b,1959,20,0.00149,0.00149,0.5,95691,143,95620,4990246,52.15
MT,b,1959,21,0.00342,0.00342,0.5,95549,327,95385,4894626,51.23
MT,b,1959,22,0.00165,0.00165,0.5,95222,157,95143,4799240,50.40
MT,b,1959,23,0.00194,0.00194,0.5,95065,184,94972,4704097,49.48
MT,b,1959,24,0.00182,0.00182,0.5,94880,173,94794,4609125,48.58
MT,b,1959,25,0.00248,0.00248,0.5,94708,235,94590,4514331,47.67
MT,b,1959,26,0.00196,0.00196,0.5,94473,185,94380,4419741,46.78
MT,b,1959,27,0.00141,0.00141,0.5,94288,133,94222,4325360,45.87
MT,b,1959,28,0.00151,0.00151,0.5,94155,142,94084,4231139,44.94
MT,b,1959,29,0.00267,0.00267,0.5,94013,251,93888,4137054,44.01
MT,b,1959,30,0.00166,0.00166,0.5,93762,156,93684,4043167,43.12
MT,b,1959,31,0.00131,0.00131,0.5,93606,122,93545,3949483,42.19
MT,b,1959,32,0.00385,0.00385,0.5,93484,360,93304,3855937,41.25
MT,b,1959,33,0.00096,0.00096,0.5,93124,89,93080,3762633,40.40
MT,b,1959,34,0.00141,0.00141,0.5,93035,131,92970,3669554,39.44
MT,b,1959,35,0.00175,0.00175,0.5,92904,163,92823,3576584,38.50
MT,b,1959,36,0.00200,0.00199,0.5,92742,185,92649,3483761,37.56
MT,b,1959,37,0.00185,0.00185,0.5,92557,171,92471,3391112,36.64
MT,b,1959,38,0.00248,0.00248,0.5,92386,229,92271,3298641,35.71
MT,b,1959,39,0.00238,0.00238,0.5,92156,219,92047,3206370,34.79
MT,b,1959,40,0.00377,0.00376,0.5,91937,346,91764,3114323,33.87
MT,b,1959,41,0.00293,0.00293,0.5,91591,268,91457,3022559,33.00
MT,b,1959,42,0.00415,0.00414,0.5,91323,379,91134,2931102,32.10
MT,b,1959,43,0.00353,0.00353,0.5,90945,321,90784,2839967,31.23
MT,b,1959,44,0.00426,0.00425,0.5,90624,385,90432,2749183,30.34
MT,b,1959,45,0.00488,0.00487,0.5,90239,440,90019,2658751,29.46
MT,b,1959,46,0.00543,0.00542,0.5,89800,486,89557,2568732,28.61
MT,b,1959,47,0.00598,0.00596,0.5,89313,532,89047,2479175,27.76
MT,b,1959,48,0.00610,0.00608,0.5,88781,540,88511,2390128,26.92
MT,b,1959,49,0.00842,0.00838,0.5,88241,740,87871,2301617,26.08
MT,b,1959,50,0.00749,0.00746,0.5,87501,653,87175,2213746,25.30
MT,b,1959,51,0.00856,0.00852,0.5,86848,740,86478,2126572,24.49
MT,b,1959,52,0.01010,0.01005,0.5,86108,865,85675,2040094,23.69
MT,b,1959,53,0.00800,0.00796,0.5,85243,679,84903,1954418,22.93
MT,b,1959,54,0.01325,0.01317,0.5,84564,1113,84007,1869515,22.11
MT,b,1959,55,0.00989,0.00984,0.5,83450,821,83040,1785508,21.40
MT,b,1959,56,0.01293,0.01285,0.5,82629,1061,82098,1702468,20.60
MT,b,1959,57,0.01449,0.01439,0.5,81568,1174,80981,1620370,19.87
MT,b,1959,58,0.01247,0.01239,0.5,80394,996,79896,1539389,19.15
MT,b,1959,59,0.01711,0.01696,0.5,79398,1347,78724,1459493,18.38
MT,b,1959,60,0.01577,0.01564,0.5,78051,1221,77440,1380769,17.69
