Div5: South Atlantic, Lifetables (period 5x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02458	0.02406	0.12	100000	2406	97887	7301006	73.01
1960-1969	1-4	0.00105	0.00419	1.56	97594	409	389375	7203119	73.81
1960-1969	5-9	0.00043	0.00217	2.26	97184	211	485345	6813744	70.11
1960-1969	10-14	0.00035	0.00173	2.61	96974	168	484468	6328399	65.26
1960-1969	15-19	0.00060	0.00300	2.71	96806	290	483365	5843931	60.37
1960-1969	20-24	0.00079	0.00394	2.58	96516	380	481660	5360566	55.54
1960-1969	25-29	0.00101	0.00502	2.61	96136	483	479522	4878905	50.75
1960-1969	30-34	0.00150	0.00749	2.67	95653	716	476598	4399383	45.99
1960-1969	35-39	0.00225	0.01120	2.65	94936	1064	472181	3922785	41.32
1960-1969	40-44	0.00338	0.01675	2.65	93873	1572	465668	3450605	36.76
1960-1969	45-49	0.00489	0.02418	2.64	92301	2232	456247	2984936	32.34
1960-1969	50-54	0.00726	0.03570	2.62	90069	3215	442684	2528689	28.08
1960-1969	55-59	0.01007	0.04919	2.63	86853	4272	424155	2086006	24.02
1960-1969	60-64	0.01496	0.07221	2.61	82581	5963	398628	1661851	20.12
1960-1969	65-69	0.02254	0.10689	2.59	76617	8190	363320	1263223	16.49
1960-1969	70-74	0.03450	0.15936	2.61	68428	10905	316065	899903	13.15
1960-1969	75-79	0.05426	0.23965	2.57	57523	13785	254060	583839	10.15
1960-1969	80-84	0.09101	0.37165	2.53	43738	16255	178603	329778	7.54
1960-1969	85-89	0.14832	0.53390	2.38	27483	14673	98927	151175	5.50
1960-1969	90-94	0.21854	0.67804	2.2	12810	8686	39743	52249	4.08
1960-1969	95-99	0.31163	0.80645	2.01	4124	3326	10673	12505	3.03
1960-1969	100-104	0.42529	0.89657	1.77	798	716	1683	1832	2.30
1960-1969	105-109	0.54774	0.94764	1.55	83	78	143	150	1.81
1960-1969	110+	0.64685	1.00000	1.55	4	4	7	7	1.55
1970-1979	0	0.01660	0.01635	0.1	100000	1635	98527	7564046	75.64
1970-1979	1-4	0.00072	0.00288	1.61	98365	283	392782	7465518	75.90
1970-1979	5-9	0.00034	0.00170	2.3	98081	166	489957	7072736	72.11
1970-1979	10-14	0.00029	0.00147	2.67	97915	144	489239	6582779	67.23
1970-1979	15-19	0.00059	0.00295	2.7	97771	289	488192	6093540	62.32
1970-1979	20-24	0.00071	0.00352	2.49	97482	343	486550	5605348	57.50
1970-1979	25-29	0.00081	0.00404	2.6	97139	392	484754	5118797	52.70
1970-1979	30-34	0.00112	0.00560	2.68	96747	542	482474	4634044	47.90
1970-1979	35-39	0.00177	0.00881	2.68	96205	847	479061	4151570	43.15
1970-1979	40-44	0.00287	0.01424	2.68	95357	1357	473642	3672509	38.51
1970-1979	45-49	0.00430	0.02127	2.64	94000	2000	465283	3198868	34.03
1970-1979	50-54	0.00630	0.03103	2.62	92000	2854	453198	2733585	29.71
1970-1979	55-59	0.00897	0.04392	2.62	89146	3915	436409	2280387	25.58
1970-1979	60-64	0.01275	0.06188	2.61	85231	5274	413572	1843978	21.64
1970-1979	65-69	0.01832	0.08777	2.61	79956	7018	383000	1430406	17.89
1970-1979	70-74	0.02883	0.13487	2.62	72939	9838	341251	1047406	14.36
1970-1979	75-79	0.04554	0.20527	2.6	63101	12953	284438	706155	11.19
1970-1979	80-84	0.07597	0.32043	2.56	50149	16069	211519	421717	8.41
1970-1979	85-89	0.12411	0.47081	2.44	34079	16045	129285	210199	6.17
1970-1979	90-94	0.19326	0.63311	2.28	18034	11418	59080	80913	4.49
1970-1979	95-99	0.28181	0.77277	2.08	6617	5113	18144	21833	3.30
1970-1979	100-104	0.39514	0.87826	1.84	1503	1320	3342	3689	2.45
1970-1979	105-109	0.52108	0.93958	1.6	183	172	330	348	1.90
1970-1979	110+	0.62469	1.00000	1.6	11	11	18	18	1.60
1980-1989	0	0.01138	0.01127	0.08	100000	1127	98969	7781812	77.82
1980-1989	1-4	0.00053	0.00211	1.57	98873	209	394986	7682843	77.70
1980-1989	5-9	0.00024	0.00120	2.32	98665	119	493005	7287857	73.86
1980-1989	10-14	0.00022	0.00112	2.68	98546	111	492472	6794852	68.95
1980-1989	15-19	0.00051	0.00255	2.71	98435	251	491601	6302381	64.03
1980-1989	20-24	0.00061	0.00305	2.54	98184	299	490185	5810779	59.18
1980-1989	25-29	0.00071	0.00354	2.56	97885	347	488581	5320594	54.36
1980-1989	30-34	0.00091	0.00453	2.61	97539	441	486639	4832013	49.54
1980-1989	35-39	0.00125	0.00622	2.63	97097	604	484055	4345375	44.75
1980-1989	40-44	0.00198	0.00983	2.68	96493	949	480263	3861320	40.02
1980-1989	45-49	0.00316	0.01567	2.69	95544	1498	474264	3381057	35.39
1980-1989	50-54	0.00499	0.02467	2.67	94047	2320	464837	2906793	30.91
1980-1989	55-59	0.00763	0.03747	2.65	91726	3437	450546	2441956	26.62
1980-1989	60-64	0.01152	0.05608	2.62	88289	4952	429678	1991411	22.56
1980-1989	65-69	0.01669	0.08026	2.61	83338	6688	400715	1561733	18.74
1980-1989	70-74	0.02560	0.12068	2.63	76649	9250	361330	1161017	15.15
1980-1989	75-79	0.03981	0.18169	2.6	67400	12246	307577	799687	11.86
