PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NV,m,1960-1969,0,0.03101,0.03019,0.13,100000,3019,97368,6495453,64.95
NV,m,1960-1969,1-4,0.00129,0.00514,1.67,96981,498,386765,6398085,65.97
NV,m,1960-1969,5-9,0.00058,0.00292,2.28,96483,282,481646,6011320,62.30
NV,m,1960-1969,10-14,0.00083,0.00416,2.9,96201,400,480165,5529674,57.48
NV,m,1960-1969,15-19,0.00192,0.00955,2.91,95801,915,477088,5049509,52.71
NV,m,1960-1969,20-24,0.00269,0.01338,2.46,94885,1269,471210,4572421,48.19
NV,m,1960-1969,25-29,0.00237,0.01178,2.45,93616,1103,465270,4101211,43.81
NV,m,1960-1969,30-34,0.00268,0.01330,2.55,92513,1230,459550,3635941,39.30
NV,m,1960-1969,35-39,0.00366,0.01812,2.62,91283,1654,452470,3176392,34.80
NV,m,1960-1969,40-44,0.00610,0.03008,2.66,89629,2696,441820,2723921,30.39
NV,m,1960-1969,45-49,0.00885,0.04334,2.67,86932,3767,425880,2282101,26.25
NV,m,1960-1969,50-54,0.01340,0.06491,2.59,83165,5398,402835,1856221,22.32
NV,m,1960-1969,55-59,0.02077,0.09883,2.57,77767,7686,370124,1453386,18.69
NV,m,1960-1969,60-64,0.03185,0.14799,2.61,70081,10371,325603,1083262,15.46
NV,m,1960-1969,65-69,0.04356,0.19662,2.53,59710,11740,269534,757659,12.69
NV,m,1960-1969,70-74,0.06378,0.27601,2.56,47970,13240,207587,488125,10.18
NV,m,1960-1969,75-79,0.09526,0.38318,2.45,34729,13307,139700,280537,8.08
NV,m,1960-1969,80-84,0.11562,0.44594,2.44,21422,9553,82621,140837,6.57
NV,m,1960-1969,85-89,0.17329,0.59075,2.31,11869,7012,40462,58217,4.90
NV,m,1960-1969,90-94,0.25080,0.72961,2.13,4857,3544,14131,17755,3.66
NV,m,1960-1969,95-99,0.34766,0.84036,1.93,1313,1104,3175,3624,2.76
NV,m,1960-1969,100-104,0.45876,0.91348,1.71,210,192,417,449,2.14
NV,m,1960-1969,105-109,0.57454,0.95453,1.5,18,17,30,31,1.73
NV,m,1960-1969,110+,0.66682,1.00000,1.5,1,1,1,1,1.50
NV,m,1970-1979,0,0.02004,0.01969,0.1,100000,1969,98226,6786398,67.86
NV,m,1970-1979,1-4,0.00092,0.00369,1.56,98031,362,391243,6688172,68.22
NV,m,1970-1979,5-9,0.00044,0.00219,2.42,97670,214,487797,6296930,64.47
NV,m,1970-1979,10-14,0.00053,0.00263,2.93,97456,256,486748,5809133,59.61
NV,m,1970-1979,15-19,0.00228,0.01134,2.91,97200,1102,483695,5322385,54.76
NV,m,1970-1979,20-24,0.00246,0.01223,2.42,96098,1175,477457,4838689,50.35
NV,m,1970-1979,25-29,0.00233,0.01156,2.48,94923,1097,471852,4361233,45.94
NV,m,1970-1979,30-34,0.00244,0.01213,2.57,93826,1138,466366,3889381,41.45
NV,m,1970-1979,35-39,0.00323,0.01605,2.54,92687,1487,459777,3423014,36.93
NV,m,1970-1979,40-44,0.00435,0.02153,2.68,91200,1964,451450,2963237,32.49
NV,m,1970-1979,45-49,0.00729,0.03583,2.65,89237,3198,438670,2511787,28.15
NV,m,1970-1979,50-54,0.01076,0.05247,2.66,86039,4514,419632,2073117,24.10
NV,m,1970-1979,55-59,0.01650,0.07937,2.62,81524,6471,392212,1653485,20.28
NV,m,1970-1979,60-64,0.02489,0.11743,2.59,75054,8813,354048,1261273,16.80
NV,m,1970-1979,65-69,0.03598,0.16560,2.6,66240,10969,304892,907225,13.70
NV,m,1970-1979,70-74,0.05717,0.25071,2.55,55271,13857,242392,602333,10.90
NV,m,1970-1979,75-79,0.08085,0.33589,2.48,41414,13911,172057,359941,8.69
NV,m,1970-1979,80-84,0.10986,0.42895,2.45,27504,11798,107386,187883,6.83
NV,m,1970-1979,85-89,0.16396,0.56985,2.32,15706,8950,54585,80498,5.13
NV,m,1970-1979,90-94,0.23692,0.70836,2.16,6756,4786,20199,25913,3.84
NV,m,1970-1979,95-99,0.32885,0.82278,1.96,1970,1621,4930,5714,2.90
NV,m,1970-1979,100-104,0.43574,0.90150,1.75,349,315,722,785,2.25
NV,m,1970-1979,105-109,0.54922,0.94750,1.54,34,33,59,62,1.81
NV,m,1970-1979,110+,0.64085,1.00000,1.56,2,2,3,3,1.56
NV,m,1980-1989,0,0.01107,0.01096,0.07,100000,1096,98986,7060332,70.60
NV,m,1980-1989,1-4,0.00060,0.00238,1.66,98904,235,395067,6961346,70.38
NV,m,1980-1989,5-9,0.00029,0.00145,2.4,98669,143,492972,6566279,66.55
NV,m,1980-1989,10-14,0.00041,0.00207,2.66,98525,204,492151,6073307,61.64
NV,m,1980-1989,15-19,0.00146,0.00730,2.9,98322,718,490105,5581157,56.76
NV,m,1980-1989,20-24,0.00215,0.01071,2.53,97604,1046,485436,5091052,52.16
NV,m,1980-1989,25-29,0.00196,0.00975,2.46,96559,942,480397,4605616,47.70
NV,m,1980-1989,30-34,0.00222,0.01104,2.61,95617,1055,475561,4125219,43.14
NV,m,1980-1989,35-39,0.00272,0.01353,2.55,94561,1280,469672,3649658,38.60
NV,m,1980-1989,40-44,0.00351,0.01738,2.6,93282,1621,462514,3179986,34.09
NV,m,1980-1989,45-49,0.00568,0.02800,2.61,91661,2567,452173,2717473,29.65
NV,m,1980-1989,50-54,0.00884,0.04331,2.7,89094,3858,436601,2265299,25.43
NV,m,1980-1989,55-59,0.01422,0.06880,2.66,85236,5864,412479,1828698,21.45
NV,m,1980-1989,60-64,0.02137,0.10173,2.64,79371,8074,377779,1416219,17.84
NV,m,1980-1989,65-69,0.03108,0.14463,2.6,71297,10312,331744,1038440,14.57
NV,m,1980-1989,70-74,0.04909,0.21935,2.58,60985,13377,272494,706696,11.59
NV,m,1980-1989,75-79,0.07327,0.30979,2.51,47608,14749,201295,434202,9.12
NV,m,1980-1989,80-84,0.10453,0.41281,2.45,32860,13565,129773,232907,7.09
NV,m,1980-1989,85-89,0.15544,0.54991,2.34,19295,10610,68260,103134,5.35
NV,m,1980-1989,90-94,0.22431,0.68771,2.19,8684,5972,26626,34874,4.02
NV,m,1980-1989,95-99,0.31173,0.80519,2,2712,2184,7005,8249,3.04
NV,m,1980-1989,100-104,0.41459,0.88910,1.79,528,470,1133,1243,2.35
NV,m,1980-1989,105-109,0.52563,0.94001,1.58,59,55,105,110,1.89
NV,m,1980-1989,110+,0.61622,1.00000,1.62,4,4,6,6,1.62
NV,m,1990-1999,0,0.00799,0.00794,0.07,100000,794,99259,7207441,72.07
NV,m,1990-1999,1-4,0.00054,0.00214,1.57,99206,212,396309,7108182,71.65
NV,m,1990-1999,5-9,0.00023,0.00115,2.36,98994,114,494670,6711873,67.80
NV,m,1990-1999,10-14,0.00032,0.00158,2.91,98880,156,494075,6217203,62.88
NV,m,1990-1999,15-19,0.00134,0.00667,2.96,98724,658,492277,5723128,57.97
NV,m,1990-1999,20-24,0.00177,0.00881,2.45,98065,864,488128,5230851,53.34
NV,m,1990-1999,25-29,0.00168,0.00834,2.53,97202,811,484006,4742723,48.79
NV,m,1990-1999,30-34,0.00215,0.01069,2.6,96391,1030,479482,4258716,44.18
NV,m,1990-1999,35-39,0.00293,0.01453,2.67,95361,1386,473571,3779235,39.63
NV,m,1990-1999,40-44,0.00379,0.01880,2.59,93975,1767,465616,3305664,35.18
NV,m,1990-1999,45-49,0.00522,0.02578,2.65,92208,2377,455463,2840048,30.80
NV,m,1990-1999,50-54,0.00791,0.03886,2.7,89831,3491,441126,2384585,26.55
NV,m,1990-1999,55-59,0.01157,0.05630,2.65,86340,4861,420254,1943459,22.51
NV,m,1990-1999,60-64,0.01931,0.09233,2.62,81479,7523,389514,1523205,18.69
NV,m,1990-1999,65-69,0.02782,0.13045,2.61,73956,9647,346728,1133691,15.33
