PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
LA,b,1960-1969,0,0.02969,0.02894,0.13,100000,2894,97484,6818596,68.19
LA,b,1960-1969,1,0.00212,0.00212,0.5,97106,206,97003,6721112,69.21
LA,b,1960-1969,2,0.00126,0.00126,0.5,96900,122,96839,6624109,68.36
LA,b,1960-1969,3,0.00094,0.00094,0.5,96778,91,96732,6527270,67.45
LA,b,1960-1969,4,0.00079,0.00079,0.5,96687,76,96649,6430537,66.51
LA,b,1960-1969,5,0.00066,0.00066,0.5,96611,64,96579,6333889,65.56
LA,b,1960-1969,6,0.00055,0.00055,0.5,96547,53,96520,6237310,64.60
LA,b,1960-1969,7,0.00046,0.00046,0.5,96494,44,96472,6140789,63.64
LA,b,1960-1969,8,0.00043,0.00043,0.5,96450,42,96429,6044318,62.67
LA,b,1960-1969,9,0.00041,0.00041,0.5,96408,40,96388,5947889,61.70
LA,b,1960-1969,10,0.00043,0.00043,0.5,96368,41,96348,5851501,60.72
LA,b,1960-1969,11,0.00043,0.00043,0.5,96327,41,96306,5755153,59.75
LA,b,1960-1969,12,0.00050,0.00050,0.5,96286,48,96262,5658847,58.77
LA,b,1960-1969,13,0.00054,0.00054,0.5,96238,52,96212,5562585,57.80
LA,b,1960-1969,14,0.00065,0.00065,0.5,96186,63,96154,5466374,56.83
LA,b,1960-1969,15,0.00078,0.00078,0.5,96123,75,96085,5370219,55.87
LA,b,1960-1969,16,0.00099,0.00099,0.5,96048,95,96000,5274134,54.91
LA,b,1960-1969,17,0.00123,0.00123,0.5,95953,118,95894,5178134,53.97
LA,b,1960-1969,18,0.00148,0.00148,0.5,95834,142,95764,5082240,53.03
LA,b,1960-1969,19,0.00158,0.00158,0.5,95693,151,95617,4986476,52.11
LA,b,1960-1969,20,0.00154,0.00154,0.5,95542,147,95468,4890859,51.19
LA,b,1960-1969,21,0.00162,0.00161,0.5,95395,154,95318,4795391,50.27
LA,b,1960-1969,22,0.00180,0.00180,0.5,95241,172,95155,4700073,49.35
LA,b,1960-1969,23,0.00170,0.00170,0.5,95069,162,94989,4604918,48.44
LA,b,1960-1969,24,0.00176,0.00175,0.5,94908,166,94824,4509929,47.52
LA,b,1960-1969,25,0.00176,0.00176,0.5,94741,166,94658,4415105,46.60
LA,b,1960-1969,26,0.00177,0.00177,0.5,94575,168,94491,4320446,45.68
LA,b,1960-1969,27,0.00171,0.00171,0.5,94407,161,94327,4225955,44.76
LA,b,1960-1969,28,0.00178,0.00178,0.5,94246,168,94162,4131629,43.84
LA,b,1960-1969,29,0.00193,0.00192,0.5,94079,181,93988,4037466,42.92
LA,b,1960-1969,30,0.00198,0.00198,0.5,93898,185,93805,3943478,42.00
LA,b,1960-1969,31,0.00198,0.00198,0.5,93712,186,93619,3849673,41.08
LA,b,1960-1969,32,0.00209,0.00209,0.5,93526,196,93429,3756054,40.16
LA,b,1960-1969,33,0.00230,0.00230,0.5,93331,215,93224,3662625,39.24
LA,b,1960-1969,34,0.00241,0.00240,0.5,93116,224,93004,3569402,38.33
LA,b,1960-1969,35,0.00269,0.00269,0.5,92892,250,92767,3476397,37.42
LA,b,1960-1969,36,0.00286,0.00286,0.5,92643,265,92510,3383630,36.52
LA,b,1960-1969,37,0.00286,0.00286,0.5,92378,264,92246,3291120,35.63
LA,b,1960-1969,38,0.00339,0.00338,0.5,92114,312,91958,3198874,34.73
LA,b,1960-1969,39,0.00356,0.00355,0.5,91802,326,91639,3106917,33.84
LA,b,1960-1969,40,0.00375,0.00374,0.5,91476,342,91305,3015278,32.96
LA,b,1960-1969,41,0.00430,0.00429,0.5,91134,391,90938,2923973,32.08
LA,b,1960-1969,42,0.00474,0.00473,0.5,90743,429,90528,2833035,31.22
LA,b,1960-1969,43,0.00472,0.00471,0.5,90313,426,90101,2742506,30.37
LA,b,1960-1969,44,0.00532,0.00530,0.5,89888,477,89650,2652406,29.51
LA,b,1960-1969,45,0.00592,0.00590,0.5,89411,528,89147,2562756,28.66
LA,b,1960-1969,46,0.00634,0.00632,0.5,88884,562,88603,2473609,27.83
LA,b,1960-1969,47,0.00672,0.00670,0.5,88322,592,88026,2385006,27.00
LA,b,1960-1969,48,0.00788,0.00785,0.5,87730,689,87386,2296980,26.18
LA,b,1960-1969,49,0.00826,0.00823,0.5,87041,716,86683,2209595,25.39
LA,b,1960-1969,50,0.00958,0.00953,0.5,86325,823,85913,2122912,24.59
LA,b,1960-1969,51,0.00917,0.00913,0.5,85502,781,85112,2036998,23.82
LA,b,1960-1969,52,0.01102,0.01096,0.5,84721,928,84257,1951887,23.04
LA,b,1960-1969,53,0.01161,0.01154,0.5,83793,967,83309,1867630,22.29
LA,b,1960-1969,54,0.01263,0.01255,0.5,82826,1039,82306,1784320,21.54
LA,b,1960-1969,55,0.01329,0.01320,0.5,81786,1080,81247,1702014,20.81
LA,b,1960-1969,56,0.01475,0.01465,0.5,80707,1182,80116,1620768,20.08
LA,b,1960-1969,57,0.01537,0.01525,0.5,79525,1213,78918,1540652,19.37
LA,b,1960-1969,58,0.01756,0.01740,0.5,78312,1363,77630,1461734,18.67
LA,b,1960-1969,59,0.01829,0.01812,0.5,76949,1394,76252,1384103,17.99
LA,b,1960-1969,60,0.02045,0.02024,0.5,75554,1530,74790,1307852,17.31
LA,b,1960-1969,61,0.02035,0.02014,0.5,74025,1491,73279,1233062,16.66
LA,b,1960-1969,62,0.02427,0.02398,0.5,72534,1739,71664,1159783,15.99
LA,b,1960-1969,63,0.02530,0.02498,0.5,70795,1769,69910,1088118,15.37
LA,b,1960-1969,64,0.02804,0.02766,0.5,69026,1909,68072,1018208,14.75
LA,b,1960-1969,65,0.03271,0.03218,0.5,67117,2160,66037,950136,14.16
LA,b,1960-1969,66,0.03200,0.03149,0.5,64957,2046,63934,884099,13.61
LA,b,1960-1969,67,0.03553,0.03491,0.5,62911,2196,61813,820165,13.04
LA,b,1960-1969,68,0.03948,0.03872,0.5,60715,2351,59540,758352,12.49
LA,b,1960-1969,69,0.04007,0.03928,0.5,58365,2293,57218,698812,11.97
LA,b,1960-1969,70,0.04575,0.04473,0.5,56072,2508,54818,641594,11.44
LA,b,1960-1969,71,0.04394,0.04299,0.5,53564,2303,52413,586776,10.95
LA,b,1960-1969,72,0.05301,0.05164,0.5,51261,2647,49938,534363,10.42
LA,b,1960-1969,73,0.05402,0.05260,0.5,48614,2557,47336,484425,9.96
LA,b,1960-1969,74,0.06051,0.05873,0.5,46057,2705,44705,437089,9.49
LA,b,1960-1969,75,0.06463,0.06260,0.5,43353,2714,41996,392384,9.05
LA,b,1960-1969,76,0.06624,0.06412,0.5,40638,2606,39336,350389,8.62
LA,b,1960-1969,77,0.07001,0.06764,0.5,38033,2573,36747,311053,8.18
LA,b,1960-1969,78,0.07813,0.07519,0.5,35460,2666,34127,274307,7.74
LA,b,1960-1969,79,0.08163,0.07843,0.5,32794,2572,31508,240179,7.32
LA,b,1960-1969,80,0.10011,0.09534,0.5,30222,2881,28781,208672,6.90
LA,b,1960-1969,81,0.09663,0.09218,0.5,27340,2520,26080,179890,6.58
LA,b,1960-1969,82,0.11162,0.10572,0.5,24820,2624,23508,153810,6.20
LA,b,1960-1969,83,0.12085,0.11397,0.5,22196,2530,20931,130302,5.87
LA,b,1960-1969,84,0.13511,0.12656,0.5,19667,2489,18422,109370,5.56
LA,b,1960-1969,85,0.14383,0.13418,0.5,17178,2305,16025,90948,5.29
LA,b,1960-1969,86,0.15256,0.14174,0.5,14873,2108,13819,74923,5.04
LA,b,1960-1969,87,0.17051,0.15712,0.5,12765,2006,11762,61104,4.79
LA,b,1960-1969,88,0.17286,0.15911,0.5,10759,1712,9903,49342,4.59
LA,b,1960-1969,89,0.18461,0.16901,0.5,9047,1529,8283,39439,4.36
LA,b,1960-1969,90,0.19700,0.17933,0.5,7518,1348,6844,31157,4.14
LA,b,1960-1969,91,0.21002,0.19006,0.5,6170,1173,5584,24313,3.94
LA,b,1960-1969,92,0.22369,0.20119,0.5,4997,1005,4495,18729,3.75
LA,b,1960-1969,93,0.23801,0.21270,0.5,3992,849,3567,14234,3.57
LA,b,1960-1969,94,0.25297,0.22457,0.5,3143,706,2790,10667,3.39
LA,b,1960-1969,95,0.26857,0.23678,0.5,2437,577,2148,7877,3.23
LA,b,1960-1969,96,0.28479,0.24929,0.5,1860,464,1628,5729,3.08
LA,b,1960-1969,97,0.30161,0.26209,0.5,1396,366,1213,4101,2.94
LA,b,1960-1969,98,0.31901,0.27513,0.5,1030,283,889,2887,2.80
LA,b,1960-1969,99,0.33695,0.28837,0.5,747,215,639,1999,2.68
LA,b,1960-1969,100,0.35541,0.30178,0.5,531,160,451,1359,2.56
LA,b,1960-1969,101,0.37433,0.31531,0.5,371,117,313,908,2.45
LA,b,1960-1969,102,0.39367,0.32892,0.5,254,84,212,596,2.34
LA,b,1960-1969,103,0.41337,0.34256,0.5,171,58,141,383,2.25
LA,b,1960-1969,104,0.43337,0.35619,0.5,112,40,92,242,2.16
LA,b,1960-1969,105,0.45362,0.36976,0.5,72,27,59,150,2.08
LA,b,1960-1969,106,0.47404,0.38321,0.5,45,17,37,91,2.00
LA,b,1960-1969,107,0.49457,0.39652,0.5,28,11,22,54,1.93
LA,b,1960-1969,108,0.51514,0.40963,0.5,17,7,13,32,1.87
LA,b,1960-1969,109,0.53567,0.42251,0.5,10,4,8,18,1.83
LA,b,1960-1969,110+,0.55610,1.00000,1.8,6,6,10,10,1.80
LA,b,1970-1979,0,0.02034,0.01998,0.1,100000,1998,98211,7013337,70.13
LA,b,1970-1979,1,0.00138,0.00137,0.5,98002,135,97935,6915125,70.56
LA,b,1970-1979,2,0.00084,0.00084,0.5,97868,83,97826,6817190,69.66
LA,b,1970-1979,3,0.00069,0.00069,0.5,97785,67,97752,6719364,68.72
LA,b,1970-1979,4,0.00061,0.00061,0.5,97718,59,97688,6621612,67.76
LA,b,1970-1979,5,0.00049,0.00049,0.5,97659,48,97635,6523924,66.80
LA,b,1970-1979,6,0.00047,0.00047,0.5,97611,46,97588,6426289,65.84
LA,b,1970-1979,7,0.00040,0.00040,0.5,97564,39,97545,6328701,64.87
LA,b,1970-1979,8,0.00039,0.00039,0.5,97525,38,97506,6231157,63.89
LA,b,1970-1979,9,0.00039,0.00039,0.5,97488,38,97469,6133650,62.92
LA,b,1970-1979,10,0.00038,0.00038,0.5,97450,37,97431,6036182,61.94
LA,b,1970-1979,11,0.00039,0.00039,0.5,97412,38,97393,5938750,60.97
LA,b,1970-1979,12,0.00042,0.00042,0.5,97374,41,97354,5841357,59.99
LA,b,1970-1979,13,0.00048,0.00048,0.5,97334,47,97310,5744003,59.01
LA,b,1970-1979,14,0.00062,0.00062,0.5,97287,61,97257,5646693,58.04
LA,b,1970-1979,15,0.00083,0.00083,0.5,97226,80,97186,5549436,57.08
LA,b,1970-1979,16,0.00096,0.00096,0.5,97146,93,97100,5452250,56.12
LA,b,1970-1979,17,0.00122,0.00122,0.5,97053,119,96994,5355150,55.18
LA,b,1970-1979,18,0.00151,0.00151,0.5,96934,146,96861,5258156,54.24
LA,b,1970-1979,19,0.00159,0.00159,0.5,96788,154,96711,5161295,53.33
LA,b,1970-1979,20,0.00161,0.00161,0.5,96634,155,96557,5064583,52.41
LA,b,1970-1979,21,0.00163,0.00163,0.5,96479,157,96401,4968027,51.49
LA,b,1970-1979,22,0.00162,0.00162,0.5,96322,156,96244,4871626,50.58
LA,b,1970-1979,23,0.00163,0.00163,0.5,96166,157,96087,4775382,49.66
LA,b,1970-1979,24,0.00164,0.00164,0.5,96009,158,95930,4679294,48.74
LA,b,1970-1979,25,0.00171,0.00171,0.5,95851,164,95769,4583364,47.82
LA,b,1970-1979,26,0.00171,0.00171,0.5,95687,163,95606,4487595,46.90
LA,b,1970-1979,27,0.00175,0.00175,0.5,95524,167,95440,4391990,45.98
LA,b,1970-1979,28,0.00170,0.00170,0.5,95357,162,95276,4296549,45.06
LA,b,1970-1979,29,0.00171,0.00171,0.5,95195,163,95114,4201273,44.13
LA,b,1970-1979,30,0.00184,0.00183,0.5,95033,174,94945,4106159,43.21
LA,b,1970-1979,31,0.00187,0.00187,0.5,94858,177,94770,4011214,42.29
LA,b,1970-1979,32,0.00198,0.00198,0.5,94681,187,94587,3916444,41.36
LA,b,1970-1979,33,0.00209,0.00208,0.5,94493,197,94395,3821857,40.45
LA,b,1970-1979,34,0.00220,0.00220,0.5,94297,207,94193,3727462,39.53
LA,b,1970-1979,35,0.00240,0.00240,0.5,94089,225,93977,3633269,38.62
LA,b,1970-1979,36,0.00265,0.00264,0.5,93864,248,93740,3539292,37.71
LA,b,1970-1979,37,0.00266,0.00266,0.5,93616,249,93491,3445552,36.81
LA,b,1970-1979,38,0.00300,0.00300,0.5,93367,280,93227,3352061,35.90
LA,b,1970-1979,39,0.00328,0.00328,0.5,93087,305,92934,3258834,35.01
LA,b,1970-1979,40,0.00357,0.00356,0.5,92782,331,92616,3165900,34.12
LA,b,1970-1979,41,0.00378,0.00377,0.5,92451,349,92277,3073283,33.24
LA,b,1970-1979,42,0.00421,0.00421,0.5,92102,387,91909,2981007,32.37
LA,b,1970-1979,43,0.00451,0.00450,0.5,91715,413,91509,2889098,31.50
LA,b,1970-1979,44,0.00484,0.00483,0.5,91302,441,91082,2797589,30.64
LA,b,1970-1979,45,0.00543,0.00542,0.5,90861,492,90615,2706508,29.79
LA,b,1970-1979,46,0.00583,0.00581,0.5,90369,525,90106,2615893,28.95
LA,b,1970-1979,47,0.00642,0.00640,0.5,89844,575,89556,2525787,28.11
LA,b,1970-1979,48,0.00702,0.00700,0.5,89268,625,88956,2436231,27.29
LA,b,1970-1979,49,0.00782,0.00779,0.5,88643,690,88298,2347275,26.48
LA,b,1970-1979,50,0.00856,0.00852,0.5,87953,749,87579,2258977,25.68
LA,b,1970-1979,51,0.00879,0.00875,0.5,87204,763,86822,2171398,24.90
LA,b,1970-1979,52,0.00989,0.00985,0.5,86441,851,86015,2084576,24.12
LA,b,1970-1979,53,0.01062,0.01056,0.5,85590,904,85138,1998560,23.35
LA,b,1970-1979,54,0.01147,0.01141,0.5,84686,966,84203,1913423,22.59
LA,b,1970-1979,55,0.01243,0.01235,0.5,83720,1034,83202,1829220,21.85
LA,b,1970-1979,56,0.01305,0.01297,0.5,82685,1072,82149,1746017,21.12
LA,b,1970-1979,57,0.01459,0.01449,0.5,81613,1182,81022,1663868,20.39
LA,b,1970-1979,58,0.01562,0.01550,0.5,80431,1247,79807,1582846,19.68
LA,b,1970-1979,59,0.01678,0.01664,0.5,79184,1318,78525,1503039,18.98
LA,b,1970-1979,60,0.01872,0.01854,0.5,77866,1444,77144,1424514,18.29
LA,b,1970-1979,61,0.01947,0.01928,0.5,76422,1474,75686,1347369,17.63
LA,b,1970-1979,62,0.02212,0.02188,0.5,74949,1640,74129,1271684,16.97
LA,b,1970-1979,63,0.02298,0.02272,0.5,73309,1666,72476,1197555,16.34
LA,b,1970-1979,64,0.02487,0.02457,0.5,71643,1760,70763,1125079,15.70
LA,b,1970-1979,65,0.02736,0.02699,0.5,69883,1886,68940,1054315,15.09
LA,b,1970-1979,66,0.02889,0.02848,0.5,67997,1936,67029,985375,14.49
LA,b,1970-1979,67,0.03065,0.03019,0.5,66061,1994,65063,918347,13.90
LA,b,1970-1979,68,0.03281,0.03228,0.5,64066,2068,63032,853283,13.32
LA,b,1970-1979,69,0.03554,0.03492,0.5,61998,2165,60915,790252,12.75
LA,b,1970-1979,70,0.04018,0.03939,0.5,59833,2357,58655,729336,12.19
LA,b,1970-1979,71,0.04022,0.03943,0.5,57476,2266,56343,670681,11.67
LA,b,1970-1979,72,0.04530,0.04429,0.5,55210,2446,53987,614338,11.13
LA,b,1970-1979,73,0.04850,0.04735,0.5,52765,2498,51515,560351,10.62
LA,b,1970-1979,74,0.05215,0.05083,0.5,50266,2555,48989,508836,10.12
LA,b,1970-1979,75,0.05569,0.05418,0.5,47711,2585,46419,459847,9.64
LA,b,1970-1979,76,0.05946,0.05774,0.5,45126,2606,43823,413428,9.16
LA,b,1970-1979,77,0.06522,0.06316,0.5,42521,2685,41178,369605,8.69
LA,b,1970-1979,78,0.06947,0.06714,0.5,39835,2675,38498,328427,8.24
LA,b,1970-1979,79,0.07460,0.07192,0.5,37161,2672,35824,289929,7.80
LA,b,1970-1979,80,0.08679,0.08318,0.5,34488,2869,33054,254105,7.37
LA,b,1970-1979,81,0.09075,0.08681,0.5,31619,2745,30247,221051,6.99
LA,b,1970-1979,82,0.10100,0.09615,0.5,28875,2776,27486,190804,6.61
LA,b,1970-1979,83,0.10913,0.10348,0.5,26098,2701,24748,163318,6.26
LA,b,1970-1979,84,0.12080,0.11392,0.5,23398,2665,22065,138570,5.92
LA,b,1970-1979,85,0.12802,0.12032,0.5,20732,2494,19485,116505,5.62
LA,b,1970-1979,86,0.14390,0.13424,0.5,18238,2448,17014,97020,5.32
LA,b,1970-1979,87,0.14927,0.13890,0.5,15789,2193,14693,80006,5.07
LA,b,1970-1979,88,0.15875,0.14707,0.5,13596,2000,12596,65314,4.80
LA,b,1970-1979,89,0.17710,0.16270,0.5,11597,1887,10653,52717,4.55
LA,b,1970-1979,90,0.18366,0.16821,0.5,9710,1633,8893,42064,4.33
LA,b,1970-1979,91,0.19678,0.17916,0.5,8077,1447,7353,33171,4.11
LA,b,1970-1979,92,0.21065,0.19058,0.5,6630,1263,5998,25818,3.89
LA,b,1970-1979,93,0.22527,0.20247,0.5,5366,1086,4823,19820,3.69
LA,b,1970-1979,94,0.24065,0.21480,0.5,4280,919,3820,14997,3.50
LA,b,1970-1979,95,0.25677,0.22756,0.5,3360,765,2978,11177,3.33
LA,b,1970-1979,96,0.27365,0.24071,0.5,2596,625,2283,8199,3.16
LA,b,1970-1979,97,0.29125,0.25423,0.5,1971,501,1720,5916,3.00
LA,b,1970-1979,98,0.30955,0.26806,0.5,1470,394,1273,4195,2.85
LA,b,1970-1979,99,0.32852,0.28217,0.5,1076,304,924,2922,2.72
LA,b,1970-1979,100,0.34813,0.29651,0.5,772,229,658,1998,2.59
LA,b,1970-1979,101,0.36831,0.31103,0.5,543,169,459,1341,2.47
LA,b,1970-1979,102,0.38901,0.32567,0.5,374,122,313,882,2.36
LA,b,1970-1979,103,0.41017,0.34036,0.5,252,86,209,568,2.25
LA,b,1970-1979,104,0.43171,0.35507,0.5,166,59,137,359,2.16
LA,b,1970-1979,105,0.45355,0.36971,0.5,107,40,88,222,2.07
LA,b,1970-1979,106,0.47562,0.38424,0.5,68,26,55,134,1.99
LA,b,1970-1979,107,0.49782,0.39860,0.5,42,17,33,80,1.91
LA,b,1970-1979,108,0.52006,0.41274,0.5,25,10,20,46,1.85
LA,b,1970-1979,109,0.54225,0.42659,0.5,15,6,12,27,1.80
LA,b,1970-1979,110+,0.56431,1.00000,1.77,8,8,15,15,1.77
LA,b,1980-1989,0,0.01288,0.01273,0.08,100000,1273,98834,7261894,72.62
LA,b,1980-1989,1,0.00103,0.00103,0.5,98727,101,98676,7163060,72.55
LA,b,1980-1989,2,0.00062,0.00062,0.5,98625,62,98595,7064384,71.63
LA,b,1980-1989,3,0.00057,0.00057,0.5,98564,56,98536,6965789,70.67
LA,b,1980-1989,4,0.00043,0.00043,0.5,98508,43,98486,6867253,69.71
LA,b,1980-1989,5,0.00032,0.00032,0.5,98465,32,98449,6768767,68.74
LA,b,1980-1989,6,0.00032,0.00032,0.5,98433,32,98417,6670318,67.77
LA,b,1980-1989,7,0.00028,0.00028,0.5,98401,27,98388,6571901,66.79
LA,b,1980-1989,8,0.00030,0.00030,0.5,98374,30,98359,6473513,65.81
LA,b,1980-1989,9,0.00026,0.00026,0.5,98344,26,98332,6375154,64.82
LA,b,1980-1989,10,0.00028,0.00028,0.5,98319,28,98305,6276823,63.84
LA,b,1980-1989,11,0.00033,0.00033,0.5,98291,33,98275,6178518,62.86
LA,b,1980-1989,12,0.00034,0.00034,0.5,98258,33,98242,6080243,61.88
