PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NM,b,1960-1964,0,0.03132,0.03049,0.13,100000,3049,97362,6984384,69.84
NM,b,1960-1964,1,0.00260,0.00260,0.5,96951,252,96825,6887022,71.04
NM,b,1960-1964,2,0.00142,0.00142,0.5,96699,137,96630,6790197,70.22
NM,b,1960-1964,3,0.00121,0.00121,0.5,96561,117,96503,6693567,69.32
NM,b,1960-1964,4,0.00080,0.00080,0.5,96444,77,96406,6597065,68.40
NM,b,1960-1964,5,0.00067,0.00067,0.5,96367,65,96335,6500659,67.46
NM,b,1960-1964,6,0.00043,0.00043,0.5,96302,41,96282,6404324,66.50
NM,b,1960-1964,7,0.00052,0.00052,0.5,96261,50,96236,6308042,65.53
NM,b,1960-1964,8,0.00043,0.00043,0.5,96211,41,96190,6211807,64.56
NM,b,1960-1964,9,0.00037,0.00037,0.5,96169,36,96152,6115616,63.59
NM,b,1960-1964,10,0.00043,0.00043,0.5,96134,41,96113,6019465,62.62
NM,b,1960-1964,11,0.00039,0.00039,0.5,96093,37,96074,5923351,61.64
NM,b,1960-1964,12,0.00051,0.00051,0.5,96056,49,96031,5827277,60.67
NM,b,1960-1964,13,0.00064,0.00064,0.5,96006,62,95975,5731246,59.70
NM,b,1960-1964,14,0.00063,0.00063,0.5,95944,60,95914,5635271,58.73
NM,b,1960-1964,15,0.00087,0.00087,0.5,95884,83,95842,5539357,57.77
NM,b,1960-1964,16,0.00109,0.00109,0.5,95801,105,95749,5443514,56.82
NM,b,1960-1964,17,0.00113,0.00113,0.5,95696,108,95643,5347766,55.88
NM,b,1960-1964,18,0.00194,0.00194,0.5,95589,185,95496,5252123,54.95
NM,b,1960-1964,19,0.00179,0.00178,0.5,95403,170,95318,5156627,54.05
NM,b,1960-1964,20,0.00206,0.00206,0.5,95233,196,95135,5061309,53.15
NM,b,1960-1964,21,0.00207,0.00207,0.5,95037,197,94938,4966174,52.26
NM,b,1960-1964,22,0.00157,0.00157,0.5,94840,149,94765,4871236,51.36
NM,b,1960-1964,23,0.00185,0.00185,0.5,94691,175,94603,4776471,50.44
NM,b,1960-1964,24,0.00177,0.00177,0.5,94516,167,94432,4681868,49.54
NM,b,1960-1964,25,0.00192,0.00192,0.5,94348,181,94258,4587436,48.62
NM,b,1960-1964,26,0.00174,0.00174,0.5,94167,164,94085,4493178,47.71
NM,b,1960-1964,27,0.00202,0.00202,0.5,94003,190,93908,4399093,46.80
NM,b,1960-1964,28,0.00172,0.00172,0.5,93814,161,93733,4305184,45.89
NM,b,1960-1964,29,0.00164,0.00164,0.5,93652,153,93576,4211451,44.97
NM,b,1960-1964,30,0.00182,0.00182,0.5,93499,170,93414,4117875,44.04
NM,b,1960-1964,31,0.00190,0.00190,0.5,93329,177,93240,4024462,43.12
NM,b,1960-1964,32,0.00162,0.00162,0.5,93151,151,93076,3931221,42.20
NM,b,1960-1964,33,0.00209,0.00209,0.5,93000,194,92903,3838146,41.27
NM,b,1960-1964,34,0.00216,0.00216,0.5,92806,201,92706,3745242,40.36
NM,b,1960-1964,35,0.00270,0.00269,0.5,92605,249,92481,3652537,39.44
NM,b,1960-1964,36,0.00267,0.00266,0.5,92356,246,92233,3560056,38.55
NM,b,1960-1964,37,0.00239,0.00239,0.5,92110,220,92000,3467823,37.65
NM,b,1960-1964,38,0.00298,0.00297,0.5,91890,273,91754,3375823,36.74
NM,b,1960-1964,39,0.00342,0.00341,0.5,91617,313,91461,3284069,35.85
NM,b,1960-1964,40,0.00363,0.00362,0.5,91304,331,91139,3192608,34.97
NM,b,1960-1964,41,0.00361,0.00360,0.5,90973,328,90810,3101469,34.09
NM,b,1960-1964,42,0.00364,0.00363,0.5,90646,329,90481,3010660,33.21
NM,b,1960-1964,43,0.00340,0.00340,0.5,90317,307,90163,2920178,32.33
NM,b,1960-1964,44,0.00468,0.00467,0.5,90010,421,89800,2830015,31.44
NM,b,1960-1964,45,0.00429,0.00428,0.5,89589,383,89398,2740215,30.59
NM,b,1960-1964,46,0.00523,0.00522,0.5,89206,466,88973,2650818,29.72
NM,b,1960-1964,47,0.00610,0.00608,0.5,88740,539,88471,2561844,28.87
NM,b,1960-1964,48,0.00573,0.00572,0.5,88201,504,87949,2473373,28.04
NM,b,1960-1964,49,0.00631,0.00629,0.5,87697,552,87421,2385424,27.20
NM,b,1960-1964,50,0.00688,0.00686,0.5,87145,597,86847,2298003,26.37
NM,b,1960-1964,51,0.00763,0.00760,0.5,86548,658,86219,2211156,25.55
NM,b,1960-1964,52,0.00839,0.00836,0.5,85890,718,85531,2124937,24.74
NM,b,1960-1964,53,0.00845,0.00842,0.5,85173,717,84814,2039406,23.94
NM,b,1960-1964,54,0.00975,0.00971,0.5,84455,820,84046,1954592,23.14
NM,b,1960-1964,55,0.01036,0.01031,0.5,83636,862,83205,1870546,22.37
NM,b,1960-1964,56,0.01098,0.01092,0.5,82774,904,82322,1787342,21.59
NM,b,1960-1964,57,0.01272,0.01264,0.5,81870,1035,81352,1705020,20.83
NM,b,1960-1964,58,0.01249,0.01241,0.5,80835,1003,80333,1623667,20.09
NM,b,1960-1964,59,0.01472,0.01461,0.5,79832,1166,79249,1543334,19.33
NM,b,1960-1964,60,0.01560,0.01548,0.5,78665,1217,78057,1464086,18.61
NM,b,1960-1964,61,0.01677,0.01664,0.5,77448,1288,76804,1386029,17.90
NM,b,1960-1964,62,0.01916,0.01898,0.5,76160,1445,75437,1309225,17.19
NM,b,1960-1964,63,0.02050,0.02029,0.5,74714,1516,73956,1233789,16.51
NM,b,1960-1964,64,0.02202,0.02178,0.5,73198,1594,72401,1159832,15.85
NM,b,1960-1964,65,0.02484,0.02454,0.5,71604,1757,70725,1087431,15.19
NM,b,1960-1964,66,0.02605,0.02572,0.5,69847,1796,68949,1016706,14.56
NM,b,1960-1964,67,0.02832,0.02792,0.5,68050,1900,67100,947757,13.93
NM,b,1960-1964,68,0.02947,0.02904,0.5,66150,1921,65190,880657,13.31
NM,b,1960-1964,69,0.03205,0.03155,0.5,64229,2026,63216,815467,12.70
