PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
PA,f,1959,0,0.02237,0.02194,0.12,100000,2194,98060,7249049,72.49
PA,f,1959,1-4,0.00080,0.00320,1.6,97806,313,390474,7150989,73.11
PA,f,1959,5-9,0.00040,0.00198,2.1,97493,193,486908,6760515,69.34
PA,f,1959,10-14,0.00027,0.00137,2.43,97301,133,486161,6273607,64.48
PA,f,1959,15-19,0.00046,0.00228,2.65,97168,221,485319,5787446,59.56
PA,f,1959,20-24,0.00062,0.00310,2.45,96946,301,483965,5302127,54.69
PA,f,1959,25-29,0.00081,0.00406,2.51,96646,392,482255,4818163,49.85
PA,f,1959,30-34,0.00119,0.00591,2.66,96254,569,479937,4335908,45.05
PA,f,1959,35-39,0.00169,0.00840,2.7,95685,803,476574,3855972,40.30
PA,f,1959,40-44,0.00260,0.01291,2.63,94882,1225,471512,3379397,35.62
PA,f,1959,45-49,0.00421,0.02083,2.75,93657,1951,463891,2907885,31.05
PA,f,1959,50-54,0.00696,0.03425,2.67,91706,3141,451208,2443995,26.65
PA,f,1959,55-59,0.01089,0.05310,2.69,88565,4703,431964,1992787,22.50
PA,f,1959,60-64,0.01688,0.08120,2.65,83863,6810,403337,1560823,18.61
PA,f,1959,65-69,0.02698,0.12686,2.65,77053,9775,362275,1157486,15.02
PA,f,1959,70-74,0.04233,0.19220,2.61,67278,12931,305480,795211,11.82
PA,f,1959,75-79,0.06849,0.29345,2.56,54347,15948,232844,489731,9.01
PA,f,1959,80-84,0.10987,0.42953,2.46,38399,16494,150117,256888,6.69
PA,f,1959,85-89,0.17203,0.58815,2.31,21905,12884,74893,106770,4.87
PA,f,1959,90-94,0.26084,0.74788,2.15,9022,6747,25867,31878,3.53
PA,f,1959,95-99,0.36399,0.85522,1.9,2275,1945,5344,6010,2.64
PA,f,1959,100-104,0.48673,0.92674,1.66,329,305,627,666,2.02
PA,f,1959,105-109,0.61180,0.96353,1.45,24,23,38,39,1.63
PA,f,1959,110+,0.70910,1.00000,1.41,1,1,1,1,1.41
PA,f,1960,0,0.02207,0.02165,0.11,100000,2165,98083,7264674,72.65
PA,f,1960,1-4,0.00069,0.00277,1.65,97835,271,390701,7166591,73.25
PA,f,1960,5-9,0.00038,0.00188,2.32,97564,184,487327,6775890,69.45
PA,f,1960,10-14,0.00028,0.00138,2.63,97380,134,486582,6288563,64.58
PA,f,1960,15-19,0.00044,0.00219,2.49,97246,213,485692,5801981,59.66
PA,f,1960,20-24,0.00062,0.00308,2.74,97032,298,484487,5316289,54.79
PA,f,1960,25-29,0.00077,0.00382,2.63,96734,370,482793,4831802,49.95
PA,f,1960,30-34,0.00108,0.00537,2.63,96364,517,480596,4349008,45.13
PA,f,1960,35-39,0.00176,0.00876,2.7,95847,840,477301,3868413,40.36
PA,f,1960,40-44,0.00275,0.01364,2.66,95007,1296,472006,3391112,35.69
PA,f,1960,45-49,0.00433,0.02144,2.61,93711,2009,463742,2919106,31.15
PA,f,1960,50-54,0.00662,0.03258,2.63,91701,2987,451423,2455364,26.78
PA,f,1960,55-59,0.01033,0.05044,2.71,88714,4474,433344,2003940,22.59
PA,f,1960,60-64,0.01735,0.08336,2.65,84239,7022,404721,1570596,18.64
PA,f,1960,65-69,0.02687,0.12636,2.64,77217,9757,363065,1165876,15.10
PA,f,1960,70-74,0.04183,0.19015,2.61,67460,12828,306698,802810,11.90
PA,f,1960,75-79,0.06791,0.29149,2.57,54633,15925,234496,496112,9.08
PA,f,1960,80-84,0.10918,0.42722,2.46,38708,16537,151461,261616,6.76
PA,f,1960,85-89,0.16875,0.58201,2.34,22171,12904,76467,110155,4.97
PA,f,1960,90-94,0.25156,0.73193,2.14,9267,6783,26964,33687,3.64
PA,f,1960,95-99,0.35457,0.84719,1.92,2484,2105,5936,6724,2.71
PA,f,1960,100-104,0.47391,0.92110,1.68,380,350,738,788,2.08
PA,f,1960,105-109,0.59691,0.96024,1.47,30,29,48,50,1.67
PA,f,1960,110+,0.69359,1.00000,1.44,1,1,2,2,1.44
PA,f,1961,0,0.02118,0.02079,0.11,100000,2079,98154,7293584,72.94
PA,f,1961,1-4,0.00074,0.00294,1.67,97921,288,391014,7195430,73.48
PA,f,1961,5-9,0.00033,0.00166,2.36,97633,163,487736,6804416,69.69
PA,f,1961,10-14,0.00026,0.00128,2.5,97470,124,487042,6316680,64.81
PA,f,1961,15-19,0.00043,0.00214,2.41,97346,209,486190,5829638,59.89
PA,f,1961,20-24,0.00059,0.00295,2.73,97137,286,485038,5343449,55.01
PA,f,1961,25-29,0.00074,0.00371,2.69,96851,359,483428,4858410,50.16
PA,f,1961,30-34,0.00117,0.00583,2.64,96492,563,481133,4374982,45.34
PA,f,1961,35-39,0.00164,0.00818,2.69,95929,785,477837,3893849,40.59
PA,f,1961,40-44,0.00262,0.01303,2.68,95145,1239,472842,3416012,35.90
PA,f,1961,45-49,0.00420,0.02081,2.7,93905,1954,465037,2943170,31.34
PA,f,1961,50-54,0.00646,0.03182,2.66,91951,2926,452919,2478133,26.95
PA,f,1961,55-59,0.01024,0.04998,2.63,89025,4449,434603,2025214,22.75
PA,f,1961,60-64,0.01643,0.07908,2.62,84576,6688,406979,1590610,18.81
PA,f,1961,65-69,0.02639,0.12425,2.65,77888,9678,366688,1183631,15.20
PA,f,1961,70-74,0.04199,0.19063,2.59,68210,13003,309693,816943,11.98
PA,f,1961,75-79,0.06663,0.28685,2.58,55207,15836,237657,507250,9.19
PA,f,1961,80-84,0.10765,0.42320,2.47,39371,16662,154771,269593,6.85
PA,f,1961,85-89,0.16590,0.57413,2.32,22709,13038,78589,114822,5.06
PA,f,1961,90-94,0.24148,0.71359,2.13,9671,6901,28579,36233,3.75
PA,f,1961,95-99,0.34654,0.84009,1.93,2770,2327,6715,7654,2.76
PA,f,1961,100-104,0.46353,0.91627,1.7,443,406,876,939,2.12
PA,f,1961,105-109,0.58521,0.95747,1.49,37,36,61,63,1.70
PA,f,1961,110+,0.68157,1.00000,1.47,2,2,2,2,1.47
PA,f,1962,0,0.02005,0.01969,0.11,100000,1969,98245,7292488,72.92
PA,f,1962,1-4,0.00077,0.00308,1.56,98031,302,391384,7194242,73.39
PA,f,1962,5-9,0.00036,0.00179,2.35,97728,175,488180,6802858,69.61
PA,f,1962,10-14,0.00025,0.00125,2.59,97554,122,487476,6314678,64.73
PA,f,1962,15-19,0.00040,0.00198,2.6,97432,193,486698,5827202,59.81
PA,f,1962,20-24,0.00054,0.00268,2.71,97239,261,485601,5340504,54.92
PA,f,1962,25-29,0.00094,0.00469,2.54,96979,454,483776,4854903,50.06
PA,f,1962,30-34,0.00108,0.00539,2.64,96525,520,481395,4371126,45.29
PA,f,1962,35-39,0.00172,0.00858,2.69,96004,824,478115,3889731,40.52
PA,f,1962,40-44,0.00266,0.01320,2.66,95180,1256,472966,3411617,35.84
PA,f,1962,45-49,0.00421,0.02086,2.71,93924,1959,465136,2938651,31.29
PA,f,1962,50-54,0.00665,0.03274,2.64,91965,3011,452714,2473515,26.90
PA,f,1962,55-59,0.01005,0.04908,2.65,88954,4366,434496,2020801,22.72
PA,f,1962,60-64,0.01661,0.07991,2.64,84588,6759,407004,1586305,18.75
PA,f,1962,65-69,0.02618,0.12330,2.64,77828,9596,366522,1179301,15.15
PA,f,1962,70-74,0.04101,0.18675,2.61,68232,12742,310702,812778,11.91
PA,f,1962,75-79,0.06765,0.29008,2.55,55490,16097,237943,502076,9.05
PA,f,1962,80-84,0.10865,0.42622,2.47,39393,16790,154533,264133,6.71
PA,f,1962,85-89,0.17462,0.59509,2.32,22603,13451,77027,109600,4.85
PA,f,1962,90-94,0.25684,0.74021,2.14,9152,6775,26376,32574,3.56
PA,f,1962,95-99,0.36939,0.85979,1.89,2378,2044,5534,6198,2.61
PA,f,1962,100-104,0.49525,0.93034,1.64,333,310,626,663,1.99
PA,f,1962,105-109,0.62252,0.96576,1.43,23,22,36,37,1.60
PA,f,1962,110+,0.72070,1.00000,1.39,1,1,1,1,1.39
PA,f,1963,0,0.02032,0.01996,0.11,100000,1996,98224,7292493,72.92
PA,f,1963,1-4,0.00078,0.00309,1.63,98004,303,391297,7194269,73.41
PA,f,1963,5-9,0.00034,0.00169,2.2,97701,165,488043,6802972,69.63
PA,f,1963,10-14,0.00032,0.00159,2.55,97536,155,487302,6314929,64.74
PA,f,1963,15-19,0.00044,0.00221,2.73,97382,215,486421,5827627,59.84
PA,f,1963,20-24,0.00061,0.00304,2.48,97167,296,485088,5341206,54.97
PA,f,1963,25-29,0.00077,0.00386,2.61,96871,374,483462,4856118,50.13
PA,f,1963,30-34,0.00114,0.00569,2.61,96497,549,481174,4372656,45.31
PA,f,1963,35-39,0.00165,0.00819,2.7,95949,786,477938,3891482,40.56
PA,f,1963,40-44,0.00266,0.01324,2.67,95162,1260,472876,3413545,35.87
PA,f,1963,45-49,0.00429,0.02121,2.62,93903,1992,464775,2940669,31.32
PA,f,1963,50-54,0.00656,0.03230,2.64,91911,2969,452538,2475894,26.94
PA,f,1963,55-59,0.01044,0.05095,2.66,88942,4532,434119,2023356,22.75
PA,f,1963,60-64,0.01569,0.07566,2.63,84410,6386,406939,1589237,18.83
PA,f,1963,65-69,0.02606,0.12277,2.65,78024,9579,367623,1182298,15.15
PA,f,1963,70-74,0.04186,0.19022,2.6,68445,13020,310995,814675,11.90
PA,f,1963,75-79,0.06534,0.28081,2.5,55425,15564,238194,503681,9.09
PA,f,1963,80-84,0.10985,0.43018,2.48,39861,17147,156092,265486,6.66
PA,f,1963,85-89,0.17585,0.59987,2.35,22714,13625,77482,109394,4.82
PA,f,1963,90-94,0.26075,0.74331,2.11,9089,6756,25909,31912,3.51
PA,f,1963,95-99,0.37461,0.86391,1.88,2333,2015,5380,6004,2.57
PA,f,1963,100-104,0.50202,0.93302,1.63,317,296,590,624,1.96
PA,f,1963,105-109,0.63004,0.96722,1.42,21,21,33,34,1.58
PA,f,1963,110+,0.72821,1.00000,1.37,1,1,1,1,1.37
PA,f,1964,0,0.02024,0.01988,0.11,100000,1988,98230,7320264,73.20
PA,f,1964,1-4,0.00071,0.00285,1.52,98012,280,391354,7222034,73.69
PA,f,1964,5-9,0.00034,0.00168,2.39,97732,164,488232,6830680,69.89
PA,f,1964,10-14,0.00026,0.00128,2.6,97568,125,487541,6342448,65.01
PA,f,1964,15-19,0.00043,0.00214,2.6,97443,208,486717,5854907,60.09
PA,f,1964,20-24,0.00058,0.00292,2.5,97235,284,485464,5368190,55.21
PA,f,1964,25-29,0.00075,0.00374,2.55,96951,363,483866,4882726,50.36
PA,f,1964,30-34,0.00116,0.00576,2.62,96588,557,481617,4398860,45.54
PA,f,1964,35-39,0.00160,0.00795,2.59,96032,763,478315,3917243,40.79
PA,f,1964,40-44,0.00254,0.01263,2.68,95268,1203,473547,3438929,36.10
PA,f,1964,45-49,0.00434,0.02151,2.7,94065,2023,465675,2965381,31.52
PA,f,1964,50-54,0.00657,0.03236,2.63,92042,2978,453153,2499706,27.16
PA,f,1964,55-59,0.00996,0.04868,2.66,89063,4335,435191,2046553,22.98
PA,f,1964,60-64,0.01585,0.07641,2.67,84728,6474,408573,1611363,19.02
PA,f,1964,65-69,0.02505,0.11820,2.62,78254,9249,369283,1202790,15.37
PA,f,1964,70-74,0.04153,0.18900,2.62,69005,13042,314005,833507,12.08
PA,f,1964,75-79,0.06379,0.27541,2.52,55963,15413,241605,519502,9.28
PA,f,1964,80-84,0.10676,0.42108,2.49,40550,17075,159942,277897,6.85
PA,f,1964,85-89,0.16777,0.58021,2.34,23476,13621,81186,117955,5.02
PA,f,1964,90-94,0.24320,0.72405,2.21,9855,7135,29339,36768,3.73
PA,f,1964,95-99,0.35080,0.84407,1.93,2719,2295,6543,7429,2.73
PA,f,1964,100-104,0.47051,0.91965,1.69,424,390,829,886,2.09
PA,f,1964,105-109,0.59431,0.95969,1.47,34,33,55,57,1.67
PA,f,1964,110+,0.69177,1.00000,1.45,1,1,2,2,1.45
PA,f,1965,0,0.01976,0.01942,0.11,100000,1942,98269,7323539,73.24
PA,f,1965,1-4,0.00075,0.00299,1.74,98058,294,391568,7225271,73.68
PA,f,1965,5-9,0.00037,0.00186,2.24,97765,182,488321,6833702,69.90
PA,f,1965,10-14,0.00029,0.00145,2.5,97582,141,487560,6345381,65.03
PA,f,1965,15-19,0.00046,0.00229,2.54,97441,223,486659,5857822,60.12
PA,f,1965,20-24,0.00059,0.00293,2.51,97218,285,485382,5371163,55.25
PA,f,1965,25-29,0.00078,0.00390,2.72,96933,378,483804,4885781,50.40
PA,f,1965,30-34,0.00098,0.00490,2.73,96556,473,481706,4401977,45.59
PA,f,1965,35-39,0.00168,0.00834,2.66,96082,802,478537,3920271,40.80
PA,f,1965,40-44,0.00255,0.01269,2.67,95281,1209,473590,3441734,36.12
PA,f,1965,45-49,0.00431,0.02133,2.69,94071,2006,465732,2968144,31.55
