Div7: West South Central, Lifetables (period 5x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02666	0.02605	0.12	100000	2605	97714	7014255	70.14
1960-1969	1-4	0.00118	0.00469	1.56	97395	457	388465	6916542	71.02
1960-1969	5-9	0.00049	0.00242	2.3	96938	235	484055	6528077	67.34
1960-1969	10-14	0.00047	0.00235	2.73	96703	228	482998	6044022	62.50
1960-1969	15-19	0.00112	0.00561	2.79	96475	541	481182	5561024	57.64
1960-1969	20-24	0.00147	0.00734	2.52	95935	705	477925	5079843	52.95
1960-1969	25-29	0.00150	0.00748	2.53	95230	713	474387	4601917	48.32
1960-1969	30-34	0.00183	0.00911	2.62	94517	861	470536	4127530	43.67
1960-1969	35-39	0.00258	0.01281	2.66	93657	1200	465474	3656994	39.05
1960-1969	40-44	0.00387	0.01918	2.66	92457	1773	458134	3191520	34.52
1960-1969	45-49	0.00586	0.02890	2.66	90684	2621	447294	2733387	30.14
1960-1969	50-54	0.00901	0.04414	2.66	88063	3887	431202	2286093	25.96
1960-1969	55-59	0.01330	0.06447	2.62	84176	5427	407977	1854890	22.04
1960-1969	60-64	0.01982	0.09463	2.62	78749	7452	376034	1446913	18.37
1960-1969	65-69	0.02976	0.13883	2.58	71297	9898	332562	1070879	15.02
1960-1969	70-74	0.04377	0.19785	2.58	61399	12148	277560	738317	12.02
1960-1969	75-79	0.06488	0.27950	2.52	49251	13766	212166	460757	9.36
1960-1969	80-84	0.10381	0.41159	2.49	35485	14605	140696	248591	7.01
1960-1969	85-89	0.16210	0.56655	2.34	20880	11829	72977	107895	5.17
1960-1969	90-94	0.23527	0.70513	2.16	9050	6382	27125	34918	3.86
1960-1969	95-99	0.32588	0.82036	1.97	2669	2189	6718	7793	2.92
1960-1969	100-104	0.43666	0.90247	1.75	479	433	991	1074	2.24
1960-1969	105-109	0.55518	0.94954	1.54	47	44	80	84	1.79
1960-1969	110+	0.65105	1.00000	1.54	2	2	4	4	1.54
1970-1979	0	0.01846	0.01815	0.1	100000	1815	98365	7180010	71.80
1970-1979	1-4	0.00084	0.00337	1.62	98185	331	391950	7081645	72.13
1970-1979	5-9	0.00041	0.00203	2.36	97853	199	488742	6689695	68.36
1970-1979	10-14	0.00043	0.00213	2.76	97654	208	487805	6200953	63.50
