Reg4: , Lifetables (period 5x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02067	0.02030	0.11	100000	2030	98196	7463830	74.64
1960-1964	1-4	0.00091	0.00364	1.6	97970	356	391027	7365634	75.18
1960-1964	5-9	0.00037	0.00186	2.2	97614	181	487564	6974608	71.45
1960-1964	10-14	0.00030	0.00151	2.58	97433	147	486809	6487044	66.58
1960-1964	15-19	0.00057	0.00283	2.75	97286	276	485809	6000235	61.68
1960-1964	20-24	0.00075	0.00374	2.53	97010	363	484154	5514425	56.84
1960-1964	25-29	0.00084	0.00420	2.55	96647	406	482239	5030272	52.05
1960-1964	30-34	0.00117	0.00584	2.62	96241	562	479869	4548032	47.26
1960-1964	35-39	0.00172	0.00855	2.67	95679	818	476492	4068163	42.52
1960-1964	40-44	0.00259	0.01288	2.7	94861	1222	471490	3591672	37.86
1960-1964	45-49	0.00405	0.02007	2.66	93639	1880	463804	3120182	33.32
1960-1964	50-54	0.00601	0.02963	2.65	91760	2719	452401	2656378	28.95
1960-1964	55-59	0.00841	0.04125	2.63	89041	3673	436494	2203977	24.75
1960-1964	60-64	0.01254	0.06093	2.66	85368	5201	414692	1767483	20.70
1960-1964	65-69	0.01946	0.09302	2.63	80166	7457	383142	1352791	16.87
1960-1964	70-74	0.03187	0.14822	2.65	72709	10777	338194	969649	13.34
1960-1964	75-79	0.05322	0.23587	2.59	61932	14608	274503	631454	10.20
1960-1964	80-84	0.08895	0.36501	2.54	47324	17274	194192	356951	7.54
1960-1964	85-89	0.14825	0.53442	2.39	30050	16059	108324	162759	5.42
1960-1964	90-94	0.22939	0.69773	2.19	13991	9762	42555	54435	3.89
1960-1964	95-99	0.33890	0.83489	1.96	4229	3531	10418	11881	2.81
1960-1964	100-104	0.46874	0.91985	1.7	698	642	1370	1462	2.09
1960-1964	105-109	0.60373	0.96230	1.46	56	54	89	92	1.65
1960-1964	110+	0.70908	1.00000	1.41	2	2	3	3	1.41
1965-1969	0	0.01777	0.01749	0.1	100000	1749	98431	7514157	75.14
1965-1969	1-4	0.00082	0.00326	1.61	98251	320	392239	7415726	75.48
1965-1969	5-9	0.00035	0.00175	2.26	97931	171	489185	7023487	71.72
1965-1969	10-14	0.00030	0.00148	2.67	97760	145	488461	6534302	66.84
1965-1969	15-19	0.00061	0.00306	2.76	97615	299	487404	6045842	61.94
1965-1969	20-24	0.00075	0.00373	2.52	97316	363	485679	5558438	57.12
1965-1969	25-29	0.00088	0.00437	2.57	96953	424	483735	5072759	52.32
1965-1969	30-34	0.00117	0.00582	2.67	96529	562	481333	4589023	47.54
1965-1969	35-39	0.00170	0.00848	2.68	95967	814	477943	4107691	42.80
1965-1969	40-44	0.00263	0.01305	2.66	95153	1241	472866	3629748	38.15
1965-1969	45-49	0.00399	0.01976	2.65	93912	1856	465199	3156882	33.62
1965-1969	50-54	0.00595	0.02933	2.65	92056	2700	453925	2691683	29.24
1965-1969	55-59	0.00856	0.04192	2.63	89356	3746	437881	2237758	25.04
1965-1969	60-64	0.01231	0.05978	2.62	85609	5117	415856	1799876	21.02
1965-1969	65-69	0.01891	0.09052	2.64	80492	7286	385242	1384020	17.19
1965-1969	70-74	0.03066	0.14298	2.64	73206	10467	341330	998778	13.64
1965-1969	75-79	0.05131	0.22833	2.59	62739	14325	279193	657447	10.48
1965-1969	80-84	0.08373	0.34759	2.56	48414	16828	200981	378254	7.81
1965-1969	85-89	0.14115	0.51701	2.41	31586	16330	115692	177273	5.61
1965-1969	90-94	0.21882	0.67997	2.22	15256	10373	47406	61581	4.04
1965-1969	95-99	0.32628	0.82302	1.99	4882	4018	12315	14175	2.90
1965-1969	100-104	0.45509	0.91355	1.72	864	789	1735	1860	2.15
1965-1969	105-109	0.59087	0.95952	1.48	75	72	121	126	1.68
1965-1969	110+	0.69785	1.00000	1.43	3	3	4	4	1.43
1970-1974	0	0.01442	0.01424	0.09	100000	1424	98709	7608397	76.08
1970-1974	1-4	0.00072	0.00287	1.64	98576	283	393637	7509688	76.18
1970-1974	5-9	0.00032	0.00161	2.23	98293	159	491026	7116051	72.40
1970-1974	10-14	0.00028	0.00142	2.73	98134	139	490357	6625026	67.51
1970-1974	15-19	0.00065	0.00326	2.77	97995	320	489263	6134669	62.60
1970-1974	20-24	0.00078	0.00390	2.5	97676	381	487426	5645406	57.80
1970-1974	25-29	0.00084	0.00418	2.58	97295	407	485490	5157979	53.01
1970-1974	30-34	0.00107	0.00531	2.59	96888	515	483200	4672489	48.23
1970-1974	35-39	0.00162	0.00808	2.62	96373	779	480014	4189289	43.47
1970-1974	40-44	0.00243	0.01208	2.64	95594	1155	475251	3709274	38.80
1970-1974	45-49	0.00386	0.01911	2.64	94439	1805	467937	3234023	34.24
1970-1974	50-54	0.00561	0.02769	2.64	92635	2565	457125	2766086	29.86
1970-1974	55-59	0.00834	0.04092	2.65	90070	3685	441697	2308961	25.64
1970-1974	60-64	0.01209	0.05878	2.63	86384	5078	419904	1867264	21.62
1970-1974	65-69	0.01756	0.08425	2.62	81307	6850	390196	1447360	17.80
1970-1974	70-74	0.02825	0.13239	2.63	74456	9858	348939	1057164	14.20
1970-1974	75-79	0.04691	0.21088	2.61	64599	13623	290421	708225	10.96
1970-1974	80-84	0.07710	0.32451	2.56	50976	16542	214550	417804	8.20
1970-1974	85-89	0.13020	0.48810	2.44	34434	16807	129082	203255	5.90
1970-1974	90-94	0.20782	0.66166	2.26	17627	11663	56122	74173	4.21
1970-1974	95-99	0.31078	0.80737	2.02	5964	4815	15493	18051	3.03
1970-1974	100-104	0.43874	0.90541	1.76	1149	1040	2371	2558	2.23
1970-1974	105-109	0.57595	0.95607	1.51	109	104	180	187	1.72
1970-1974	110+	0.68522	1.00000	1.46	5	5	7	7	1.46
1975-1979	0	0.01150	0.01138	0.09	100000	1138	98959	7779122	77.79
1975-1979	1-4	0.00062	0.00248	1.56	98862	245	394850	7680162	77.69
1975-1979	5-9	0.00027	0.00135	2.33	98617	133	492730	7285312	73.87
1975-1979	10-14	0.00024	0.00118	2.67	98484	117	492149	6792582	68.97
1975-1979	15-19	0.00059	0.00296	2.71	98367	291	491172	6300433	64.05
1975-1979	20-24	0.00073	0.00363	2.53	98077	356	489506	5809262	59.23
1975-1979	25-29	0.00075	0.00375	2.55	97721	366	487708	5319756	54.44
1975-1979	30-34	0.00091	0.00453	2.62	97355	441	485722	4832048	49.63
1975-1979	35-39	0.00128	0.00637	2.65	96913	617	483118	4346326	44.85
1975-1979	40-44	0.00207	0.01032	2.68	96296	994	479178	3863208	40.12
1975-1979	45-49	0.00324	0.01606	2.66	95302	1530	472934	3384030	35.51
1975-1979	50-54	0.00495	0.02448	2.65	93772	2296	463455	2911096	31.04
1975-1979	55-59	0.00743	0.03650	2.65	91476	3339	449548	2447640	26.76
1975-1979	60-64	0.01108	0.05398	2.64	88137	4758	429461	1998092	22.67
1975-1979	65-69	0.01604	0.07729	2.64	83379	6444	401667	1568630	18.81
1975-1979	70-74	0.02474	0.11683	2.63	76935	8989	363369	1166963	15.17
1975-1979	75-79	0.04027	0.18383	2.63	67947	12491	310142	803594	11.83
1975-1979	80-84	0.06705	0.28860	2.59	55456	16005	238696	493452	8.90
1975-1979	85-89	0.11301	0.43985	2.48	39451	17353	153552	254756	6.46
1975-1979	90-94	0.18605	0.61865	2.29	22099	13671	73483	101204	4.58
1975-1979	95-99	0.28159	0.77387	2.09	8427	6522	23160	27721	3.29
1975-1979	100-104	0.40542	0.88617	1.82	1906	1689	4165	4561	2.39
1975-1979	105-109	0.54282	0.94719	1.56	217	205	379	396	1.83
1975-1979	110+	0.65478	1.00000	1.53	11	11	17	17	1.53
1980-1984	0	0.00916	0.00909	0.08	100000	909	99163	7856510	78.57
1980-1984	1-4	0.00051	0.00204	1.53	99091	202	395867	7757347	78.28
1980-1984	5-9	0.00024	0.00118	2.4	98890	116	494146	7361480	74.44
1980-1984	10-14	0.00022	0.00110	2.74	98773	108	493622	6867335	69.53
1980-1984	15-19	0.00053	0.00263	2.74	98665	260	492738	6373713	64.60
1980-1984	20-24	0.00061	0.00306	2.49	98405	301	491271	5880975	59.76
1980-1984	25-29	0.00065	0.00324	2.54	98104	318	489740	5389703	54.94
1980-1984	30-34	0.00077	0.00386	2.6	97787	377	488028	4899963	50.11
1980-1984	35-39	0.00111	0.00552	2.67	97409	538	485791	4411935	45.29
1980-1984	40-44	0.00177	0.00884	2.68	96871	856	482368	3926144	40.53
1980-1984	45-49	0.00285	0.01418	2.69	96015	1361	476929	3443776	35.87
1980-1984	50-54	0.00447	0.02211	2.66	94654	2093	468379	2966847	31.34
1980-1984	55-59	0.00699	0.03438	2.67	92561	3182	455402	2498469	26.99
1980-1984	60-64	0.01066	0.05199	2.63	89379	4647	435895	2043066	22.86
1980-1984	65-69	0.01601	0.07712	2.63	84732	6535	408161	1607172	18.97
1980-1984	70-74	0.02480	0.11712	2.63	78197	9158	369284	1199010	15.33
1980-1984	75-79	0.03878	0.17741	2.6	69039	12248	315841	829727	12.02
1980-1984	80-84	0.06548	0.28258	2.58	56790	16048	245097	513886	9.05
1980-1984	85-89	0.10987	0.43028	2.48	40742	17531	159559	268789	6.60
1980-1984	90-94	0.17896	0.60538	2.33	23212	14052	78518	109230	4.71
1980-1984	95-99	0.27525	0.76581	2.1	9160	7015	25485	30712	3.35
1980-1984	100-104	0.39754	0.88102	1.84	2145	1890	4754	5227	2.44
1980-1984	105-109	0.53428	0.94458	1.58	255	241	451	473	1.85
1980-1984	110+	0.64633	1.00000	1.55	14	14	22	22	1.55
1985-1989	0	0.00830	0.00823	0.08	100000	823	99239	7895925	78.96
1985-1989	1-4	0.00045	0.00180	1.53	99177	178	396267	7796685	78.61
1985-1989	5-9	0.00019	0.00096	2.34	98998	95	494740	7400419	74.75
1985-1989	10-14	0.00020	0.00098	2.81	98904	97	494305	6905679	69.82
1985-1989	15-19	0.00050	0.00251	2.67	98807	248	493455	6411374	64.89
1985-1989	20-24	0.00054	0.00271	2.53	98558	267	492130	5917919	60.04
1985-1989	25-29	0.00062	0.00307	2.54	98291	302	490711	5425789	55.20
1985-1989	30-34	0.00075	0.00374	2.63	97989	366	489076	4935078	50.36
1985-1989	35-39	0.00105	0.00525	2.62	97622	512	486890	4446002	45.54
1985-1989	40-44	0.00159	0.00792	2.69	97110	769	483776	3959112	40.77
1985-1989	45-49	0.00258	0.01281	2.7	96341	1234	478864	3475336	36.07
1985-1989	50-54	0.00419	0.02076	2.67	95107	1975	470941	2996472	31.51
1985-1989	55-59	0.00664	0.03271	2.67	93132	3047	458556	2525531	27.12
1985-1989	60-64	0.01043	0.05089	2.63	90085	4585	439584	2066975	22.94
1985-1989	65-69	0.01557	0.07511	2.64	85501	6422	412320	1627391	19.03
1985-1989	70-74	0.02453	0.11592	2.63	79079	9167	373707	1215071	15.37
1985-1989	75-79	0.03853	0.17637	2.6	69912	12331	319994	841364	12.03
1985-1989	80-84	0.06453	0.27914	2.58	57582	16073	249073	521370	9.05
